Sa 27 May , E. Frankfurt x Freiburg , Average: 3.16 , Bundesliga , Germany / First Half Over 0.5
Sa 27 May , Wolfsberger AC x Tirol , Average: 3.17 , Bundesliga , Austria / Over 1.5
Su 28 May , Salzburg x A. Klagenfurt , Average: 3.17 , Bundesliga , Austria / First Half Over 0.5 / ODD: 1.22 Green
Sa 27 May , Hamburger SV B x Weiche F. , Average: 3.12 , Regionalliga Nord , Germany / First Half Over 0.5 /ODD: 1.28 Green 
Sa 27 May , Norderstedt x VfB Lubeck , Average: 3.0 , Regionalliga Nord , Germany / Over 1.5 / ODD: 1.2 Red   
Su 28 May , FC Porto x Guimaraes , Average: 2.88 , Primeira Liga , Portugal / First Half Over 0.5 / ODD: 1.22 Green
Su 28 May , Trofense x Mafra , Average: 2.9 , Liga Pro , Portugal / Over 1.5
Sa 27 May , Independiente x Lanus , Average: 2.82 , Liga Profesional Argentina , Argentina / Over 1.5 
Sa 27 May , Athletico PR x Gremio , Average: 3.17 , Brasileirao Serie A , Brazil / Over 1.5 / 1.33 Green
Sa 27 May , Cuiaba x Coritiba , Average: 3.5 , Brasileirao Serie A , Brazil / Over 1.5 
Sa 27 May , Flamengo x Cruzeiro , Average: 3.33 , Brasileirao Serie A , Brazil Over 1.5 
Sa 27 May , Tecnico U. x Mushuc Runa , Average: 2.8 , Liga Pro , Ecuador / Over 1.5
Sa 27 May , Delfin x Gualaceo , Average: 2.92 , Liga Pro , Ecuador / Over 1.5
Su 28 May , El Nacional x Barcelona SC , Average: 3.3 , Liga Pro , Ecuador / Over 1.5 
Sa 27 May , Lens x AC Ajaccio , Average: 2.92 , Ligue 1 , France / Over 1.5
Sa 27 May , Lille x Nantes , Average: 2.93 , Ligue 1 , France / Over 1.5
Su 28 May , AZ Alkmaar x PSV Eindhoven , Average: 3.46 , Eredivisie , Netherlands / Over 2.5
Su 28 May , FC Twente x Ajax Amsterdam , Average: 3.5 , Eredivisie , Netherlands / Over 2.5 
Mo 29 May , HamKam x Lillestrom , Average: 3.04 , Eliteserien , Norway / Over 1.5 
Mo 29 May , Jerv x Hodd , Average: 3.38 , Obos Ligaen , Norway / Over 1.5
Mo 29 May , Kongsvinger x Sogndal , Average: 3.25 , Obos Ligaen , Norway / First half over 0.5 / ODD: 1.30
Mo 29 May , Kristiansund x Skeid , Average: 3.4 , Obos Ligaen , Norway / First half Over 0.5 / ODD: 1.25
Sa 27 May , G. Caballero x Libertad , Average: 2.83 , Primera Paraguay , Paraguay 
Sa 27 May , GIF Sundsvall x Skovde AIK , Average: 2.88 , Superettan , Sweden / Over 1.5 
Su 28 May , Ostersunds x Utsikten , Average: 2.96 , Superettan , Sweden / Over 1.5
