Sa 27 May , E. Frankfurt x Freiburg , Average: 3.16 , Bundesliga , Germany / First Half Over 0.5 / ODD: 1.28
Sa 27 May , Wolfsberger AC x Tirol , Average: 3.17 , Bundesliga , Austria / Over 1.5 / ODD: 1.28    
Su 28 May , Trofense x Mafra , Average: 2.9 , Liga Pro , Portugal / Over 1.5 / ODD: 1.28
Sa 27 May , Independiente x Lanus , Average: 2.82 , Liga Profesional Argentina , Argentina / Over 1.5 / ODD: 1.44 
Sa 27 May , Cuiaba x Coritiba , Average: 3.5 , Brasileirao Serie A , Brazil / Over 1.5 / ODD: 1.36
Sa 27 May , Flamengo x Cruzeiro , Average: 3.33 , Brasileirao Serie A , Brazil / Over 1.5 / ODD: 1.22
Su 28 May , Botafogo x America MG , Average: 3.12 , Brasileirao Serie A , Brazil / Over 1.5 / ODD: 1.30 
Sa 27 May , Tecnico U. x Mushuc Runa , Average: 2.8 , Liga Pro , Ecuador / Over 1.5 / ODD: 1.36
Sa 27 May , Delfin x Gualaceo , Average: 2.92 , Liga Pro , Ecuador / Over 1.5 / ODD: 1.30
Su 28 May , El Nacional x Barcelona SC , Average: 3.3 , Liga Pro , Ecuador / Over 1.5 / ODD: 1.22
Sa 27 May , Lens x AC Ajaccio , Average: 2.92 , Ligue 1 , France / Over 1.5 / ODD: 1.16
Sa 27 May , Lille x Nantes , Average: 2.93 , Ligue 1 , France / Over 1.5 / ODD: 1.2
Su 28 May , AZ Alkmaar x PSV Eindhoven , Average: 3.46 , Eredivisie , Netherlands / Over 2.5 / ODD: 1.53
Su 28 May , FC Twente x Ajax Amsterdam , Average: 3.5 , Eredivisie , Netherlands / Over 2.5 / ODD: 1.4
Mo 29 May , HamKam x Lillestrom , Average: 3.04 , Eliteserien , Norway / Over 1.5 / ODD: 1.28
Mo 29 May , Jerv x Hodd , Average: 3.38 , Obos Ligaen , Norway / Over 1.5 / ODD: 1.25
Sa 27 May , G. Caballero x Libertad , Average: 2.83 , Primera Paraguay , Paraguay / Over 1.5 / ODD: 1.2
Sa 27 May , GIF Sundsvall x Skovde AIK , Average: 2.88 , Superettan , Sweden / Over 1.5 / ODD: 1.22
Su 28 May , Ostersunds x Utsikten , Average: 2.96 , Superettan , Sweden / Over 1.5 / ODD: 1.28
Sa 27 May , Alianza A. x Atletico Grau , Average: 3.0 , Liga 1 , Peru / Over 1.5 / ODD: 1.28 Betfair
Su 28 May , Sport Huancayo x S. Cristal , Average: 3.43 , Liga 1 , Peru / Over 1.5 / ODD: 1.18 Betano
