 
Sa 8 Jul 05:25am , IA Akranes x Njardvík , Average: 3.7 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 80.0% , Home Under 2.5 goals: 40.0% , Away Under 2.5 goals: 60.0% , 1. Deild , Iceland  / Over 1.5 Goals

Sa 8 Jul 05:15am , KV Vesturbaer x V. Olafsvik , Average: 3.5 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 80.0% , Home Under 2.5 goals: 60.0% , Away Under 2.5 goals: 20.0% , 2. Deild , Iceland / Over 1.5 Goals

Sa 8 Jul 06:00am , Ymir x Ellidi , Average: 3.0 , Home Over 1.5 goals: 75.0% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 75.0% , Away Under 2.5 goals: 0.0% , 3. Deild , Iceland / Over 1.5 Goals



Sa 8 Jul , Beijing Guoan x Shenzhen , Average: 3.44 , Home Over 1.5 goals: 71.43% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 57.14% , Away Under 2.5 goals: 20.0% , Super League , China 
Sa 8 Jul , Viking x Haugesund , Average: 3.42 , Home Over 1.5 goals: 83.33% , Away Over 1.5 goals: 50.0% , Home Under 2.5 goals: 33.33% , Away Under 2.5 goals: 50.0% , Eliteserien , Norway 
Sa 8 Jul , Ranheim x Sandnes Ulf , Average: 3.17 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 50.0% , Home Under 2.5 goals: 16.67% , Away Under 2.5 goals: 50.0% , Obos Ligaen , Norway 
Sa 8 Jul , Start x Mjondalen , Average: 3.83 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 0.0% , Away Under 2.5 goals: 33.33% , Obos Ligaen , Norway 
Sa 8 Jul , GIF Sundsvall x Vasteras , Average: 2.92 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 83.33% , Home Under 2.5 goals: 50.0% , Away Under 2.5 goals: 16.67% , Superettan , Sweden 
