Su 4 Jun , Espanyol x Almeria , Average: 3.14 , La Liga , Spain / Over 1.5 Green
Sa 3 Jun , Argentinos Jrs x Platense , Average: 2.87 , Liga Profesional Argentina , Argentina / Over 1.5 Red
Sa 3 Jun , America MG x Corinthians , Average: 3.0 , Brasileirao Serie A , Brazil / Over 1.5 Green 
Sa 3 Jun , Athletico PR x Botafogo , Average: 3.46 , Brasileirao Serie A , Brazil / Over 1.5 Red   
Su 4 Jun , Palmeiras x Coritiba , Average: 3.38 , Brasileirao Serie A , Brazil / Over 2.5 Green   
Fr 2 Jun , Ceara x Chapecoense , Average: 3.12 , Brasileirao Serie B , Brazil / Over 1.5 Green 
Su 4 Jun , Ypiranga x Aparecidense , Average: 3.0 , Brasileirao Serie C , Brazil / Over 1.5 Red
Sa 3 Jun , LDU Quito x Libertad , Average: 3.17 , Liga Pro , Ecuador / Over 1.5 Green
Sa 3 Jun , I. del Valle x Aucas , Average: 2.8 , Liga Pro , Ecuador / Over 1.5 Green
Sa 3 Jun , Barcelona SC x Emelec , Average: 3.17 , Liga Pro , Ecuador / Over 1.5 Green
Tu 6 Jun , D. Cuenca x Delfin , Average: 2.82 , Liga Pro , Ecuador / Over 1.5 Green   
Fr 2 Jun , Drogheda Utd x Cork City , Average: 2.94 , Premier Division , Ireland / Over 1.5 Red
Fr 2 Jun , Shamrock Rovers x Dundalk , Average: 2.83 , Premier Division , Ireland / Over 1.5 Green
Fr 2 Jun , UC Dublin x St. Patricks , Average: 3.01 , Premier Division , Ireland / Over 1.5 Green 
Su 4 Jun , Lillestrom x Stabaek , Average: 4.33 , Eliteserien , Norway / Over 2.5 Green   
Su 4 Jun , Valerenga x Bodo / Glimt , Average: 3.62 , Eliteserien , Norway / Over 2.5 Green
Su 4 Jun , Viking x Molde , Average: 3.88 , Eliteserien , Norway / Over 1.5 Green
Su 4 Jun , Asane x Kongsvinger , Average: 3.05 , Obos Ligaen , Norway / Over 1.5 Green
Su 4 Jun , KFUM Oslo x Kristiansund , Average: 3.0 , Obos Ligaen , Norway / Over 1.5 Green
Su 4 Jun , Ranheim x Moss , Average: 3.5 , Obos Ligaen , Norway / Over 1.5 Green
Su 4 Jun , Skeid x Bryne , Average: 3.25 , Obos Ligaen , Norway / Over 1.5 Green
Su 4 Jun , Sogndal x Start , Average: 2.83 , Obos Ligaen , Norway / Over 1.5 Green
Sa 3 Jun , Cerro Porteno x Libertad , Average: 2.95 , Primera Paraguay , Paraguay / Over 1.5 Green  
Sa 3 Jun , Universitario x Cusco , Average: 2.81 , Liga 1 , Peru / Over 1.5 Red
Sa 3 Jun , D. Municipal x Alianza A. , Average: 3.31 , Liga 1 , Peru / Over 1.5 Green
Sa 3 Jun , Binacional x Carlos Manucci , Average: 3.12 , Liga 1 , Peru / Over 1.5 Green
Su 4 Jun , D. Garcilaso x Union Comercio , Average: 3.31 , Liga 1 , Peru / Over 1.5 Green
Su 4 Jun , Atletico Grau x AD Cantolao , Average: 2.87 , Liga 1 , Peru / Over 1.5 Green
Su 4 Jun , Sport Boys x Sport Huancayo , Average: 2.99 , Liga 1 , Peru / Over 1.5 red
Su 4 Jun , Cesar Vallejo x Cajamarca , Average: 2.75 , Liga 1 , Peru / Over 1.5 Green
We 31 May , Landskrona x Trelleborg , Average: 3.5 , Superettan , Sweden / Over 1.5 Green
We 31 May , Utsikten x Orebro , Average: 2.88 , Superettan , Sweden / Over 1.5 Green
Th 1 Jun , Jonkopings x Oster , Average: 3.23 , Superettan , Sweden / Over 1.5 Green
Su 4 Jun , Oster x Utsikten , Average: 2.9 , Superettan , Sweden / Over 1.5 Red
Su 4 Jun , Ostersunds x Vasteras , Average: 3.25 , Superettan , Sweden / Over 1.5 Green
Mo 5 Jun , Skovde AIK x AFC Eskilstuna , Average: 3.62 , Superettan , Sweden / Over 1.5 Red
Mo 5 Jun , Trelleborg x Brage , Average: 3.1 , Superettan , Sweden / Over 1.5 Red
Tu 6 Jun , Helsingborg x Jonkopings , Average: 2.88 , Superettan , Sweden 
