Mo 17 Jul , Central Cordoba x Independiente , Average: 1.58 , Home Over 1.5 goals: 50.0% , Away Over 1.5 goals: 58.33% , Home Under 2.5 goals: 100.0% , Away Under 2.5 goals: 66.67% , Liga Profesional Argentina , Argentina
Race 3 para Central Cordoba, ver ao vivo.

Mo 17 Jul , Argentinos Jrs x Colon Santa Fe , Race 5 para argentinos juniors (72% pro Argentino Jrs contra 27% para o Colon e o Colon eh o 26o contra o 11o).

Mo 17 Jul , Belgrano de Córdoba x San Lorenzo , Neither Race 7

Mo 17 Jul , Deportivo Morón x Flandria , Race 3 para o Deportivo Moron

Mo 17 Jul ,  Deportivo Riestra x Deportivo Madryn , Neither race 7 , Neither race 3 (20,00 AU)

Mo 17 Jul , Racing de Cordoba x Villa Dálmine , neither race 7 , neither race 3 

Mo 17 Jul , Aurora x Wilstermann , Race 5 para o Aurora

Mo 17 Jul , Cruzeiro x Coritiba , Race 5 para o Cruzeiro

Mo 17 Jul , Fortaleza x Cuiaba , Race 7 para o Fotaleza

Mo 17 Jul , Magallanes x Nublense , Race 3 para o Magallanes

Mo 17 Jul , Bodo Glimt x Haugesund , Race 5 para o Bodo Glimt

Mo 17 Jul , Lillestrom x Sandefjord , Race 5 para o Lillestrom

Mo 17 Jul , Sarpsborg FK x Ham-Kam , Race 3 para o Sarpsborg

Mo 17 Jul , SK Brann x Stromsgodset , Race 5 para o SK Brann e Race 3 para o SK Brann

Mo 17 Jul , Guaraní x Libertad , Race 3 para o Libertad

Mo 17 Jul , Mjallby AIF x IFK Norrkoping , Race 3 para o Mjallby

Mo 17 Jul , River Plate (Uruguay) x La Luz , Race 3 para o River Plate do Uruguay

Mo 17 Jul , Wanderers x Montevideo City , Race 3 para o Wanderers


Su 16 Jul , Union Santa Fe x Platense , Race 3 para o Union Santa Fe

Su 16 Jul , Ponte Preta x Tombense , Mais de 0 escanteios primeiros 10 minutos

Su 16 Jul , Dalian Pro x Changchun Yatai , Mais de 0 escanteios primeiros 10 minutos

Su 16 Jul ,  x Changchun Yatai , Mais de 0 escanteios primeiros 10 minutos
