Fr 16 Aug , Manchester Utd , 1 - 0 , Fulham
Sa 17 Aug , Ipswich Town , 0 - 2 , Liverpool
Sa 17 Aug , Arsenal , 2 - 0 , Wolverhampton
Sa 17 Aug , Everton , 0 - 3 , Brighton
Sa 17 Aug , Newcastle Utd , 1 - 0 , Southampton
Sa 17 Aug , Nottm Forest , 1 - 1 , Bournemouth
Sa 17 Aug , West Ham Utd , 1 - 2 , Aston Villa
Su 18 Aug , Brentford , 2 - 1 , Crystal Palace
Su 18 Aug , Chelsea , 0 - 2 , Manchester City
Mo 19 Aug , Leicester City , 1 - 1 , Tottenham
Sa 24 Aug , Brighton , 2 - 1 , Manchester Utd
Sa 24 Aug , Crystal Palace , 0 - 2 , West Ham Utd
Sa 24 Aug , Fulham , 2 - 1 , Leicester City
Sa 24 Aug , Manchester City , 4 - 1 , Ipswich Town
Sa 24 Aug , Southampton , 0 - 1 , Nottm Forest
Sa 24 Aug , Tottenham , 4 - 0 , Everton
Sa 24 Aug , Aston Villa , 0 - 2 , Arsenal
Su 25 Aug , Bournemouth , 1 - 1 , Newcastle Utd
Su 25 Aug , Wolverhampton , 2 - 6 , Chelsea
Su 25 Aug , Liverpool , 2 - 0 , Brentford
Sa 31 Aug , Arsenal , 1 - 1 , Brighton
Sa 31 Aug , Brentford , 3 - 1 , Southampton
Sa 31 Aug , Everton , 2 - 3 , Bournemouth
Sa 31 Aug , Ipswich Town , 1 - 1 , Fulham
Sa 31 Aug , Leicester City , 1 - 2 , Aston Villa
Sa 31 Aug , Nottm Forest , 1 - 1 , Wolverhampton
Sa 31 Aug , West Ham Utd , 1 - 3 , Manchester City
Su 1 Sep , Chelsea , 1 - 1 , Crystal Palace
Su 1 Sep , Newcastle Utd , 2 - 1 , Tottenham
Su 1 Sep , Manchester Utd , 0 - 3 , Liverpool
Sa 14 Sep , Southampton , 0 - 3 , Manchester Utd
Sa 14 Sep , Brighton , 0 - 0 , Ipswich Town
Sa 14 Sep , Crystal Palace , 2 - 2 , Leicester City
Sa 14 Sep , Fulham , 1 - 1 , West Ham Utd
Sa 14 Sep , Liverpool , 0 - 1 , Nottm Forest
Sa 14 Sep , Manchester City , 2 - 1 , Brentford
Sa 14 Sep , Aston Villa , 3 - 2 , Everton
Sa 14 Sep , Bournemouth , 0 - 1 , Chelsea
Su 15 Sep , Tottenham , 0 - 1 , Arsenal
Su 15 Sep , Wolverhampton , 1 - 2 , Newcastle Utd
Sa 21 Sep , West Ham Utd , 0 - 3 , Chelsea
Sa 21 Sep , Aston Villa , 3 - 1 , Wolverhampton
Sa 21 Sep , Fulham , 3 - 1 , Newcastle Utd
Sa 21 Sep , Leicester City , 1 - 1 , Everton
Sa 21 Sep , Liverpool , 3 - 0 , Bournemouth
Sa 21 Sep , Southampton , 1 - 1 , Ipswich Town
Sa 21 Sep , Tottenham , 3 - 1 , Brentford
Sa 21 Sep , Crystal Palace , 0 - 0 , Manchester Utd
Su 22 Sep , Brighton , 2 - 2 , Nottm Forest
