Thu 23 Jan , Godoy Cruz , 0 - 3 , Rosario Central
Thu 23 Jan , Tigre , 3 - 0 , Velez Sarsfield
Fri 24 Jan , Defensa y J. , 0 - 1 , Banfield
Fri 24 Jan , Lanus , 0 - 2 , D. Riestra
Fri 24 Jan , Newells , 0 - 1 , I. Rivadavia
Fri 24 Jan , Barracas C. , 1 - 3 , Racing Club
Fri 24 Jan , Independiente , 2 - 1 , Sarmiento
Sat 25 Jan , Belgrano , 1 - 1 , Huracan
Sat 25 Jan , SM San Juan , 0 - 1 , A. Tucuman
Sat 25 Jan , San Lorenzo , 1 - 0 , T. de Cordoba
Sat 25 Jan , Estudiantes , 3 - 1 , Union Santa Fe
Sat 25 Jan , Instituto , 3 - 0 , Gimnasia
Sun 26 Jan , Platense , 1 - 1 , River Plate
Sun 26 Jan , Boca Juniors , 0 - 0 , Argentinos Jrs
Mon 27 Jan , Central Cordoba , 1 - 0 , Aldosivi
Mon 27 Jan , Banfield , 3 - 0 , Newells
Tue 28 Jan , D. Riestra , 0 - 0 , SM San Juan
Tue 28 Jan , Rosario Central , 2 - 1 , Lanus
Tue 28 Jan , Sarmiento , 0 - 0 , Godoy Cruz
Wed 29 Jan , I. Rivadavia , 0 - 0 , Barracas C.
Wed 29 Jan , Velez Sarsfield , 0 - 1 , Platense
Wed 29 Jan , Gimnasia , 0 - 2 , San Lorenzo
Wed 29 Jan , T. de Cordoba , 2 - 3 , Independiente
Wed 29 Jan , Huracan , 0 - 0 , Estudiantes
Wed 29 Jan , Union Santa Fe , 1 - 1 , Boca Juniors
Thu 30 Jan , River Plate , 1 - 0 , Instituto
Thu 30 Jan , Aldosivi , 0 - 5 , Defensa y J.
Thu 30 Jan , Racing Club , 4 - 0 , Belgrano
Fri 31 Jan , Argentinos Jrs , 1 - 0 , Tigre
Fri 31 Jan , Central Cordoba , 2 - 0 , A. Tucuman
Sat 1 Feb , Barracas C. , 1 - 0 , Banfield
Sat 1 Feb , SM San Juan , 0 - 0 , Rosario Central
Sun 2 Feb , Lanus , 2 - 0 , Sarmiento
Sun 2 Feb , San Lorenzo , 0 - 0 , River Plate
Sun 2 Feb , Boca Juniors , 2 - 1 , Huracan
Sun 2 Feb , Newells , 1 - 0 , Aldosivi
Mon 3 Feb , Independiente , 2 - 0 , Gimnasia
Mon 3 Feb , Instituto , 2 - 0 , Velez Sarsfield
Mon 3 Feb , Defensa y J. , 2 - 1 , Central Cordoba
Mon 3 Feb , Estudiantes , 2 - 0 , Racing Club
Mon 3 Feb , Tigre , 1 - 0 , Union Santa Fe
Tue 4 Feb , Argentinos Jrs , 1 - 0 , Platense
Tue 4 Feb , Belgrano , 0 - 3 , I. Rivadavia
Wed 5 Feb , A. Tucuman , 0 - 3 , D. Riestra
Thu 6 Feb , Aldosivi , 1 - 3 , Barracas C.
Thu 6 Feb , Sarmiento , 1 - 1 , SM San Juan
Fri 7 Feb , Banfield , 1 - 1 , Belgrano
Fri 7 Feb , Central Cordoba , 2 - 0 , Newells
Fri 7 Feb , Huracan , 2 - 0 , Tigre
Sat 8 Feb , I. Rivadavia , 2 - 2 , Estudiantes
Sat 8 Feb , Union Santa Fe , 0 - 1 , Argentinos Jrs
Sat 8 Feb , Velez Sarsfield , 0 - 0 , San Lorenzo
Sat 8 Feb , Rosario Central , 3 - 1 , A. Tucuman
Sat 8 Feb , River Plate , 2 - 0 , Independiente
Sun 9 Feb , Racing Club , 2 - 0 , Boca Juniors
Sun 9 Feb , D. Riestra , 1 - 1 , Defensa y J.
Sun 9 Feb , Platense , 1 - 0 , Instituto
Sun 9 Feb , Gimnasia , 3 - 0 , Godoy Cruz
Mon 10 Feb , T. de Cordoba , 0 - 1 , Lanus
Tue 11 Feb , Barracas C. , 3 - 3 , Central Cordoba
Tue 11 Feb , Boca Juniors , 2 - 0 , I. Rivadavia
Tue 11 Feb , Estudiantes , 1 - 0 , Banfield
Wed 12 Feb , Belgrano , 2 - 0 , Aldosivi
Wed 12 Feb , Tigre , 1 - 0 , Racing Club
