Sat 29 Mar , Cruzeiro , 2 - 1 , Mirassol
Sat 29 Mar , Fortaleza , 2 - 0 , Fluminense
Sat 29 Mar , Gremio , 2 - 1 , Atletico MG
Sat 29 Mar , Juventude , 2 - 0 , Vitoria
Sat 29 Mar , Sao Paulo , 0 - 0 , Sport Recife
Sun 30 Mar , Flamengo , 1 - 1 , Internacional
Sun 30 Mar , Palmeiras , 0 - 0 , Botafogo
Sun 30 Mar , Vasco da Gama , 2 - 1 , Santos
Sun 30 Mar , Bahia , 1 - 1 , Corinthians
Mon 31 Mar , Bragantino , 2 - 2 , Ceara
Sat 5 Apr , Ceara , 2 - 0 , Gremio
Sat 5 Apr , Corinthians , 3 - 0 , Vasco da Gama
Sun 6 Apr , Botafogo , 2 - 0 , Juventude
Sun 6 Apr , Atletico MG , 0 - 0 , Sao Paulo
Sun 6 Apr , Fluminense , 2 - 1 , Bragantino
Sun 6 Apr , Internacional , 3 - 0 , Cruzeiro
Sun 6 Apr , Mirassol , 1 - 1 , Fortaleza
Sun 6 Apr , Sport Recife , 1 - 2 , Palmeiras
Sun 6 Apr , Vitoria , 1 - 2 , Flamengo
Sun 6 Apr , Santos , 2 - 2 , Bahia
Sat 12 Apr , Bragantino , 1 - 0 , Botafogo
Sat 12 Apr , Juventude , 2 - 1 , Ceara
Sat 12 Apr , Palmeiras , 2 - 0 , Corinthians
Sun 13 Apr , Vasco da Gama , 3 - 1 , Sport Recife
Sun 13 Apr , Bahia , 1 - 1 , Mirassol
Sun 13 Apr , Gremio , 0 - 2 , Flamengo
Sun 13 Apr , Sao Paulo , 1 - 1 , Cruzeiro
Sun 13 Apr , Fluminense , 1 - 0 , Santos
Sun 13 Apr , Fortaleza , 0 - 0 , Internacional
Sun 13 Apr , Atletico MG , 2 - 2 , Vitoria
Wed 16 Apr , Ceara , 2 - 1 , Vasco da Gama
Wed 16 Apr , Botafogo , 2 - 2 , Sao Paulo
Wed 16 Apr , Mirassol , 4 - 1 , Gremio
Wed 16 Apr , Sport Recife , 0 - 1 , Bragantino
Wed 16 Apr , Corinthians , 0 - 2 , Fluminense
Wed 16 Apr , Internacional , 0 - 1 , Palmeiras
Thu 17 Apr , Flamengo , 6 - 0 , Juventude
Thu 17 Apr , Santos , 2 - 0 , Atletico MG
Thu 17 Apr , Vitoria , 2 - 1 , Fortaleza
Fri 18 Apr , Cruzeiro , 3 - 0 , Bahia
Sat 19 Apr , Corinthians , 2 - 1 , Sport Recife
Sat 19 Apr , Vasco da Gama , 0 - 0 , Flamengo
Sun 20 Apr , Gremio , 1 - 1 , Internacional
Sun 20 Apr , Juventude , 2 - 2 , Mirassol
Sun 20 Apr , Atletico MG , 1 - 0 , Botafogo
Sun 20 Apr , Sao Paulo , 2 - 1 , Santos
Sun 20 Apr , Fluminense , 1 - 1 , Vitoria
Sun 20 Apr , Fortaleza , 1 - 2 , Palmeiras
Sun 20 Apr , Bragantino , 1 - 0 , Cruzeiro
Mon 21 Apr , Bahia , 1 - 0 , Ceara
Sat 26 Apr , Internacional , 3 - 1 , Juventude
Sat 26 Apr , Ceara , 1 - 1 , Sao Paulo
Sat 26 Apr , Mirassol , 2 - 2 , Atletico MG
Sat 26 Apr , Sport Recife , 0 - 0 , Fortaleza
Sun 27 Apr , Botafogo , 2 - 0 , Fluminense
Sun 27 Apr , Flamengo , 4 - 0 , Corinthians
Sun 27 Apr , Cruzeiro , 1 - 0 , Vasco da Gama
Sun 27 Apr , Palmeiras , 0 - 1 , Bahia
Sun 27 Apr , Vitoria , 1 - 1 , Gremio
Sun 27 Apr , Santos , 1 - 2 , Bragantino
Sat 3 May , Sao Paulo , 0 - 0 , Fortaleza
Sat 3 May , Ceara , 1 - 0 , Vitoria
Sat 3 May , Corinthians , 4 - 2 , Internacional
Sat 3 May , Fluminense , 2 - 1 , Sport Recife
Sun 4 May , Bahia , 1 - 0 , Botafogo
Sun 4 May , Gremio , 1 - 0 , Santos
Sun 4 May , Vasco da Gama , 0 - 1 , Palmeiras
Sun 4 May , Cruzeiro , 2 - 1 , Flamengo
Mon 5 May , Bragantino , 1 - 0 , Mirassol
Mon 5 May , Juventude , 0 - 1 , Atletico MG
Sat 10 May , Fortaleza , 5 - 0 , Juventude
Sat 10 May , Gremio , 1 - 1 , Bragantino
Sat 10 May , Mirassol , 2 - 1 , Corinthians
Sat 10 May , Vitoria , 2 - 1 , Vasco da Gama
Sun 11 May , Flamengo , 1 - 0 , Bahia
Sun 11 May , Sport Recife , 0 - 4 , Cruzeiro
Sun 11 May , Atletico MG , 3 - 2 , Fluminense
Sun 11 May , Palmeiras , 1 - 0 , Sao Paulo
Sun 11 May , Botafogo , 4 - 0 , Internacional
Mon 12 May , Santos , 0 - 0 , Ceara
Sat 17 May , Ceara , 2 - 0 , Sport Recife
Sat 17 May , Vasco da Gama , 3 - 0 , Fortaleza
Sun 18 May , Sao Paulo , 2 - 1 , Gremio
Sun 18 May , Bahia , 2 - 1 , Vitoria
Sun 18 May , Corinthians , 1 - 0 , Santos
Sun 18 May , Juventude , 1 - 1 , Fluminense
Sun 18 May , Bragantino , 1 - 2 , Palmeiras
Sun 18 May , Flamengo , 0 - 0 , Botafogo
Sun 18 May , Cruzeiro , 0 - 0 , Atletico MG
Sun 18 May , Internacional , 1 - 1 , Mirassol
Sat 24 May , Fluminense , 2 - 1 , Vasco da Gama
Sat 24 May , Sao Paulo , 0 - 2 , Mirassol
Sun 25 May , Atletico MG , 0 - 0 , Corinthians
Sun 25 May , Gremio , 1 - 0 , Bahia
Sun 25 May , Palmeiras , 0 - 2 , Flamengo
Sun 25 May , Sport Recife , 1 - 1 , Internacional
Sun 25 May , Vitoria , 0 - 1 , Santos
Sun 25 May , Fortaleza , 0 - 2 , Cruzeiro
Mon 26 May , Bragantino , 1 - 0 , Juventude
Sat 31 May , Bahia , 2 - 1 , Sao Paulo
Sun 1 Jun , Vasco da Gama , 0 - 2 , Bragantino
Sun 1 Jun , Mirassol , 1 - 0 , Sport Recife
Sun 1 Jun , Juventude , 0 - 2 , Gremio
Sun 1 Jun , Santos , 0 - 1 , Botafogo
Sun 1 Jun , Ceara , 0 - 1 , Atletico MG
Sun 1 Jun , Corinthians , 0 - 0 , Vitoria
Sun 1 Jun , Flamengo , 5 - 0 , Fortaleza
Sun 1 Jun , Cruzeiro , 2 - 1 , Palmeiras
Sun 1 Jun , Internacional , 0 - 2 , Fluminense
Wed 4 Jun , Botafogo , 3 - 2 , Ceara
Thu 12 Jun , Bragantino , 0 - 3 , Bahia
Thu 12 Jun , Vitoria , 0 - 0 , Cruzeiro
Thu 12 Jun , Fortaleza , 2 - 3 , Santos
Thu 12 Jun , Gremio , 1 - 1 , Corinthians
Fri 13 Jun , Atletico MG , 2 - 0 , Internacional
Fri 13 Jun , Sao Paulo , 1 - 3 , Vasco da Gama
Sat 12 Jul , Flamengo , 2 - 0 , Sao Paulo
Sat 12 Jul , Internacional , 1 - 0 , Vitoria
Sat 12 Jul , Vasco da Gama , 0 - 2 , Botafogo
Sun 13 Jul , Bahia , 2 - 1 , Atletico MG
Sun 13 Jul , Corinthians , 1 - 2 , Bragantino
Sun 13 Jul , Cruzeiro , 4 - 1 , Gremio
Sun 13 Jul , Fortaleza , 0 - 1 , Ceara
Mon 14 Jul , Juventude , 2 - 0 , Sport Recife
Wed 16 Jul , Palmeiras , 1 - 1 , Mirassol
Wed 16 Jul , Ceara , 0 - 1 , Corinthians
Wed 16 Jul , Santos , 1 - 0 , Flamengo
Thu 17 Jul , Botafogo , 0 - 0 , Vitoria
Thu 17 Jul , Bragantino , 2 - 2 , Sao Paulo
Thu 17 Jul , Fluminense , 0 - 2 , Cruzeiro
Sat 19 Jul , Fortaleza , 1 - 1 , Bahia
Sat 19 Jul , Vasco da Gama , 1 - 1 , Gremio
Sat 19 Jul , Mirassol , 3 - 0 , Santos
Sun 20 Jul , Sao Paulo , 2 - 0 , Corinthians
Sun 20 Jul , Internacional , 1 - 0 , Ceara
Sun 20 Jul , Cruzeiro , 4 - 0 , Juventude
Sun 20 Jul , Vitoria , 1 - 0 , Bragantino
Sun 20 Jul , Palmeiras , 3 - 2 , Atletico MG
Sun 20 Jul , Sport Recife , 0 - 1 , Botafogo
Sun 20 Jul , Flamengo , 1 - 0 , Fluminense
Wed 23 Jul , Ceara , 0 - 2 , Mirassol
Wed 23 Jul , Fluminense , 1 - 2 , Palmeiras
Wed 23 Jul , Corinthians , 0 - 0 , Cruzeiro
Thu 24 Jul , Bragantino , 1 - 2 , Flamengo
Thu 24 Jul , Santos , 1 - 2 , Internacional
Thu 24 Jul , Vitoria , 2 - 2 , Sport Recife
Thu 24 Jul , Juventude , 0 - 1 , Sao Paulo
Sat 26 Jul , Botafogo , 1 - 1 , Corinthians
Sat 26 Jul , Fortaleza , 3 - 1 , Bragantino
Sat 26 Jul , Mirassol , 1 - 1 , Vitoria
Sat 26 Jul , Sport Recife , 2 - 2 , Santos
Sun 27 Jul , Palmeiras , 1 - 0 , Gremio
Sun 27 Jul , Cruzeiro , 1 - 2 , Ceara
Sun 27 Jul , Sao Paulo , 3 - 1 , Fluminense
Sun 27 Jul , Bahia , 3 - 0 , Juventude
Sun 27 Jul , Internacional , 1 - 1 , Vasco da Gama
Sun 27 Jul , Flamengo , 1 - 0 , Atletico MG
Tue 29 Jul , Gremio , 2 - 1 , Fortaleza
Sat 2 Aug , Sport Recife , 0 - 0 , Bahia
Sat 2 Aug , Mirassol , 3 - 2 , Vasco da Gama
Sun 3 Aug , Fluminense , 1 - 0 , Gremio
Sun 3 Aug , Botafogo , 0 - 2 , Cruzeiro
Sun 3 Aug , Corinthians , 1 - 1 , Fortaleza
Sun 3 Aug , Atletico MG , 2 - 1 , Bragantino
Sun 3 Aug , Ceara , 1 - 1 , Flamengo
Sun 3 Aug , Vitoria , 2 - 2 , Palmeiras
Sun 3 Aug , Internacional , 1 - 2 , Sao Paulo
Mon 4 Aug , Santos , 3 - 1 , Juventude
Sat 9 Aug , Bragantino , 1 - 3 , Internacional
Sat 9 Aug , Flamengo , 2 - 1 , Mirassol
Sat 9 Aug , Sao Paulo , 2 - 0 , Vitoria
Sat 9 Aug , Fortaleza , 0 - 5 , Botafogo
Sun 10 Aug , Bahia , 3 - 3 , Fluminense
Sun 10 Aug , Palmeiras , 2 - 1 , Ceara
Sun 10 Aug , Vasco da Gama , 1 - 1 , Atletico MG
Sun 10 Aug , Cruzeiro , 1 - 2 , Santos
Sun 10 Aug , Gremio , 0 - 1 , Sport Recife
Mon 11 Aug , Juventude , 2 - 1 , Corinthians
Sat 16 Aug , Ceara , 1 - 0 , Bragantino
Sat 16 Aug , Fluminense , 2 - 1 , Fortaleza
Sat 16 Aug , Sport Recife , 2 - 2 , Sao Paulo
Sat 16 Aug , Vitoria , 2 - 2 , Juventude
Sun 17 Aug , Corinthians , 1 - 2 , Bahia
Sun 17 Aug , Atletico MG , 1 - 3 , Gremio
Sun 17 Aug , Santos , 0 - 6 , Vasco da Gama
Sun 17 Aug , Internacional , 1 - 3 , Flamengo
Sun 17 Aug , Botafogo , 0 - 1 , Palmeiras
Mon 18 Aug , Mirassol , 1 - 1 , Cruzeiro
Wed 20 Aug , Juventude , 2 - 0 , Vasco da Gama
Sat 23 Aug , Bragantino , 4 - 2 , Fluminense
Sat 23 Aug , Cruzeiro , 2 - 1 , Internacional
