Fri 4 Apr , Goias , 1 - 0 , Amazonas
Sat 5 Apr , Criciuma , 1 - 2 , Operario PR
Sat 5 Apr , Paysandu , 1 - 2 , Athletico PR
Sat 5 Apr , Coritiba , 1 - 0 , Vila Nova
Sat 5 Apr , CRB , 1 - 0 , Chapecoense
Sat 5 Apr , America MG , 1 - 0 , Botafogo SP
Sun 6 Apr , Ferroviaria , 1 - 1 , Remo
Sun 6 Apr , Volta Redonda , 0 - 1 , Cuiaba
Sun 6 Apr , Avai , 1 - 1 , Novorizontino
Mon 7 Apr , Atletico GO , 4 - 2 , Athletic Club
Thu 10 Apr , Athletico PR , 2 - 1 , Criciuma
Fri 11 Apr , Cuiaba , 2 - 2 , Avai
Sat 12 Apr , Chapecoense , 1 - 2 , Coritiba
Sat 12 Apr , Vila Nova , 1 - 0 , Paysandu
Sat 12 Apr , Amazonas , 0 - 0 , Ferroviaria
Sat 12 Apr , Novorizontino , 1 - 0 , Volta Redonda
Sat 12 Apr , Operario PR , 1 - 2 , Goias
Sun 13 Apr , Athletic Club , 1 - 2 , CRB
Sun 13 Apr , Remo , 2 - 0 , America MG
Sun 13 Apr , Botafogo SP , 1 - 1 , Atletico GO
Tue 15 Apr , Cuiaba , 2 - 1 , Athletico PR
Wed 16 Apr , Avai , 1 - 0 , Operario PR
Wed 16 Apr , Paysandu , 0 - 2 , Chapecoense
Thu 17 Apr , Coritiba , 0 - 0 , Novorizontino
Thu 17 Apr , Goias , 2 - 2 , Vila Nova
Thu 17 Apr , Botafogo SP , 2 - 2 , Remo
Thu 17 Apr , CRB , 1 - 0 , Volta Redonda
Thu 17 Apr , Criciuma , 4 - 0 , Athletic Club
Fri 18 Apr , Ferroviaria , 2 - 0 , Atletico GO
Fri 18 Apr , America MG , 3 - 1 , Amazonas
Sat 19 Apr , Operario PR , 0 - 0 , Paysandu
Sun 20 Apr , Vila Nova , 2 - 0 , Botafogo SP
Sun 20 Apr , Chapecoense , 1 - 0 , Athletic Club
Sun 20 Apr , Athletico PR , 2 - 0 , CRB
Sun 20 Apr , America MG , 1 - 0 , Goias
Mon 21 Apr , Amazonas , 0 - 2 , Avai
Mon 21 Apr , Novorizontino , 1 - 1 , Criciuma
Tue 22 Apr , Remo , 1 - 0 , Coritiba
Tue 22 Apr , Atletico GO , 1 - 1 , Cuiaba
Tue 22 Apr , Volta Redonda , 0 - 0 , Ferroviaria
Fri 25 Apr , Novorizontino , 2 - 1 , Athletico PR
Fri 25 Apr , Criciuma , 1 - 1 , Remo
Sat 26 Apr , Vila Nova , 1 - 0 , Chapecoense
Sat 26 Apr , Coritiba , 2 - 0 , Operario PR
Sat 26 Apr , Avai , 3 - 0 , America MG
Sun 27 Apr , Athletic Club , 2 - 1 , Volta Redonda
Sun 27 Apr , Amazonas , 1 - 1 , Atletico GO
Sun 27 Apr , Paysandu , 1 - 1 , CRB
Sun 27 Apr , Cuiaba , 1 - 0 , Ferroviaria
Mon 28 Apr , Botafogo SP , 0 - 1 , Goias
Sat 3 May , Ferroviaria , 2 - 1 , Coritiba
Sat 3 May , Remo , 1 - 0 , Amazonas
Sat 3 May , Volta Redonda , 1 - 0 , Paysandu
Sun 4 May , Atletico GO , 1 - 0 , Novorizontino
Sun 4 May , Athletico PR , 1 - 4 , Botafogo SP
Sun 4 May , Chapecoense , 2 - 1 , Criciuma
Sun 4 May , Operario PR , 1 - 0 , America MG
Mon 5 May , Goias , 2 - 1 , Avai
Tue 6 May , CRB , 1 - 1 , Cuiaba
Wed 7 May , Athletic Club , 0 - 1 , Vila Nova
Fri 9 May , Athletico PR , 1 - 1 , Chapecoense
Sat 10 May , Avai , 0 - 0 , Atletico GO
Sat 10 May , Goias , 1 - 0 , Coritiba
Sun 11 May , Criciuma , 0 - 0 , Volta Redonda
Sun 11 May , Cuiaba , 2 - 3 , Operario PR
Sun 11 May , Novorizontino , 2 - 2 , Ferroviaria
Mon 12 May , Botafogo SP , 0 - 3 , Athletic Club
Tue 13 May , Amazonas , 1 - 1 , CRB
Wed 14 May , Remo , 2 - 0 , Vila Nova
Wed 14 May , America MG , 2 - 2 , Paysandu
Fri 16 May , Ferroviaria , 1 - 1 , Avai
Fri 16 May , Chapecoense , 2 - 1 , Cuiaba
Sat 17 May , Operario PR , 3 - 0 , Botafogo SP
Sat 17 May , Vila Nova , 2 - 1 , Athletico PR
Sat 17 May , Athletic Club , 0 - 2 , Novorizontino
Sun 18 May , Atletico GO , 1 - 1 , Remo
Sun 18 May , CRB , 1 - 0 , Criciuma
Sun 18 May , Paysandu , 0 - 0 , Goias
Mon 19 May , Volta Redonda , 1 - 1 , Amazonas
Tue 20 May , Coritiba , 1 - 0 , America MG
Sat 24 May , Goias , 2 - 0 , Ferroviaria
Sat 24 May , Athletico PR , 1 - 0 , Athletic Club
Sat 24 May , Remo , 1 - 1 , Volta Redonda
Sat 24 May , Avai , 2 - 1 , Chapecoense
Sun 25 May , Novorizontino , 3 - 1 , Paysandu
Sun 25 May , Amazonas , 2 - 0 , Operario PR
Mon 26 May , Criciuma , 0 - 1 , Coritiba
Mon 26 May , Botafogo SP , 2 - 1 , CRB
Tue 27 May , Cuiaba , 1 - 0 , Vila Nova
Tue 27 May , America MG , 2 - 1 , Atletico GO
Fri 30 May , Ferroviaria , 1 - 1 , Botafogo SP
Fri 30 May , Vila Nova , 0 - 1 , Novorizontino
Sat 31 May , Coritiba , 2 - 1 , Avai
Sat 31 May , Atletico GO , 1 - 2 , Goias
Sat 31 May , Athletic Club , 0 - 2 , Cuiaba
Sun 1 Jun , Operario PR , 2 - 2 , Athletico PR
Sun 1 Jun , CRB , 2 - 0 , Remo
Sun 1 Jun , Volta Redonda , 1 - 0 , America MG
Mon 2 Jun , Chapecoense , 4 - 0 , Amazonas
Tue 3 Jun , Paysandu , 0 - 1 , Criciuma
Thu 5 Jun , Botafogo SP , 0 - 0 , Coritiba
Fri 6 Jun , Novorizontino , 1 - 0 , Chapecoense
Sat 7 Jun , Cuiaba , 1 - 0 , Paysandu
Sat 7 Jun , America MG , 1 - 2 , Ferroviaria
Sat 7 Jun , Avai , 1 - 0 , CRB
Sun 8 Jun , Goias , 2 - 0 , Volta Redonda
Sun 8 Jun , Athletico PR , 0 - 1 , Atletico GO
Sun 8 Jun , Remo , 2 - 1 , Operario PR
Mon 9 Jun , Criciuma , 1 - 0 , Vila Nova
Mon 9 Jun , Amazonas , 1 - 0 , Athletic Club
Fri 13 Jun , Vila Nova , 0 - 3 , America MG
Sat 14 Jun , Paysandu , 1 - 0 , Botafogo SP
Sat 14 Jun , CRB , 2 - 0 , Goias
Sat 14 Jun , Athletico PR , 2 - 1 , Remo
Sat 14 Jun , Athletic Club , 2 - 1 , Operario PR
Sun 15 Jun , Atletico GO , 0 - 0 , Coritiba
Sun 15 Jun , Novorizontino , 3 - 0 , Cuiaba
Sun 15 Jun , Criciuma , 3 - 2 , Amazonas
Mon 16 Jun , Chapecoense , 2 - 1 , Ferroviaria
Tue 17 Jun , Volta Redonda , 1 - 1 , Avai
Fri 20 Jun , Botafogo SP , 1 - 0 , Chapecoense
Sat 21 Jun , America MG , 1 - 1 , Criciuma
Sat 21 Jun , Avai , 1 - 2 , Athletico PR
Sat 21 Jun , Remo , 0 - 1 , Paysandu
Sat 21 Jun , Ferroviaria , 1 - 0 , CRB
Sun 22 Jun , Atletico GO , 2 - 0 , Volta Redonda
Sun 22 Jun , Coritiba , 2 - 0 , Cuiaba
Sun 22 Jun , Amazonas , 2 - 1 , Vila Nova
Mon 23 Jun , Operario PR , 2 - 0 , Novorizontino
Tue 24 Jun , Goias , 1 - 2 , Athletic Club
Fri 27 Jun , CRB , 1 - 2 , America MG
Fri 27 Jun , Criciuma , 1 - 2 , Avai
Sat 28 Jun , Vila Nova , 1 - 0 , Atletico GO
Sat 28 Jun , Athletico PR , 0 - 1 , Coritiba
Sun 29 Jun , Athletic Club , 1 - 2 , Remo
Sun 29 Jun , Volta Redonda , 1 - 0 , Operario PR
Sun 29 Jun , Chapecoense , 1 - 2 , Goias
Sun 29 Jun , Novorizontino , 1 - 1 , Amazonas
Mon 30 Jun , Paysandu , 2 - 1 , Ferroviaria
Tue 1 Jul , Cuiaba , 0 - 1 , Botafogo SP
Fri 4 Jul , Atletico GO , 2 - 1 , CRB
Fri 4 Jul , Coritiba , 2 - 0 , Volta Redonda
Sat 5 Jul , Remo , 0 - 0 , Cuiaba
Sat 5 Jul , Avai , 0 - 0 , Paysandu
Sat 5 Jul , Amazonas , 0 - 1 , Athletico PR
Sun 6 Jul , Ferroviaria , 1 - 3 , Vila Nova
Sun 6 Jul , Botafogo SP , 0 - 0 , Novorizontino
Mon 7 Jul , Operario PR , 1 - 2 , Chapecoense
Tue 8 Jul , America MG , 0 - 1 , Athletic Club
Tue 8 Jul , Goias , 1 - 1 , Criciuma
Fri 11 Jul , CRB , 0 - 1 , Coritiba
Fri 11 Jul , Vila Nova , 0 - 0 , Operario PR
Sat 12 Jul , Novorizontino , 3 - 1 , America MG
Sat 12 Jul , Paysandu , 2 - 2 , Atletico GO
Sat 12 Jul , Athletico PR , 0 - 1 , Goias
Sun 13 Jul , Criciuma , 2 - 1 , Ferroviaria
Sun 13 Jul , Chapecoense , 1 - 1 , Remo
Mon 14 Jul , Athletic Club , 4 - 0 , Avai
Tue 15 Jul , Botafogo SP , 0 - 0 , Volta Redonda
