Sat 12 Apr , Botafogo PB , 3 - 0 , Confianca
Sat 12 Apr , CSA , 1 - 1 , Anapolis
Sat 12 Apr , Figueirense , 1 - 1 , Ponte Preta
Sat 12 Apr , Ituano , 0 - 0 , Brusque
Sun 13 Apr , Caxias , 1 - 0 , Floresta
Sun 13 Apr , Guarani , 2 - 3 , Maringa
Sun 13 Apr , Itabaiana , 2 - 1 , Nautico
Sun 13 Apr , Retro , 0 - 0 , Tombense
Sun 13 Apr , Sao Bernardo , 1 - 1 , ABC
Mon 14 Apr , Londrina , 3 - 1 , Ypiranga
Sat 19 Apr , Nautico , 0 - 0 , Botafogo PB
Sat 19 Apr , Ponte Preta , 1 - 0 , Retro
Sat 19 Apr , Anapolis , 0 - 1 , Ituano
Sat 19 Apr , Ypiranga , 3 - 2 , Itabaiana
Sun 20 Apr , Confianca , 2 - 1 , Caxias
Sun 20 Apr , Floresta , 0 - 2 , Londrina
Sun 20 Apr , Brusque , 1 - 0 , Guarani
Sun 20 Apr , Maringa , 1 - 0 , Sao Bernardo
Mon 21 Apr , ABC , 1 - 1 , CSA
Mon 21 Apr , Tombense , 3 - 2 , Figueirense
Sat 26 Apr , Confianca , 1 - 2 , Ponte Preta
Sat 26 Apr , Londrina , 1 - 1 , Maringa
Sat 26 Apr , CSA , 2 - 1 , Nautico
Sat 26 Apr , Retro , 2 - 1 , Figueirense
Sun 27 Apr , Itabaiana , 0 - 1 , Sao Bernardo
Sun 27 Apr , Ituano , 3 - 1 , Tombense
Sun 27 Apr , Botafogo PB , 0 - 0 , ABC
Sun 27 Apr , Brusque , 1 - 0 , Ypiranga
Mon 28 Apr , Anapolis , 0 - 0 , Floresta
Mon 28 Apr , Caxias , 2 - 0 , Guarani
Sat 3 May , ABC , 2 - 3 , Ituano
Sat 3 May , Maringa , 3 - 2 , Confianca
Sat 3 May , Ponte Preta , 2 - 0 , Anapolis
Sat 3 May , Tombense , 2 - 0 , Itabaiana
Sun 4 May , Floresta , 1 - 0 , Retro
Sun 4 May , Ypiranga , 1 - 0 , CSA
Sun 4 May , Guarani , 2 - 1 , Botafogo PB
Sun 4 May , Nautico , 0 - 0 , Brusque
Mon 5 May , Figueirense , 2 - 3 , Caxias
Mon 5 May , Sao Bernardo , 0 - 0 , Londrina
Sat 10 May , Guarani , 0 - 1 , Sao Bernardo
Sat 10 May , Nautico , 2 - 0 , Confianca
Sat 10 May , Anapolis , 0 - 0 , Ypiranga
Sat 10 May , Brusque , 0 - 1 , ABC
Sun 11 May , Botafogo PB , 2 - 3 , Floresta
Sun 11 May , Caxias , 2 - 1 , Retro
Sun 11 May , CSA , 3 - 2 , Maringa
Sun 11 May , Londrina , 1 - 1 , Tombense
Mon 12 May , Itabaiana , 1 - 1 , Figueirense
Mon 12 May , Ituano , 0 - 1 , Ponte Preta
Sat 17 May , Floresta , 0 - 0 , Guarani
Sat 17 May , Tombense , 0 - 0 , CSA
Sat 17 May , Ponte Preta , 1 - 4 , Brusque
Sat 17 May , Ypiranga , 0 - 4 , Nautico
Sun 18 May , Maringa , 1 - 1 , Botafogo PB
Sun 18 May , Sao Bernardo , 1 - 0 , Caxias
Sun 18 May , Figueirense , 2 - 0 , Ituano
Sun 18 May , Retro , 1 - 0 , Itabaiana
Mon 19 May , ABC , 3 - 3 , Anapolis
Mon 19 May , Confianca , 0 - 2 , Londrina
Sat 24 May , CSA , 0 - 0 , Confianca
Sat 24 May , Nautico , 0 - 1 , Ponte Preta
Sat 24 May , Itabaiana , 2 - 1 , Caxias
Sat 24 May , Londrina , 1 - 1 , ABC
Sun 25 May , Botafogo PB , 1 - 0 , Retro
Sun 25 May , Ituano , 0 - 0 , Floresta
Sun 25 May , Ypiranga , 1 - 0 , Tombense
Sun 25 May , Anapolis , 1 - 1 , Maringa
Mon 26 May , Brusque , 1 - 0 , Sao Bernardo
Mon 26 May , Guarani , 0 - 0 , Figueirense
Sat 31 May , ABC , 0 - 0 , Nautico
Sat 31 May , Retro , 0 - 2 , Guarani
Sat 31 May , Caxias , 4 - 2 , Londrina
Sat 31 May , Floresta , 1 - 0 , Itabaiana
Sun 1 Jun , Confianca , 4 - 1 , Brusque
Sun 1 Jun , Tombense , 1 - 1 , Anapolis
Sun 1 Jun , Figueirense , 1 - 0 , Botafogo PB
Sun 1 Jun , Maringa , 1 - 1 , Ituano
Mon 2 Jun , Ponte Preta , 0 - 1 , Ypiranga
Mon 2 Jun , Sao Bernardo , 1 - 3 , CSA
Sat 14 Jun , Ituano , 1 - 1 , Sao Bernardo
Sat 14 Jun , Ponte Preta , 0 - 0 , ABC
Sat 14 Jun , Anapolis , 0 - 0 , Retro
Sat 14 Jun , Botafogo PB , 1 - 2 , Caxias
Sun 15 Jun , Brusque , 0 - 0 , Tombense
Sun 15 Jun , Londrina , 2 - 1 , Figueirense
Sun 15 Jun , Guarani , 2 - 1 , Itabaiana
Sun 15 Jun , Ypiranga , 1 - 0 , Confianca
Mon 16 Jun , CSA , 2 - 0 , Floresta
Mon 16 Jun , Nautico , 2 - 1 , Maringa
Sat 28 Jun , Guarani , 1 - 0 , CSA
Sat 28 Jun , Retro , 0 - 4 , Londrina
Sat 28 Jun , Maringa , 0 - 1 , Ponte Preta
Sat 28 Jun , Sao Bernardo , 3 - 0 , Anapolis
Sun 29 Jun , ABC , 0 - 3 , Ypiranga
Sun 29 Jun , Figueirense , 1 - 1 , Confianca
Sun 29 Jun , Caxias , 2 - 1 , Ituano
Sun 29 Jun , Tombense , 0 - 2 , Nautico
Mon 30 Jun , Floresta , 2 - 1 , Brusque
Mon 30 Jun , Itabaiana , 1 - 0 , Botafogo PB
Sat 5 Jul , Ituano , 2 - 0 , Retro
Sat 5 Jul , Nautico , 0 - 0 , Floresta
Sat 5 Jul , Confianca , 1 - 1 , ABC
Sat 5 Jul , CSA , 2 - 3 , Caxias
Sun 6 Jul , Anapolis , 1 - 0 , Itabaiana
Sun 6 Jul , Londrina , 1 - 1 , Guarani
Sun 6 Jul , Brusque , 0 - 2 , Figueirense
Sun 6 Jul , Ypiranga , 0 - 0 , Maringa
Mon 7 Jul , Botafogo PB , 1 - 1 , Sao Bernardo
Mon 7 Jul , Ponte Preta , 1 - 0 , Tombense
Sat 12 Jul , Itabaiana , 0 - 0 , Confianca
Sat 12 Jul , Sao Bernardo , 2 - 0 , Ponte Preta
Sat 12 Jul , Floresta , 2 - 1 , Ypiranga
Sat 12 Jul , Tombense , 1 - 2 , ABC
Sun 13 Jul , Botafogo PB , 2 - 0 , Londrina
Sun 13 Jul , Guarani , 0 - 0 , Ituano
Sun 13 Jul , Caxias , 1 - 0 , Anapolis
Sun 13 Jul , Figueirense , 0 - 0 , Nautico
Mon 14 Jul , Maringa , 0 - 2 , Brusque
Mon 14 Jul , Retro , 0 - 0 , CSA
Sat 19 Jul , ABC , 3 - 3 , Maringa
Sat 19 Jul , Ituano , 0 - 3 , Botafogo PB
Sat 19 Jul , Londrina , 2 - 0 , Itabaiana
Sat 19 Jul , Ponte Preta , 2 - 1 , Floresta
Sun 20 Jul , Confianca , 3 - 2 , Tombense
Sun 20 Jul , CSA , 1 - 1 , Figueirense
Sun 20 Jul , Brusque , 1 - 2 , Retro
Sun 20 Jul , Ypiranga , 0 - 2 , Sao Bernardo
Mon 21 Jul , Anapolis , 2 - 0 , Guarani
Mon 21 Jul , Nautico , 2 - 0 , Caxias
Sat 26 Jul , Floresta , 1 - 1 , ABC
Sat 26 Jul , Guarani , 0 - 1 , Nautico
Sat 26 Jul , Londrina , 3 - 1 , CSA
Sat 26 Jul , Retro , 0 - 0 , Ypiranga
Sun 27 Jul , Caxias , 2 - 1 , Ponte Preta
Sun 27 Jul , Figueirense , 1 - 2 , Anapolis
Sun 27 Jul , Itabaiana , 3 - 1 , Ituano
Sun 27 Jul , Sao Bernardo , 1 - 1 , Confianca
Mon 28 Jul , Botafogo PB , 1 - 3 , Brusque
Mon 28 Jul , Tombense , 1 - 1 , Maringa
Sat 2 Aug , CSA , 2 - 1 , Botafogo PB
Sat 2 Aug , Ponte Preta , 1 - 1 , Guarani
Sat 2 Aug , ABC , 0 - 0 , Figueirense
Sun 3 Aug , Maringa , 1 - 1 , Floresta
Sun 3 Aug , Sao Bernardo , 2 - 0 , Tombense
Sun 3 Aug , Nautico , 3 - 0 , Retro
