Sat 15 Feb , Fujieda MYFC , 0 - 2 , Tokushima V.
Sat 15 Feb , Iwaki , 0 - 2 , JEF Utd Chiba
Sat 15 Feb , Jubilo Iwata , 3 - 2 , Mito Hollyhock
Sat 15 Feb , Omiya Ardija , 2 - 1 , M. Yamagata
Sat 15 Feb , Sagan Tosu , 0 - 1 , Vegalta Sendai
Sat 15 Feb , Ventforet Kofu , 1 - 0 , R. Yamaguchi
Sat 15 Feb , V-V. Nagasaki , 3 - 2 , R. Kumamoto
Sun 16 Feb , Ehime FC , 0 - 1 , Kataller Toyama
Sun 16 Feb , FC Imabari , 0 - 1 , Blaublitz Akita
Sun 16 Feb , Oita Trinita , 2 - 0 , C. Sapporo
Sat 22 Feb , JEF Utd Chiba , 2 - 0 , Kataller Toyama
Sat 22 Feb , Jubilo Iwata , 1 - 0 , Sagan Tosu
Sat 22 Feb , Omiya Ardija , 1 - 0 , Ventforet Kofu
Sun 23 Feb , R. Kumamoto , 3 - 0 , C. Sapporo
Sun 23 Feb , R. Yamaguchi , 2 - 2 , Nagasaki
Sun 23 Feb , Tokushima V. , 1 - 0 , Vegalta Sendai
Sun 23 Feb , FC Imabari , 0 - 0 , Fujieda MYFC
Sun 23 Feb , Mito Hollyhock , 1 - 0 , M. Yamagata
Sun 23 Feb , Oita Trinita , 0 - 0 , Iwaki
Sun 23 Feb , Ehime FC , 1 - 2 , Blaublitz Akita
Sat 1 Mar , Vegalta Sendai , 2 - 0 , Oita Trinita
Sat 1 Mar , Fujieda MYFC , 2 - 1 , Blaublitz Akita
Sat 1 Mar , JEF Utd Chiba , 3 - 2 , M. Yamagata
Sat 1 Mar , Sagan Tosu , 1 - 4 , FC Imabari
Sat 1 Mar , V-V. Nagasaki , 1 - 0 , Jubilo Iwata
Sun 2 Mar , R. Kumamoto , 0 - 4 , Omiya Ardija
Sun 2 Mar , Iwaki , 1 - 1 , Tokushima V.
Sun 2 Mar , Kataller Toyama , 2 - 0 , Ventforet Kofu
Sun 2 Mar , Mito Hollyhock , 1 - 1 , Ehime FC
Sun 2 Mar , R. Yamaguchi , 2 - 0 , C. Sapporo
Sat 8 Mar , Vegalta Sendai , 1 - 1 , Nagasaki
Sat 8 Mar , Omiya Ardija , 2 - 1 , R. Yamaguchi
Sat 8 Mar , Ehime FC , 2 - 3 , FC Imabari
Sun 9 Mar , C. Sapporo , 1 - 3 , JEF Utd Chiba
Sun 9 Mar , Iwaki , 1 - 1 , Sagan Tosu
Sun 9 Mar , Kataller Toyama , 3 - 1 , Jubilo Iwata
Sun 9 Mar , M. Yamagata , 4 - 2 , Blaublitz Akita
Sun 9 Mar , Oita Trinita , 0 - 0 , Mito Hollyhock
Sun 9 Mar , Tokushima V. , 0 - 0 , R. Kumamoto
Sun 9 Mar , Ventforet Kofu , 3 - 3 , Fujieda MYFC
Sat 15 Mar , Blaublitz Akita , 1 - 3 , C. Sapporo
Sat 15 Mar , Fujieda MYFC , 2 - 0 , Iwaki
Sat 15 Mar , Jubilo Iwata , 2 - 1 , Ventforet Kofu
Sat 15 Mar , Sagan Tosu , 1 - 0 , Omiya Ardija
