Sat 15 Feb , D. Iquique , 0 - 3 , Coquimbo Unido
Sat 15 Feb , OHiggins , 0 - 0 , Huachipato
Sat 15 Feb , Palestino , 2 - 1 , Cobresal
Sat 15 Feb , U. de Chile , 5 - 0 , Nublense
Sun 16 Feb , La Serena , 1 - 3 , Colo-Colo
Sun 16 Feb , D. Limache , 1 - 1 , Everton
Mon 17 Feb , U. Catolica , 3 - 1 , Audax Italiano
Mon 17 Feb , Union La Calera , 4 - 0 , Union Espanola
Fri 21 Feb , Audax Italiano , 4 - 2 , D. Iquique
Fri 21 Feb , Union Espanola , 0 - 3 , Palestino
Sat 22 Feb , Coquimbo Unido , 1 - 0 , U. Catolica
Sat 22 Feb , Nublense , 1 - 1 , D. Limache
Sun 23 Feb , Huachipato , 4 - 0 , Everton
Sun 23 Feb , Cobresal , 3 - 1 , La Serena
Sun 23 Feb , U. de Chile , 1 - 0 , Union La Calera
Mon 24 Feb , Colo-Colo , 0 - 1 , OHiggins
Fri 28 Feb , D. Limache , 1 - 2 , Coquimbo Unido
Sat 1 Mar , La Serena , 1 - 0 , Union Espanola
Sat 1 Mar , Palestino , 0 - 2 , Audax Italiano
Sat 1 Mar , U. Catolica , 1 - 0 , D. Iquique
Sat 1 Mar , Everton , 1 - 2 , Nublense
Sun 2 Mar , Huachipato , 2 - 1 , Colo-Colo
Sun 2 Mar , Cobresal , 2 - 1 , U. de Chile
Sun 2 Mar , Union La Calera , 2 - 2 , OHiggins
Fri 7 Mar , Union La Calera , 1 - 0 , Huachipato
Sat 8 Mar , Nublense , 1 - 1 , U. Catolica
Sat 8 Mar , Audax Italiano , 3 - 1 , D. Limache
Sat 8 Mar , D. Iquique , 1 - 3 , Palestino
Sun 9 Mar , Coquimbo Unido , 1 - 1 , Cobresal
Sun 9 Mar , OHiggins , 1 - 1 , La Serena
Sun 9 Mar , Colo-Colo , 2 - 0 , Everton
Fri 14 Mar , Audax Italiano , 1 - 1 , U. de Chile
Fri 14 Mar , D. Limache , 2 - 3 , Huachipato
Sat 15 Mar , Everton , 0 - 0 , Coquimbo Unido
Sun 16 Mar , La Serena , 1 - 0 , Union La Calera
Sun 16 Mar , Cobresal , 0 - 0 , OHiggins
Sun 16 Mar , Palestino , 2 - 0 , Nublense
Sun 16 Mar , D. Iquique , 0 - 4 , Union Espanola
Thu 27 Mar , Colo-Colo , 1 - 1 , Palestino
Thu 27 Mar , Everton , 2 - 0 , U. de Chile
Fri 28 Mar , Union Espanola , 1 - 2 , U. Catolica
Fri 28 Mar , Nublense , 1 - 1 , D. Iquique
Sat 29 Mar , OHiggins , 3 - 1 , D. Limache
Sun 30 Mar , Huachipato , 3 - 1 , La Serena
Sun 30 Mar , Coquimbo Unido , 2 - 1 , Audax Italiano
Sun 30 Mar , Union La Calera , 2 - 1 , Cobresal
Sat 12 Apr , Coquimbo Unido , 0 - 0 , Huachipato
Sat 12 Apr , Cobresal , 1 - 1 , U. Catolica
Sun 13 Apr , Audax Italiano , 1 - 0 , OHiggins
Sun 13 Apr , La Serena , 2 - 1 , Everton
Mon 14 Apr , Palestino , 1 - 0 , Union La Calera
Mon 14 Apr , Union Espanola , 3 - 0 , Nublense
Tue 15 Apr , D. Limache , 2 - 0 , D. Iquique
Thu 17 Apr , U. de Chile , 3 - 1 , La Serena
Fri 18 Apr , Audax Italiano , 2 - 0 , Union Espanola
Sat 19 Apr , Huachipato , 0 - 1 , Cobresal
Sat 19 Apr , U. Catolica , 2 - 1 , D. Limache
Sun 20 Apr , Everton , 1 - 1 , Union La Calera
Sun 20 Apr , OHiggins , 1 - 0 , Palestino
Mon 21 Apr , Nublense , 0 - 0 , Coquimbo Unido
Fri 25 Apr , Nublense , 2 - 0 , La Serena
Fri 25 Apr , Union La Calera , 1 - 0 , Audax Italiano
Sat 26 Apr , U. Catolica , 6 - 0 , Everton
Sat 26 Apr , Cobresal , 3 - 1 , D. Limache
Sat 26 Apr , Colo-Colo , 2 - 0 , Coquimbo Unido
Sun 27 Apr , OHiggins , 2 - 2 , D. Iquique
Sun 27 Apr , Palestino , 2 - 3 , U. de Chile
Sun 27 Apr , Huachipato , 2 - 1 , Union Espanola
Fri 2 May , D. Limache , 1 - 0 , Colo-Colo
Sat 3 May , Union Espanola , 0 - 1 , Cobresal
Sat 3 May , Everton , 1 - 2 , Palestino
