Sat 22 Feb , Chengdu , 1 - 0 , Wuhan Three T.
Sat 22 Feb , S. Shenhua , 2 - 1 , Changchun Yatai
Sat 22 Feb , Yunnan Yukun , 0 - 2 , Beijing Guoan
Sun 23 Feb , Qingdao Hainiu , 2 - 2 , Qingdao West C.
Sun 23 Feb , Shandong T. , 0 - 0 , Henan SL
Sun 23 Feb , Tianjin T. , 2 - 2 , Meizhou Hakka
Sun 23 Feb , Zhejiang , 1 - 1 , Dalian Yingbo
Sun 23 Feb , Shanghai Port , 3 - 1 , Shenzhen P. C.
Fri 28 Feb , Shandong T. , 4 - 1 , Dalian Yingbo
Fri 28 Feb , Shanghai Port , 2 - 0 , Changchun Yatai
Sat 1 Mar , Qingdao Hainiu , 0 - 1 , Shenzhen P. C.
Sat 1 Mar , Meizhou Hakka , 2 - 1 , Henan SL
Sat 1 Mar , S. Shenhua , 2 - 2 , Beijing Guoan
Sat 1 Mar , Yunnan Yukun , 1 - 1 , Zhejiang
Sun 2 Mar , Chengdu , 1 - 2 , Tianjin T.
Mon 3 Mar , Qingdao West C. , 2 - 0 , Wuhan Three T.
Fri 28 Mar , Qingdao West C. , 3 - 3 , Shanghai Port
Fri 28 Mar , Wuhan Three T. , 0 - 4 , Zhejiang
Fri 28 Mar , Shenzhen P. C. , 3 - 4 , Yunnan Yukun
Sat 29 Mar , Dalian Yingbo , 2 - 0 , Changchun Yatai
Sat 29 Mar , Tianjin T. , 1 - 0 , Qingdao Hainiu
Sat 29 Mar , Henan SL , 1 - 3 , S. Shenhua
Sat 29 Mar , Meizhou Hakka , 3 - 4 , Shandong T.
Sat 29 Mar , Beijing Guoan , 1 - 1 , Chengdu
Tue 1 Apr , Henan SL , 2 - 3 , Qingdao West C.
Tue 1 Apr , Zhejiang , 3 - 0 , Shenzhen P. C.
Wed 2 Apr , Changchun Yatai , 1 - 1 , Wuhan Three T.
Wed 2 Apr , S. Shenhua , 3 - 1 , Yunnan Yukun
Wed 2 Apr , Qingdao Hainiu , 1 - 1 , Dalian Yingbo
Wed 2 Apr , Shandong T. , 0 - 3 , Chengdu
Wed 2 Apr , Tianjin T. , 2 - 2 , Beijing Guoan
Wed 2 Apr , Shanghai Port , 2 - 1 , Meizhou Hakka
Sat 5 Apr , Shenzhen P. C. , 1 - 3 , Henan SL
Sun 6 Apr , Changchun Yatai , 1 - 2 , Shandong T.
Sun 6 Apr , Qingdao West C. , 2 - 2 , Tianjin T.
Sun 6 Apr , Chengdu , 2 - 0 , Dalian Yingbo
Sun 6 Apr , Meizhou Hakka , 3 - 1 , Wuhan Three T.
Sun 6 Apr , Beijing Guoan , 2 - 0 , Zhejiang
Sun 6 Apr , Shanghai Port , 1 - 1 , S. Shenhua
Sun 6 Apr , Yunnan Yukun , 1 - 0 , Qingdao Hainiu
Fri 11 Apr , Meizhou Hakka , 1 - 3 , Changchun Yatai
Fri 11 Apr , Shandong T. , 4 - 0 , Shenzhen P. C.
Sat 12 Apr , Dalian Yingbo , 1 - 1 , Tianjin T.
Sat 12 Apr , Qingdao Hainiu , 0 - 1 , Chengdu
Sat 12 Apr , Wuhan Three T. , 3 - 1 , Yunnan Yukun
Sat 12 Apr , S. Shenhua , 3 - 2 , Zhejiang
Tue 15 Apr , Qingdao West C. , 1 - 5 , Shandong T.
Tue 15 Apr , Wuhan Three T. , 4 - 4 , Beijing Guoan
Tue 15 Apr , Shenzhen P. C. , 3 - 1 , Changchun Yatai
Wed 16 Apr , Tianjin T. , 1 - 4 , Shanghai Port
Wed 16 Apr , Dalian Yingbo , 1 - 0 , Henan SL
Wed 16 Apr , Zhejiang , 2 - 2 , Meizhou Hakka
Wed 16 Apr , Chengdu , 1 - 1 , Yunnan Yukun
Wed 16 Apr , S. Shenhua , 3 - 2 , Qingdao Hainiu
Sat 19 Apr , S. Shenhua , 2 - 0 , Wuhan Three T.
Sat 19 Apr , Beijing Guoan , 6 - 1 , Shandong T.
Sun 20 Apr , Changchun Yatai , 0 - 0 , Yunnan Yukun
Sun 20 Apr , Henan SL , 3 - 1 , Qingdao Hainiu
Sun 20 Apr , Qingdao West C. , 2 - 0 , Dalian Yingbo
Sun 20 Apr , Meizhou Hakka , 3 - 0 , Shenzhen P. C.
Sun 20 Apr , Shanghai Port , 1 - 3 , Chengdu
Sun 20 Apr , Tianjin T. , 2 - 0 , Zhejiang
Fri 25 Apr , Beijing Guoan , 1 - 0 , Henan SL
Fri 25 Apr , Yunnan Yukun , 2 - 3 , Shanghai Port
Sat 26 Apr , Changchun Yatai , 1 - 2 , Chengdu
Sat 26 Apr , Shenzhen P. C. , 1 - 1 , Dalian Yingbo
Sat 26 Apr , Shandong T. , 0 - 1 , S. Shenhua
Sun 27 Apr , Wuhan Three T. , 2 - 1 , Tianjin T.
Sun 27 Apr , Qingdao Hainiu , 1 - 1 , Meizhou Hakka
Sun 27 Apr , Zhejiang , 2 - 1 , Qingdao West C.
Thu 1 May , Dalian Yingbo , 3 - 2 , Yunnan Yukun
Thu 1 May , Shenzhen P. C. , 1 - 0 , Tianjin T.
Thu 1 May , Henan SL , 1 - 2 , Wuhan Three T.
Thu 1 May , Zhejiang , 4 - 2 , Changchun Yatai
Thu 1 May , Shandong T. , 1 - 1 , Qingdao Hainiu
Thu 1 May , Shanghai Port , 1 - 2 , Beijing Guoan
Fri 2 May , Qingdao West C. , 3 - 1 , Meizhou Hakka
Fri 2 May , Chengdu , 1 - 0 , S. Shenhua
Mon 5 May , Dalian Yingbo , 0 - 2 , Beijing Guoan
Mon 5 May , Henan SL , 3 - 4 , Tianjin T.
Mon 5 May , Wuhan Three T. , 0 - 2 , Shanghai Port
Mon 5 May , Chengdu , 2 - 1 , Zhejiang
Mon 5 May , Qingdao Hainiu , 3 - 0 , Changchun Yatai
Mon 5 May , Yunnan Yukun , 3 - 2 , Shandong T.
Tue 6 May , Meizhou Hakka , 1 - 3 , S. Shenhua
Tue 6 May , Qingdao West C. , 0 - 0 , Shenzhen P. C.
Fri 9 May , Shanghai Port , 3 - 1 , Qingdao Hainiu
Sat 10 May , S. Shenhua , 4 - 0 , Qingdao West C.
Sat 10 May , Meizhou Hakka , 0 - 4 , Chengdu
Sat 10 May , Shandong T. , 4 - 2 , Zhejiang
Sat 10 May , Beijing Guoan , 3 - 1 , Shenzhen P. C.
Sun 11 May , Changchun Yatai , 0 - 1 , Henan SL
Sun 11 May , Tianjin T. , 0 - 1 , Yunnan Yukun
Sun 11 May , Wuhan Three T. , 2 - 2 , Dalian Yingbo
Fri 16 May , Zhejiang , 2 - 2 , Henan SL
Fri 16 May , Yunnan Yukun , 2 - 0 , Meizhou Hakka
Sat 17 May , Dalian Yingbo , 0 - 3 , S. Shenhua
Sat 17 May , Changchun Yatai , 1 - 2 , Tianjin T.
Sat 17 May , Chengdu , 1 - 1 , Qingdao West C.
Sat 17 May , Qingdao Hainiu , 1 - 1 , Beijing Guoan
Sat 17 May , Shanghai Port , 1 - 1 , Shandong T.
Fri 13 Jun , Dalian Yingbo , 1 - 0 , Meizhou Hakka
Fri 13 Jun , Wuhan Three T. , 2 - 0 , Qingdao Hainiu
Sat 14 Jun , Zhejiang , 2 - 2 , Shanghai Port
Sat 14 Jun , Beijing Guoan , 2 - 1 , Changchun Yatai
Sat 14 Jun , Qingdao West C. , 0 - 0 , Yunnan Yukun
Sat 14 Jun , Henan SL , 3 - 2 , Chengdu
Sat 14 Jun , Shenzhen P. C. , 3 - 1 , S. Shenhua
Sat 14 Jun , Tianjin T. , 1 - 0 , Shandong T.
Tue 17 Jun , Beijing Guoan , 1 - 0 , Qingdao West C.
Wed 18 Jun , Henan SL , 1 - 3 , Shanghai Port
Wed 18 Jun , Shenzhen P. C. , 1 - 2 , Wuhan Three T.
Wed 25 Jun , Qingdao Hainiu , 0 - 3 , Zhejiang
Wed 25 Jun , S. Shenhua , 3 - 0 , Tianjin T.
Wed 25 Jun , Changchun Yatai , 1 - 0 , Qingdao West C.
Wed 25 Jun , Meizhou Hakka , 0 - 4 , Beijing Guoan
Wed 25 Jun , Shandong T. , 3 - 1 , Wuhan Three T.
Wed 25 Jun , Chengdu , 5 - 0 , Shenzhen P. C.
Thu 26 Jun , Shanghai Port , 3 - 0 , Dalian Yingbo
Thu 26 Jun , Yunnan Yukun , 2 - 1 , Henan SL
Sun 29 Jun , Changchun Yatai , 1 - 2 , S. Shenhua
Sun 29 Jun , Qingdao West C. , 1 - 0 , Qingdao Hainiu
Sun 29 Jun , Meizhou Hakka , 1 - 2 , Tianjin T.
Sun 29 Jun , Wuhan Three T. , 2 - 2 , Chengdu
Mon 30 Jun , Henan SL , 2 - 2 , Shandong T.
Mon 30 Jun , Beijing Guoan , 2 - 1 , Yunnan Yukun
Mon 30 Jun , Dalian Yingbo , 1 - 0 , Zhejiang
Mon 30 Jun , Shenzhen P. C. , 1 - 2 , Shanghai Port
Fri 18 Jul , Changchun Yatai , 1 - 3 , Shanghai Port
Fri 18 Jul , Wuhan Three T. , 1 - 1 , Qingdao West C.
Fri 18 Jul , Tianjin T. , 2 - 1 , Chengdu
Fri 18 Jul , Zhejiang , 3 - 1 , Yunnan Yukun
Sat 19 Jul , Dalian Yingbo , 2 - 0 , Shandong T.
Sat 19 Jul , Beijing Guoan , 1 - 3 , S. Shenhua
Sat 19 Jul , Shenzhen P. C. , 4 - 0 , Qingdao Hainiu
Sat 19 Jul , Henan SL , 1 - 1 , Meizhou Hakka
Sat 26 Jul , Shanghai Port , 2 - 2 , Qingdao West C.
Sat 26 Jul , Chengdu , 2 - 0 , Beijing Guoan
Sat 26 Jul , Yunnan Yukun , 3 - 1 , Shenzhen P. C.
Sun 27 Jul , Changchun Yatai , 0 - 2 , Dalian Yingbo
Sun 27 Jul , Qingdao Hainiu , 2 - 0 , Tianjin T.
Sun 27 Jul , S. Shenhua , 3 - 2 , Henan SL
Sun 27 Jul , Zhejiang , 3 - 2 , Wuhan Three T.
Sun 27 Jul , Shandong T. , 3 - 0 , Meizhou Hakka
Sat 2 Aug , Yunnan Yukun , 4 - 4 , S. Shenhua
Sat 2 Aug , Chengdu , 2 - 1 , Shandong T.
Sat 2 Aug , Qingdao West C. , 2 - 1 , Henan SL
Sat 2 Aug , Meizhou Hakka , 2 - 4 , Shanghai Port
Sun 3 Aug , Dalian Yingbo , 2 - 0 , Qingdao Hainiu
Sun 3 Aug , Beijing Guoan , 2 - 2 , Tianjin T.
Sun 3 Aug , Wuhan Three T. , 0 - 0 , Changchun Yatai
Sun 3 Aug , Shenzhen P. C. , 2 - 4 , Zhejiang
Fri 8 Aug , Dalian Yingbo , 0 - 2 , Chengdu
Fri 8 Aug , Henan SL , 4 - 1 , Shenzhen P. C.
Sat 9 Aug , Shandong T. , 2 - 1 , Changchun Yatai
Sat 9 Aug , S. Shenhua , 1 - 2 , Shanghai Port
Sat 9 Aug , Qingdao Hainiu , 5 - 1 , Yunnan Yukun
Sun 10 Aug , Tianjin T. , 0 - 0 , Qingdao West C.
Sun 10 Aug , Zhejiang , 3 - 4 , Beijing Guoan
