Sat 25 Jan , Boyaca Chico , 1 - 0 , A. Bucaramanga
Sat 25 Jan , America de Cali , 4 - 3 , Llaneros
Sun 26 Jan , A. Nacional , 4 - 0 , Once Caldas
Sun 26 Jan , Santa Fe , 2 - 1 , D. Pereira
Sun 26 Jan , Junior , 0 - 0 , Deportivo Cali
Mon 27 Jan , A. Petrolera , 1 - 1 , I. Medelin
Mon 27 Jan , R. Aguilas , 1 - 1 , La Equidad
Tue 28 Jan , Deportes Tolima , 2 - 0 , Deportivo Pasto
Wed 29 Jan , Fortaleza CEIF , 0 - 0 , Envigado
Sat 1 Feb , Santa Fe , 0 - 0 , Deportes Tolima
Sat 1 Feb , Once Caldas , 2 - 1 , Fortaleza CEIF
Sat 1 Feb , Deportivo Pasto , 0 - 1 , Millonarios
Sun 2 Feb , Junior , 2 - 2 , R. Aguilas
Sun 2 Feb , La Equidad , 0 - 1 , A. Nacional
Sun 2 Feb , Deportivo Cali , 1 - 0 , Envigado
Sun 2 Feb , I. Medelin , 3 - 0 , Boyaca Chico
Mon 3 Feb , A. Bucaramanga , 0 - 4 , America de Cali
Mon 3 Feb , D. Pereira , 0 - 0 , A. Petrolera
Tue 4 Feb , Llaneros , 2 - 0 , Union Magdalena
Fri 7 Feb , R. Aguilas , 0 - 0 , Santa Fe
Sat 8 Feb , Deportes Tolima , 3 - 1 , A. Petrolera
Sat 8 Feb , Boyaca Chico , 2 - 2 , Llaneros
Sat 8 Feb , America de Cali , 1 - 1 , Deportivo Pasto
Sat 8 Feb , Union Magdalena , 0 - 0 , Junior
Sun 9 Feb , Millonarios , 2 - 1 , La Equidad
Sun 9 Feb , Envigado , 0 - 1 , I. Medelin
Sun 9 Feb , Once Caldas , 2 - 1 , A. Bucaramanga
Sun 9 Feb , Fortaleza CEIF , 1 - 0 , Deportivo Cali
Mon 10 Feb , A. Nacional , 3 - 0 , D. Pereira
Wed 12 Feb , Llaneros , 2 - 2 , Millonarios
Wed 12 Feb , Deportivo Pasto , 3 - 0 , Boyaca Chico
