Fri 1 Aug , Lok. Zagreb , 1 - 0 , Vukovar
Sun 3 Aug , Rijeka , 2 - 0 , GoricaSat 2 AugOsijek 0 2 Dinamo Zagreb
Sun 3 Aug , Hajduk Split , 2 - 1 , Slaven Belupo
Mon 4 Aug , Varazdin , 1 - 1 , Istra
Fri 8 Aug , Dinamo Zagreb , 3 - 0 , Gorica
Sat 9 Aug , Istra , 2 - 2 , Vukovar
Sat 9 Aug , Osijek , 0 - 0 , Lok. Zagreb
Sun 10 Aug , Slaven Belupo , 3 - 1 , Rijeka
Sun 10 Aug , Hajduk Split , 2 - 0 , Varazdin
Fri 15 Aug , Vukovar , 1 - 1 , Gorica
Sat 16 Aug , Lok. Zagreb , 1 - 3 , Istra
Sat 16 Aug , Rijeka , 0 - 2 , Gorica
Sun 17 Aug , Varazdin , 0 - 0 , Dinamo Zagreb
Sun 17 Aug , Hajduk Split , 3 - 0 , Osijek
Fri 22 Aug , Vukovar , 2 - 2 , Slaven Belupo
Sat 23 Aug , Slaven Belupo , 1 - 2 , Gorica
Sat 23 Aug , Dinamo Zagreb , 3 - 0 , Lok. Zagreb
Sun 24 Aug , Osijek , 0 - 2 , Istra
Sun 24 Aug , Rijeka , 1 - 2 , Hajduk Split
Fri 29 Aug , Istra , 1 - 0 , Varazdin
Sat 30 Aug , Vukovar , 1 - 2 , Gorica
Sat 30 Aug , Varazdin , 2 - 2 , Slaven Belupo
Sun 31 Aug , Lok. Zagreb , 1 - 1 , Dinamo Zagreb
Sun 31 Aug , Hajduk Split , 2 - 2 , Osijek
Fri 12 Sep , Slaven Belupo , 2 - 1 , Rijeka
Sat 13 Sep , Varazdin , 2 - 0 , Istra
Sat 13 Sep , Rijeka , 1 - 1 , Hajduk Split
Sun 14 Sep , Osijek , 4 - 0 , Lok. Zagreb
Sun 14 Sep , Dinamo Zagreb , 1 - 2 , Vukovar
Sat 20 Sep , Hajduk Split , 0 - 2 , Gorica
Sat 20 Sep , Lok. Zagreb , 1 - 0 , Dinamo Zagreb
Sun 21 Sep , Gorica , 2 - 1 , Varazdin
Sun 21 Sep , Istra , 2 - 1 , Slaven Belupo
Mon 22 Sep , Vukovar , 3 - 2 , Osijek
Fri 26 Sep , Varazdin , 2 - 1 , Rijeka
Sat 27 Sep , Rijeka , 0 - 0 , Vukovar
Sat 27 Sep , Hajduk Split , 2 - 0 , Istra
Sun 28 Sep , Gorica , 0 - 1 , Lok. Zagreb
Sun 28 Sep , Dinamo Zagreb , 4 - 1 , Osijek
Fri 3 Oct , Istra , 1 - 0 , Slaven Belupo
Sat 4 Oct , Vukovar , 0 - 1 , Varazdin
Sat 4 Oct , Slaven Belupo , 2 - 1 , Hajduk Split
Sun 5 Oct , Gorica , 1 - 3 , Osijek
Sun 5 Oct , Lok. Zagreb , 2 - 1 , Rijeka
Fri 17 Oct , Vukovar , 1 - 1 , Dinamo Zagreb
Sat 18 Oct , Slaven Belupo , 1 - 1 , Lok. Zagreb
Sat 18 Oct , Dinamo Zagreb , 2 - 1 , Rijeka
Sun 19 Oct , Istra , 0 - 3 , Osijek
Sun 19 Oct , Gorica , 1 - 3 , Hajduk Split
Fri 24 Oct , Gorica , 1 - 3 , Varazdin
Sat 25 Oct , Lok. Zagreb , 1 - 2 , Hajduk Split
Sat 25 Oct , Varazdin , 1 - 3 , Istra
Mon 27 Oct , Rijeka , 4 - 2 , Slaven Belupo
Mon 27 Oct , Vukovar , 1 - 0 , Osijek
Sat 1 Nov , Dinamo Zagreb , 2 - 1 , Dinamo Zagreb
Sat 1 Nov , Istra , 1 - 1 , Rijeka
Sun 2 Nov , Slaven Belupo , 0 - 0 , Vukovar
Sun 2 Nov , Osijek , 0 - 0 , Hajduk Split
Mon 3 Nov , Gorica , 4 - 1 , Varazdin
Fri 7 Nov , Gorica , 1 - 1 , Lok. Zagreb
Sat 8 Nov , Lok. Zagreb , 1 - 1 , Vukovar
Sat 8 Nov , Hajduk Split , 2 - 0 , Slaven Belupo
Sun 9 Nov , Istra , 2 - 1 , Osijek
Sun 9 Nov , Varazdin , 1 - 0 , Dinamo Zagreb
