Fri 18 Jul , Viborg , 2 - 3 , FC Kobenhavn
Sun 20 Jul , Fredericia , 2 - 3 , Nordsjaelland
Sun 20 Jul , Vejle BK , 1 - 1 , Randers FC
Sun 20 Jul , SonderjyskE , 1 - 1 , AGF Aarhus
Sun 20 Jul , FC Midtjylland , 3 - 3 , Odense BK
Sun 20 Jul , Brondby IF , 3 - 0 , Silkeborg
Fri 25 Jul , AGF Aarhus , 1 - 2 , Randers FC
Sat 26 Jul , FC Kobenhavn , 2 - 0 , Vejle BK
Sun 27 Jul , Odense BK , 3 - 1 , Viborg
Sun 27 Jul , Silkeborg , 0 - 2 , Fredericia
Sun 27 Jul , Nordsjaelland , 0 - 1 , Brondby IF
Mon 28 Jul , FC Midtjylland , 6 - 2 , SonderjyskE
Fri 1 Aug , Fredericia , 0 - 2 , FC Kobenhavn
Fri 1 Aug , Vejle BK , 4 - 0 , Odense BK
Sun 3 Aug , Randers FC , 1 - 0 , Silkeborg
Sun 3 Aug , SonderjyskE , 3 - 2 , Nordsjaelland
Sun 3 Aug , AGF Aarhus , 0 - 0 , FC Midtjylland
Sun 3 Aug , Brondby IF , 0 - 2 , Viborg
Fri 8 Aug , FC Kobenhavn , 2 - 3 , AGF Aarhus
Fri 8 Aug , Viborg , 1 - 0 , SonderjyskE
Sun 10 Aug , FC Midtjylland , 3 - 3 , Fredericia
Sun 10 Aug , Silkeborg , 4 - 2 , Nordsjaelland
Sun 10 Aug , Brondby IF , 2 - 1 , Vejle BK
Mon 11 Aug , Odense BK , 3 - 2 , Randers FC
Fri 15 Aug , Nordsjaelland , 1 - 3 , FC Kobenhavn
Fri 15 Aug , Fredericia , 3 - 2 , SonderjyskE
Sun 17 Aug , Vejle BK , 0 - 2 , FC Midtjylland
Sun 17 Aug , Viborg , 2 - 3 , Silkeborg
Sun 17 Aug , Randers FC , 0 - 2 , Brondby IF
Mon 18 Aug , Odense BK , 1 - 5 , AGF Aarhus
Sat 23 Aug , FC Kobenhavn , 1 - 1 , Odense BK
Sun 24 Aug , FC Midtjylland , 4 - 2 , Silkeborg
Sun 24 Aug , Fredericia , 1 - 0 , Randers FC
Sun 24 Aug , SonderjyskE , 2 - 0 , Brondby IF
Sun 24 Aug , AGF Aarhus , 1 - 0 , Vejle BK
Mon 25 Aug , Nordsjaelland , 1 - 0 , Viborg
Fri 29 Aug , Vejle BK , 1 - 2 , Viborg
Sun 31 Aug , AGF Aarhus , 4 - 1 , Fredericia
Sun 31 Aug , Silkeborg , 0 - 2 , SonderjyskE
Sun 31 Aug , Odense BK , 1 - 2 , Nordsjaelland
Sun 31 Aug , Randers FC , 1 - 5 , FC Kobenhavn
Sun 31 Aug , Brondby IF , 1 - 3 , FC Midtjylland
Fri 12 Sep , SonderjyskE , 0 - 1 , Randers FC
Sat 13 Sep , Brondby IF , 2 - 1 , FC Kobenhavn
Sun 14 Sep , Viborg , 1 - 2 , AGF Aarhus
Sun 14 Sep , Nordsjaelland , 1 - 0 , FC Midtjylland
Sun 14 Sep , Silkeborg , 2 - 1 , Odense BK
Mon 15 Sep , Fredericia , 1 - 1 , Vejle BK
Fri 19 Sep , Odense BK , 3 - 2 , Fredericia
Sat 20 Sep , FC Midtjylland , 2 - 0 , Viborg
Sun 21 Sep , Vejle BK , 2 - 2 , SonderjyskE
Sun 21 Sep , FC Kobenhavn , 3 - 3 , Silkeborg
Sun 21 Sep , AGF Aarhus , 1 - 0 , Brondby IF
Mon 22 Sep , Randers FC , 3 - 0 , Nordsjaelland
Sat 27 Sep , SonderjyskE , 1 - 2 , FC Kobenhavn
Sun 28 Sep , Viborg , 2 - 1 , Fredericia
Sun 28 Sep , Silkeborg , 1 - 1 , Vejle BK
Sun 28 Sep , Nordsjaelland , 1 - 2 , AGF Aarhus
Sun 28 Sep , Brondby IF , 5 - 1 , Odense BK
Mon 29 Sep , FC Midtjylland , 2 - 1 , Randers FC
Fri 3 Oct , Odense BK , 1 - 1 , SonderjyskE
Sun 5 Oct , Randers FC , 2 - 1 , Viborg
Sun 5 Oct , Vejle BK , 0 - 3 , Nordsjaelland
Sun 5 Oct , AGF Aarhus , 3 - 1 , Silkeborg
Sun 5 Oct , FC Kobenhavn , 1 - 1 , FC Midtjylland
Sun 5 Oct , Fredericia , 0 - 2 , Brondby IF
Fri 17 Oct , Silkeborg , 3 - 1 , FC Kobenhavn
Sun 19 Oct , Nordsjaelland , 1 - 0 , Randers FC
Sun 19 Oct , Viborg , 1 - 2 , Odense BK
Sun 19 Oct , Brondby IF , 3 - 3 , AGF Aarhus
Sun 19 Oct , FC Midtjylland , 5 - 1 , Vejle BK
Mon 20 Oct , SonderjyskE , 3 - 0 , Fredericia
Fri 24 Oct , AGF Aarhus , 1 - 0 , Nordsjaelland
Sun 26 Oct , Fredericia , 0 - 4 , FC Midtjylland
Sun 26 Oct , Vejle BK , 1 - 2 , Silkeborg
Sun 26 Oct , Randers FC , 0 - 0 , SonderjyskE
Sun 26 Oct , FC Kobenhavn , 0 - 0 , Viborg
Mon 27 Oct , Odense BK , 1 - 4 , Brondby IF
Sat 1 Nov , FC Kobenhavn , 3 - 2 , Fredericia
Sun 2 Nov , Viborg , 3 - 2 , Randers FC
Sun 2 Nov , SonderjyskE , 2 - 1 , Vejle BK
Sun 2 Nov , Nordsjaelland , 2 - 4 , Odense BK
Sun 2 Nov , Silkeborg , 0 - 2 , Brondby IF
Mon 3 Nov , FC Midtjylland , 1 - 1 , AGF Aarhus
Fri 7 Nov , Odense BK , 1 - 1 , Silkeborg
Sun 9 Nov , Fredericia , 0 - 3 , Viborg
Sun 9 Nov , Vejle BK , 2 - 0 , FC Kobenhavn
Sun 9 Nov , Randers FC , 0 - 2 , FC Midtjylland
Sun 9 Nov , AGF Aarhus , 2 - 3 , SonderjyskE
Sun 9 Nov , Brondby IF , 2 - 0 , Nordsjaelland
