Sat 15 Feb , Manta , 2 - 3 , Barcelona SC
Sat 15 Feb , Aucas , 4 - 1 , Tecnico U.
Sat 15 Feb , Libertad , 2 - 0 , I. del Valle
Sun 16 Feb , Macara , 1 - 0 , Orense
Sun 16 Feb , LDU Quito , 0 - 0 , Cuniburo
Sun 16 Feb , El Nacional , 0 - 1 , D. Cuenca
Sun 16 Feb , Emelec , 0 - 4 , U. Catolica
Tue 18 Feb , Mushuc Runa , 2 - 0 , Delfin
Sat 22 Feb , D. Cuenca , 2 - 0 , Aucas
Sat 22 Feb , Cuniburo , 1 - 2 , Macara
Sat 22 Feb , Delfin , 2 - 0 , Emelec
Sun 23 Feb , I. del Valle , 1 - 1 , LDU Quito
Sun 23 Feb , U. Catolica , 1 - 1 , El Nacional
Sun 23 Feb , Orense , 2 - 1 , Manta
Sun 23 Feb , Barcelona SC , 1 - 0 , Mushuc Runa
Tue 25 Feb , Tecnico U. , 2 - 2 , Libertad
Sat 1 Mar , Emelec , 0 - 0 , Macara
Sat 1 Mar , Mushuc Runa , 3 - 1 , D. Cuenca
Sat 1 Mar , LDU Quito , 4 - 0 , Orense
Sun 2 Mar , Libertad , 1 - 4 , Barcelona SC
Sun 2 Mar , I. del Valle , 1 - 1 , U. Catolica
Sun 2 Mar , Aucas , 2 - 2 , Cuniburo
Sun 2 Mar , El Nacional , 0 - 0 , Tecnico U.
Tue 4 Mar , Manta , 2 - 2 , Delfin
Sat 8 Mar , D. Cuenca , 0 - 1 , Libertad
Sat 8 Mar , LDU Quito , 3 - 0 , Delfin
Sat 8 Mar , Manta , 4 - 3 , El Nacional
Sun 9 Mar , Barcelona SC , 0 - 4 , I. del Valle
Sun 9 Mar , U. Catolica , 1 - 1 , Mushuc Runa
Sun 9 Mar , Macara , 1 - 1 , Aucas
Sun 9 Mar , Cuniburo , 2 - 1 , Emelec
Tue 11 Mar , Orense , 2 - 1 , Tecnico U.
Sat 15 Mar , Mushuc Runa , 1 - 2 , Cuniburo
Sat 15 Mar , Libertad , 4 - 1 , Orense
Sat 15 Mar , U. Catolica , 3 - 0 , Manta
Sun 16 Mar , Delfin , 0 - 0 , D. Cuenca
Sun 16 Mar , I. del Valle , 1 - 1 , Macara
Sun 16 Mar , El Nacional , 0 - 1 , Aucas
Sun 16 Mar , Emelec , 1 - 0 , LDU Quito
Tue 18 Mar , Tecnico U. , 0 - 1 , Barcelona SC
Fri 28 Mar , Aucas , 1 - 2 , I. del Valle
Sat 29 Mar , Barcelona SC , 2 - 0 , Delfin
Sat 29 Mar , Cuniburo , 3 - 2 , U. Catolica
Sat 29 Mar , D. Cuenca , 1 - 2 , LDU Quito
Sun 30 Mar , Mushuc Runa , 1 - 1 , Emelec
Sun 30 Mar , Macara , 0 - 1 , Tecnico U.
Sun 30 Mar , Manta , 1 - 1 , Libertad
Sun 30 Mar , El Nacional , 0 - 1 , Orense
Sat 5 Apr , Libertad , 1 - 3 , El Nacional
Sat 5 Apr , Delfin , 1 - 1 , Aucas
Sat 5 Apr , Orense , 0 - 0 , Cuniburo
Sun 6 Apr , I. del Valle , 4 - 0 , D. Cuenca
Sun 6 Apr , Tecnico U. , 1 - 1 , Mushuc Runa
Sun 6 Apr , U. Catolica , 1 - 0 , Macara
Sun 6 Apr , Emelec , 1 - 1 , Manta
Thu 10 Apr , Cuniburo , 5 - 0 , Delfin
Thu 10 Apr , Macara , 0 - 1 , D. Cuenca
Fri 11 Apr , Manta , 2 - 1 , Tecnico U.
Sat 12 Apr , Emelec , 1 - 1 , Libertad
Mon 14 Apr , Mushuc Runa , 1 - 0 , LDU Quito
Mon 14 Apr , El Nacional , 1 - 3 , I. del Valle
Tue 15 Apr , Orense , 3 - 1 , Barcelona SC
Wed 16 Apr , Aucas , 2 - 1 , U. Catolica
Fri 18 Apr , LDU Quito , 3 - 1 , Aucas
Sat 19 Apr , Barcelona SC , 1 - 0 , El Nacional
Sat 19 Apr , Libertad , 2 - 1 , Mushuc Runa
Sat 19 Apr , D. Cuenca , 0 - 1 , Emelec
Sun 20 Apr , I. del Valle , 2 - 0 , Manta
Sun 20 Apr , Tecnico U. , 1 - 3 , Cuniburo
Sun 20 Apr , U. Catolica , 2 - 0 , Orense
Sun 20 Apr , Delfin , 0 - 0 , Macara
