Fri 8 Aug , De Graafschap , 3 - 2 , VVV
Fri 8 Aug , FC Den Bosch , 2 - 0 , Jong Ajax
Fri 8 Aug , FC Dordrecht , 1 - 0 , Cambuur
Fri 8 Aug , FC Eindhoven , 1 - 0 , Jong Utrecht
Fri 8 Aug , TOP Oss , 4 - 0 , MVV Maastricht
Sun 10 Aug , Helmond Sport , 1 - 3 , Roda JC
Sun 10 Aug , ADO Den Haag , 5 - 1 , Willem II
Mon 11 Aug , Jong AZ , 2 - 3 , RKC Waalwijk
Mon 11 Aug , Jong PSV , 3 - 1 , FC Emmen
Fri 15 Aug , Cambuur , 1 - 0 , TOP Oss
Fri 15 Aug , RKC Waalwijk , 1 - 1 , Helmond Sport
Fri 15 Aug , Roda JC , 1 - 0 , De Graafschap
Fri 15 Aug , VVV , 0 - 2 , Jong PSV
Sat 16 Aug , MVV Maastricht , 0 - 1 , FC Dordrecht
Sun 17 Aug , FC Emmen , 1 - 4 , Almere City
Sun 17 Aug , Willem II , 0 - 1 , FC Eindhoven
Mon 18 Aug , Jong Ajax , 4 - 1 , Jong AZ
Mon 18 Aug , Jong Utrecht , 2 - 2 , ADO Den Haag
Fri 22 Aug , De Graafschap , 0 - 1 , Vitesse ArnhemFri 22 AugAlmere City 0 1 Willem II
Fri 22 Aug , FC Eindhoven , 1 - 0 , MVV Maastricht
Fri 22 Aug , Helmond Sport , 2 - 0 , RKC Waalwijk
Sat 23 Aug , FC Dordrecht , 1 - 2 , FC Emmen
Sun 24 Aug , VVV , 3 - 1 , Jong PSV
Sun 24 Aug , FC Den Bosch , 5 - 2 , Roda JC
Mon 25 Aug , Jong AZ , 0 - 1 , TOP Oss
Mon 25 Aug , Jong Utrecht , 4 - 3 , Cambuur
Fri 29 Aug , ADO Den Haag , 2 - 0 , Jong Ajax
Fri 29 Aug , FC Emmen , 3 - 1 , Helmond Sport
Fri 29 Aug , Jong Ajax , 0 - 0 , FC Den Bosch
Fri 29 Aug , Jong PSV , 1 - 0 , MVV Maastricht
Fri 29 Aug , Roda JC , 0 - 0 , Jong AZ
Fri 29 Aug , TOP Oss , 0 - 3 , FC Eindhoven
Fri 29 Aug , Willem II , 2 - 1 , FC Dordrecht
Sat 30 Aug , RKC Waalwijk , 2 - 0 , Jong Utrecht
Fri 5 Sep , De Graafschap , 2 - 3 , Almere City
Sat 6 Sep , Cambuur , 2 - 2 , De GraafschapSun 31 AugCambuur 3 1 VVV
Fri 12 Sep , Almere City , 2 - 4 , FC Emmen
Fri 12 Sep , De Graafschap , 1 - 1 , Willem II
Fri 12 Sep , FC Den Bosch , 3 - 3 , Jong PSV
Fri 12 Sep , FC Eindhoven , 0 - 1 , Willem II
