Fri 15 Aug , Liverpool , 4 - 2 , Bournemouth
Sat 16 Aug , Aston Villa , 0 - 0 , Newcastle Utd
Sat 16 Aug , Brighton , 1 - 1 , Fulham
Sat 16 Aug , Sunderland , 3 - 0 , West Ham Utd
Sat 16 Aug , Tottenham , 3 - 0 , Burnley
Sat 16 Aug , Wolverhampton , 0 - 4 , Manchester City
Sun 17 Aug , Chelsea , 0 - 0 , Crystal Palace
Sun 17 Aug , Nottm Forest , 3 - 1 , Brentford
Sun 17 Aug , Manchester Utd , 0 - 1 , Arsenal
Mon 18 Aug , Leeds Utd , 1 - 0 , Everton
Fri 22 Aug , West Ham Utd , 1 - 5 , Chelsea
Sat 23 Aug , Manchester City , 0 - 2 , Tottenham
Sat 23 Aug , Bournemouth , 1 - 0 , Wolverhampton
Sat 23 Aug , Brentford , 1 - 0 , Aston Villa
Sat 23 Aug , Burnley , 2 - 0 , Sunderland
Sat 23 Aug , Arsenal , 5 - 0 , Leeds Utd
Sun 24 Aug , Crystal Palace , 1 - 1 , Nottm Forest
Sun 24 Aug , Everton , 2 - 0 , Brighton
Sun 24 Aug , Fulham , 1 - 1 , Manchester Utd
Mon 25 Aug , Newcastle Utd , 2 - 3 , Liverpool
Sat 30 Aug , Chelsea , 2 - 0 , Fulham
Sat 30 Aug , Manchester Utd , 3 - 2 , Burnley
Sat 30 Aug , Sunderland , 2 - 1 , Brentford
Sat 30 Aug , Tottenham , 0 - 1 , Bournemouth
Sat 30 Aug , Wolverhampton , 2 - 3 , Everton
Sat 30 Aug , Leeds Utd , 0 - 0 , Newcastle Utd
Sun 31 Aug , Brighton , 2 - 1 , Manchester City
Sun 31 Aug , Nottm Forest , 0 - 3 , West Ham Utd
Sun 31 Aug , Liverpool , 1 - 0 , Arsenal
Sun 31 Aug , Aston Villa , 0 - 3 , Crystal Palace
Sat 13 Sep , Arsenal , 3 - 0 , Nottm Forest
Sat 13 Sep , Bournemouth , 2 - 1 , Brighton
Sat 13 Sep , Crystal Palace , 0 - 0 , Sunderland
Sat 13 Sep , Everton , 0 - 0 , Aston Villa
Sat 13 Sep , Fulham , 1 - 0 , Leeds Utd
Sat 13 Sep , Newcastle Utd , 1 - 0 , Wolverhampton
Sat 13 Sep , West Ham Utd , 0 - 3 , Tottenham
Sat 13 Sep , Brentford , 2 - 2 , Chelsea
Sun 14 Sep , Burnley , 0 - 1 , Liverpool
Sun 14 Sep , Manchester City , 3 - 0 , Manchester Utd
Sat 20 Sep , Liverpool , 2 - 1 , Everton
Sat 20 Sep , Brighton , 2 - 2 , Tottenham
Sat 20 Sep , Burnley , 1 - 1 , Nottm Forest
Sat 20 Sep , West Ham Utd , 1 - 2 , Crystal Palace
Sat 20 Sep , Wolverhampton , 1 - 3 , Leeds Utd
Sat 20 Sep , Manchester Utd , 2 - 1 , Chelsea
Sat 20 Sep , Fulham , 3 - 1 , Brentford
Sun 21 Sep , Bournemouth , 0 - 0 , Newcastle Utd
Sun 21 Sep , Sunderland , 1 - 1 , Aston Villa
Sun 21 Sep , Arsenal , 1 - 1 , Manchester City
Sat 27 Sep , Brentford , 3 - 1 , Manchester Utd
Sat 27 Sep , Chelsea , 1 - 3 , Brighton
Sat 27 Sep , Crystal Palace , 2 - 1 , Liverpool
Sat 27 Sep , Leeds Utd , 2 - 2 , Bournemouth
Sat 27 Sep , Manchester City , 5 - 1 , Burnley
Sat 27 Sep , Nottm Forest , 0 - 1 , Sunderland
Sat 27 Sep , Tottenham , 1 - 1 , Wolverhampton
Sun 28 Sep , Aston Villa , 3 - 1 , Fulham
Sun 28 Sep , Newcastle Utd , 1 - 2 , Arsenal
Mon 29 Sep , Everton , 1 - 1 , West Ham Utd
Fri 3 Oct , Bournemouth , 3 - 1 , Fulham
Sat 4 Oct , Leeds Utd , 1 - 2 , Tottenham
Sat 4 Oct , Arsenal , 2 - 0 , West Ham Utd
Sat 4 Oct , Manchester Utd , 2 - 0 , Sunderland
Sat 4 Oct , Chelsea , 2 - 1 , Liverpool
Sun 5 Oct , Aston Villa , 2 - 1 , Burnley
Sun 5 Oct , Everton , 2 - 1 , Crystal Palace
Sun 5 Oct , Newcastle Utd , 2 - 0 , Nottm Forest
Sun 5 Oct , Wolverhampton , 1 - 1 , Brighton
Sun 5 Oct , Brentford , 0 - 1 , Manchester City
Sat 18 Oct , Nottm Forest , 0 - 3 , Chelsea
Sat 18 Oct , Brighton , 2 - 1 , Newcastle Utd
Sat 18 Oct , Burnley , 2 - 0 , Leeds Utd
Sat 18 Oct , Crystal Palace , 3 - 3 , Bournemouth
Sat 18 Oct , Manchester City , 2 - 0 , Everton
Sat 18 Oct , Sunderland , 2 - 0 , Wolverhampton
Sat 18 Oct , Fulham , 0 - 1 , Arsenal
Sun 19 Oct , Tottenham , 1 - 2 , Aston Villa
Sun 19 Oct , Liverpool , 1 - 2 , Manchester Utd
Mon 20 Oct , West Ham Utd , 0 - 2 , Brentford
Fri 24 Oct , Leeds Utd , 2 - 1 , West Ham Utd
Sat 25 Oct , Chelsea , 1 - 2 , Sunderland
Sat 25 Oct , Newcastle Utd , 2 - 1 , Fulham
Sat 25 Oct , Manchester Utd , 4 - 2 , Brighton
Sat 25 Oct , Brentford , 3 - 2 , Liverpool
Sun 26 Oct , Arsenal , 1 - 0 , Crystal Palace
Sun 26 Oct , Aston Villa , 1 - 0 , Manchester City
Sun 26 Oct , Bournemouth , 2 - 0 , Nottm Forest
Sun 26 Oct , Wolverhampton , 2 - 3 , Burnley
Sun 26 Oct , Everton , 0 - 3 , Tottenham
Sat 1 Nov , Brighton , 3 - 0 , Leeds Utd
Sat 1 Nov , Burnley , 0 - 2 , Arsenal
Sat 1 Nov , Crystal Palace , 2 - 0 , Brentford
Sat 1 Nov , Fulham , 3 - 0 , Wolverhampton
Sat 1 Nov , Nottm Forest , 2 - 2 , Manchester Utd
Sat 1 Nov , Tottenham , 0 - 1 , Chelsea
Sat 1 Nov , Liverpool , 2 - 0 , Aston Villa
Sun 2 Nov , West Ham Utd , 3 - 1 , Newcastle Utd
Sun 2 Nov , Manchester City , 3 - 1 , Bournemouth
Mon 3 Nov , Sunderland , 1 - 1 , Everton
Sat 8 Nov , Tottenham , 2 - 2 , Manchester Utd
Sat 8 Nov , Everton , 2 - 0 , Fulham
Sat 8 Nov , West Ham Utd , 3 - 2 , Burnley
Sat 8 Nov , Sunderland , 2 - 2 , Arsenal
Sat 8 Nov , Chelsea , 3 - 0 , Wolverhampton
Sun 9 Nov , Aston Villa , 4 - 0 , Bournemouth
Sun 9 Nov , Brentford , 3 - 1 , Newcastle Utd
Sun 9 Nov , Crystal Palace , 0 - 0 , Brighton
Sun 9 Nov , Nottm Forest , 3 - 1 , Leeds Utd
Sun 9 Nov , Manchester City , 3 - 0 , Liverpool
