Fri 8 Aug , Birmingham City , 1 - 1 , Ipswich Town
Sat 9 Aug , Charlton , 1 - 0 , Watford
Sat 9 Aug , Coventry City , 0 - 0 , Hull City
Sat 9 Aug , Southampton , 2 - 1 , Wrexham
Sat 9 Aug , Middlesbrough , 1 - 0 , Swansea City
Sat 9 Aug , Norwich City , 1 - 2 , Millwall
Sat 9 Aug , Oxford Utd , 0 - 1 , Portsmouth
Sat 9 Aug , QP Rangers , 1 - 1 , Preston
Sat 9 Aug , Stoke City , 3 - 1 , Derby County
Sat 9 Aug , West Brom , 1 - 0 , Blackburn
Sat 9 Aug , Sheffield Utd , 1 - 4 , Bristol City
Sun 10 Aug , Leicester City , 2 - 1 , Sheffield Wed
Sat 16 Aug , Derby County , 3 - 5 , Coventry City
Sat 16 Aug , Portsmouth , 1 - 2 , Norwich City
Sat 16 Aug , Wrexham , 2 - 3 , West Brom
Sat 16 Aug , Blackburn , 1 - 2 , Birmingham City
Sat 16 Aug , Bristol City , 0 - 0 , Charlton
Sat 16 Aug , Millwall , 0 - 3 , Middlesbrough
Sat 16 Aug , Preston , 2 - 1 , Leicester City
Sat 16 Aug , Sheffield Wed , 0 - 3 , Stoke City
Sat 16 Aug , Swansea City , 1 - 0 , Sheffield Utd
Sat 16 Aug , Watford , 2 - 1 , QP Rangers
Sun 17 Aug , Ipswich Town , 1 - 1 , Southampton
Sun 17 Aug , Hull City , 3 - 2 , Oxford Utd
Fri 22 Aug , Derby County , 1 - 1 , Bristol City
Sat 23 Aug , Charlton , 0 - 1 , Leicester City
Sat 23 Aug , Hull City , 0 - 3 , Blackburn
Sat 23 Aug , Swansea City , 1 - 1 , Watford
Sat 23 Aug , Birmingham City , 1 - 0 , Oxford Utd
Sat 23 Aug , Coventry City , 7 - 1 , QP Rangers
Sat 23 Aug , Norwich City , 1 - 2 , Middlesbrough
Sat 23 Aug , Preston , 1 - 0 , Ipswich Town
Sat 23 Aug , Sheffield Utd , 0 - 1 , Millwall
Sat 23 Aug , Southampton , 1 - 2 , Stoke City
Sat 23 Aug , West Brom , 1 - 1 , Portsmouth
Sat 23 Aug , Wrexham , 2 - 2 , Sheffield Wed
Fri 29 Aug , Leicester City , 2 - 0 , Birmingham City
Sat 30 Aug , Middlesbrough , 1 - 0 , Sheffield Utd
Sat 30 Aug , QP Rangers , 3 - 1 , Charlton
Sat 30 Aug , Stoke City , 0 - 1 , West Brom
Sat 30 Aug , Blackburn , 0 - 2 , Norwich City
Sat 30 Aug , Bristol City , 4 - 2 , Hull City
Sat 30 Aug , Ipswich Town , 2 - 2 , Derby County
Sat 30 Aug , Millwall , 0 - 2 , Wrexham
Sat 30 Aug , Oxford Utd , 2 - 2 , Coventry City
Sat 30 Aug , Portsmouth , 1 - 0 , Preston
Sat 30 Aug , Sheffield Wed , 0 - 2 , Swansea City
Sat 30 Aug , Watford , 2 - 2 , Southampton
Fri 12 Sep , Ipswich Town , 5 - 0 , Sheffield Utd
Sat 13 Sep , Charlton , 1 - 1 , Millwall
Sat 13 Sep , Oxford Utd , 2 - 2 , Leicester City
Sat 13 Sep , Preston , 2 - 2 , Middlesbrough
Sat 13 Sep , Coventry City , 1 - 1 , Norwich City
Sat 13 Sep , Sheffield Wed , 0 - 3 , Bristol City
Sat 13 Sep , Stoke City , 1 - 0 , Birmingham City
Sat 13 Sep , Swansea City , 2 - 2 , Hull City
Sat 13 Sep , Watford , 0 - 1 , Blackburn
Sat 13 Sep , West Brom , 0 - 1 , Derby County
Sat 13 Sep , Wrexham , 1 - 3 , QP Rangers
Sun 14 Sep , Southampton , 0 - 0 , Portsmouth
Fri 19 Sep , Middlesbrough , 2 - 1 , West Brom
Sat 20 Sep , Birmingham City , 1 - 0 , Swansea City
Sat 20 Sep , Leicester City , 0 - 0 , Coventry City
Sat 20 Sep , QP Rangers , 1 - 0 , Stoke City
Sat 20 Sep , Hull City , 3 - 1 , Ipswich TownSat 20 SepDerby County 0 1 Preston
Sat 20 Sep , Norwich City , 2 - 3 , Southampton
Sat 20 Sep , Portsmouth , 0 - 2 , Wrexham
Sat 20 Sep , Sheffield Utd , 0 - 1 , Sheffield Wed
Sun 21 Sep , Bristol City , 1 - 3 , Charlton
Mon 22 Sep , Millwall , 1 - 0 , Oxford Utd
Fri 26 Sep , West Brom , 1 - 1 , Watford
Sat 27 Sep , Coventry City , 3 - 0 , Leicester City
Sat 27 Sep , Swansea City , 1 - 1 , Birmingham City
Sat 27 Sep , Wrexham , 1 - 1 , Millwall
Sat 27 Sep , Charlton , 3 - 0 , Derby County
Sat 27 Sep , Ipswich Town , 2 - 1 , Blackburn
Sat 27 Sep , Oxford Utd , 0 - 1 , Portsmouth
Sat 27 Sep , Preston , 0 - 0 , Sheffield Utd
Sat 27 Sep , Sheffield Wed , 1 - 1 , Bristol City
Sat 27 Sep , Southampton , 1 - 1 , QP Rangers
Sat 27 Sep , Stoke City , 1 - 1 , Middlesbrough
Sat 27 Sep , Watford , 2 - 1 , Norwich City
Tue 30 Sep , Birmingham City , 2 - 2 , Hull City
Tue 30 Sep , Blackburn , 1 - 2 , Sheffield Wed
Tue 30 Sep , Bristol City , 1 - 1 , Swansea City
Tue 30 Sep , Hull City , 2 - 2 , Ipswich Town
Tue 30 Sep , Leicester City , 1 - 1 , Preston
Tue 30 Sep , Middlesbrough , 0 - 0 , Wrexham
Tue 30 Sep , Sheffield Utd , 1 - 2 , Stoke City
Tue 30 Sep , Derby County , 1 - 1 , Southampton
Wed 1 Oct , Millwall , 0 - 4 , Charlton
Wed 1 Oct , Norwich City , 0 - 1 , Coventry City
Wed 1 Oct , Portsmouth , 2 - 2 , West Brom
Wed 1 Oct , QP Rangers , 0 - 0 , Watford
Fri 3 Oct , Wrexham , 1 - 1 , Oxford Utd
Sat 4 Oct , Blackburn , 1 - 1 , Birmingham City
Sat 4 Oct , Hull City , 1 - 0 , Stoke City
Sat 4 Oct , Sheffield Wed , 0 - 5 , Sheffield Utd
Sat 4 Oct , Bristol City , 1 - 2 , Coventry City
Sat 4 Oct , Derby County , 1 - 1 , QP Rangers
Sat 4 Oct , Millwall , 3 - 0 , Southampton
Sat 4 Oct , Portsmouth , 1 - 0 , West Brom
Sat 4 Oct , Preston , 2 - 0 , Middlesbrough
Sat 4 Oct , Swansea City , 1 - 3 , Charlton
Sat 4 Oct , Watford , 2 - 1 , Leicester City
Sun 5 Oct , Ipswich Town , 3 - 1 , Oxford Utd
Fri 17 Oct , Middlesbrough , 2 - 1 , Norwich City
Sat 18 Oct , Oxford Utd , 1 - 0 , Ipswich Town
Sat 18 Oct , QP Rangers , 1 - 2 , Derby County
Sat 18 Oct , Southampton , 0 - 0 , Millwall
Sat 18 Oct , Birmingham City , 2 - 3 , Swansea City
Sat 18 Oct , Charlton , 2 - 1 , Hull City
Sat 18 Oct , Coventry City , 2 - 0 , Sheffield Wed
Sat 18 Oct , Norwich City , 0 - 1 , Blackburn
Sat 18 Oct , Sheffield Utd , 1 - 0 , Bristol City
Sat 18 Oct , Stoke City , 1 - 0 , Watford
Sat 18 Oct , West Brom , 2 - 1 , Wrexham
Sat 18 Oct , Leicester City , 1 - 1 , Preston
Tue 21 Oct , Blackburn , 1 - 3 , Portsmouth
Tue 21 Oct , Derby County , 1 - 0 , Sheffield Utd
Tue 21 Oct , Hull City , 2 - 1 , Norwich City
Tue 21 Oct , Ipswich Town , 0 - 3 , Leicester City
Tue 21 Oct , Millwall , 2 - 0 , Charlton
Tue 21 Oct , Portsmouth , 1 - 2 , Stoke City
Tue 21 Oct , Preston , 0 - 1 , Coventry City
Tue 21 Oct , Bristol City , 3 - 1 , Birmingham City
Wed 22 Oct , Swansea City , 0 - 1 , Southampton
Wed 22 Oct , Watford , 2 - 1 , QP Rangers
Wed 22 Oct , Wrexham , 1 - 0 , West Brom
Wed 22 Oct , Sheffield Wed , 0 - 1 , Oxford Utd
Fri 24 Oct , Preston , 3 - 2 , Middlesbrough
Sat 25 Oct , Coventry City , 3 - 1 , Sheffield Utd
Sat 25 Oct , Ipswich Town , 1 - 0 , Watford
Sat 25 Oct , Portsmouth , 0 - 1 , West Brom
Sat 25 Oct , Blackburn , 2 - 1 , Stoke City
Sat 25 Oct , Bristol City , 1 - 0 , Southampton
Sat 25 Oct , Derby County , 1 - 0 , Birmingham City
Sat 25 Oct , Hull City , 1 - 1 , QP Rangers
Sat 25 Oct , Middlesbrough , 1 - 1 , Charlton
Sat 25 Oct , Millwall , 1 - 0 , Wrexham
Sat 25 Oct , Sheffield Wed , 1 - 2 , Leicester City
Sat 25 Oct , Swansea City , 2 - 1 , Oxford Utd
Fri 31 Oct , Wrexham , 3 - 2 , Norwich City
