Fri 1 Aug , Luton Town , 1 - 0 , AFC Wimbledon
Sat 2 Aug , Cardiff City , 2 - 1 , Peterborough
Sat 2 Aug , Blackpool , 2 - 3 , Stevenage
Sat 2 Aug , Bradford , 2 - 1 , Wycombe
Sat 2 Aug , Burton Albion , 2 - 1 , Mansfield
Sat 2 Aug , Doncaster , 1 - 0 , Exeter City
Sat 2 Aug , Huddersfield , 3 - 0 , Leyton Orient
Sat 2 Aug , Lincoln City , 2 - 0 , Reading
Sat 2 Aug , Plymouth , 1 - 3 , Barnsley
Sat 2 Aug , Rotherham , 2 - 1 , Port Vale
Sat 2 Aug , Wigan Athletic , 3 - 1 , Northampton
Sun 3 Aug , Stockport , 2 - 0 , Bolton
Thu 7 Aug , Port Vale , 0 - 0 , Cardiff City
Sat 9 Aug , Peterborough , 0 - 2 , Luton Town
Sat 9 Aug , Reading , 0 - 2 , Huddersfield
Sat 9 Aug , AFC Wimbledon , 2 - 0 , Lincoln City
Sat 9 Aug , Barnsley , 3 - 2 , Burton Albion
Sat 9 Aug , Bolton , 2 - 0 , Plymouth
Sat 9 Aug , Exeter City , 4 - 1 , Blackpool
Sat 9 Aug , Leyton Orient , 2 - 0 , Wigan Athletic
Sat 9 Aug , Mansfield , 1 - 2 , Doncaster
Sat 9 Aug , Northampton , 0 - 0 , Bradford
Sat 9 Aug , Stevenage , 1 - 0 , Rotherham
Sat 9 Aug , Wycombe , 1 - 2 , Stockport
Sat 16 Aug , Burton Albion , 0 - 0 , Port Vale
Sat 16 Aug , Exeter City , 1 - 2 , Mansfield
Sat 16 Aug , Barnsley , 1 - 1 , Bolton
Sat 16 Aug , Blackpool , 3 - 2 , Huddersfield
Sat 16 Aug , Bradford , 2 - 1 , Luton Town
Sat 16 Aug , Cardiff City , 3 - 0 , Rotherham
Sat 16 Aug , Doncaster , 1 - 1 , Wycombe
Sat 16 Aug , Leyton Orient , 2 - 2 , Stockport
Sat 16 Aug , Lincoln City , 3 - 2 , Plymouth
Sat 16 Aug , Reading , 1 - 2 , AFC Wimbledon
Sat 16 Aug , Stevenage , 2 - 0 , Northampton
Sat 16 Aug , Wigan Athletic , 2 - 0 , Peterborough
Tue 19 Aug , AFC Wimbledon , 0 - 1 , Cardiff City
Tue 19 Aug , Huddersfield , 2 - 0 , Doncaster
Tue 19 Aug , Luton Town , 1 - 0 , Wigan Athletic
Tue 19 Aug , Mansfield , 2 - 0 , Blackpool
Tue 19 Aug , Northampton , 0 - 1 , Lincoln City
Tue 19 Aug , Peterborough , 0 - 1 , Barnsley
Tue 19 Aug , Plymouth , 0 - 1 , Leyton Orient
Tue 19 Aug , Port Vale , 1 - 2 , Stevenage
Tue 19 Aug , Stockport , 1 - 2 , Bradford
Tue 19 Aug , Wycombe , 0 - 1 , Exeter City
Wed 20 Aug , Bolton , 1 - 1 , Reading
Sat 23 Aug , Luton Town , 0 - 1 , Cardiff City
Sat 23 Aug , Rotherham , 2 - 2 , Wigan Athletic
Sat 23 Aug , AFC Wimbledon , 2 - 0 , Barnsley
Sat 23 Aug , Bolton , 1 - 1 , Lincoln City
Sat 23 Aug , Huddersfield , 1 - 0 , Stevenage
Sat 23 Aug , Mansfield , 4 - 1 , Leyton Orient
Sat 23 Aug , Northampton , 2 - 0 , Exeter City
