Fri 8 Aug , Fortuna Sittard , 2 - 2 , Go Ahead Eagles
Sat 9 Aug , NEC Nijmegen , 5 - 0 , Excelsior
Sat 9 Aug , Feyenoord , 2 - 0 , NAC Breda
Sat 9 Aug , Heerenveen , 1 - 1 , FC Volendam
Sat 9 Aug , PSV Eindhoven , 6 - 1 , Sparta
Sun 10 Aug , PEC Zwolle , 1 - 0 , FC Twente
Sun 10 Aug , Ajax Amsterdam , 2 - 0 , Telstar
Sun 10 Aug , AZ Alkmaar , 4 - 1 , FC Groningen
Sun 10 Aug , FC Utrecht , 4 - 0 , Heracles Almelo
Fri 15 Aug , Telstar , 0 - 2 , PEC Zwolle
Sat 16 Aug , Excelsior , 1 - 2 , Feyenoord
Sat 16 Aug , Heracles Almelo , 1 - 4 , NEC Nijmegen
Sat 16 Aug , FC Groningen , 2 - 1 , Heerenveen
Sun 17 Aug , Go Ahead Eagles , 2 - 2 , Ajax Amsterdam
Sun 17 Aug , FC Twente , 0 - 2 , PSV Eindhoven
Sun 17 Aug , Sparta , 2 - 1 , FC Utrecht
Sun 17 Aug , FC Volendam , 2 - 2 , AZ Alkmaar
Sun 17 Aug , NAC Breda , 2 - 1 , Fortuna Sittard
Sat 23 Aug , Go Ahead Eagles , 0 - 3 , Sparta
Sat 23 Aug , PSV Eindhoven , 4 - 2 , FC Groningen
Sat 23 Aug , Telstar , 2 - 2 , FC Volendam
Sun 24 Aug , Heerenveen , 1 - 2 , FC Twente
Sun 24 Aug , FC Utrecht , 4 - 1 , Excelsior
Sun 24 Aug , NEC Nijmegen , 3 - 0 , NAC Breda
Sun 24 Aug , Ajax Amsterdam , 2 - 0 , Heracles Almelo
Fri 29 Aug , FC Groningen , 4 - 0 , Heracles Almelo
Sat 30 Aug , FC Volendam , 1 - 1 , Ajax Amsterdam
Sat 30 Aug , Heerenveen , 2 - 2 , Go Ahead Eagles
Sat 30 Aug , PSV Eindhoven , 0 - 2 , Telstar
Sat 30 Aug , Excelsior , 1 - 0 , FC Twente
Sun 31 Aug , Fortuna Sittard , 3 - 2 , NEC Nijmegen
Sun 31 Aug , PEC Zwolle , 0 - 2 , FC Utrecht
Sun 31 Aug , Sparta , 0 - 4 , Feyenoord
Sun 31 Aug , NAC Breda , 0 - 1 , AZ Alkmaar
Sat 13 Sep , Ajax Amsterdam , 3 - 1 , PEC Zwolle
Sat 13 Sep , NEC Nijmegen , 3 - 5 , PSV Eindhoven
Sat 13 Sep , Go Ahead Eagles , 3 - 0 , FC Volendam
Sat 13 Sep , FC Twente , 2 - 2 , NAC Breda
Sat 13 Sep , Feyenoord , 1 - 0 , Heerenveen
Sun 14 Sep , Excelsior , 0 - 1 , Sparta
Sun 14 Sep , FC Utrecht , 0 - 1 , FC Groningen
Sun 14 Sep , Heracles Almelo , 1 - 2 , AZ Alkmaar
Sun 14 Sep , Telstar , 1 - 3 , Fortuna Sittard
