Sat 19 Apr , Cianorte , 1 - 0 , Operario MS-
Sat 19 Apr , Lagarto , 2 - 1 , Uniao C.+
Sat 19 Apr , Monte Azul , 0 - 1 , Itabirito-
Sat 19 Apr , Joinville , 1 - 0 , Guarany de Bage-
Sat 19 Apr , Porto Vitória , 1 - 1 , Nova Iguacu-
Sat 19 Apr , Santa C. Natal , 1 - 0 , Sousa-
Sat 19 Apr , Boavista , 2 - 2 , Portuguesa+
Sat 19 Apr , Marica , 2 - 0 , Rio Branco ES-
Sat 19 Apr , Goiania , 0 - 1 , Luverdense-
Sat 19 Apr , Manauara , 1 - 1 , Independencia-
Sat 19 Apr , Maranhao , 1 - 1 , Altos-
Sat 19 Apr , Sao Luiz , 1 - 2 , Azuriz+
Sat 19 Apr , Tocantinopolis , 2 - 2 , Maracana+
Sat 19 Apr , Horizonte , 0 - 0 , America RN-
Sat 19 Apr , Iguatu , 1 - 0 , Sampaio Correa-
Sat 19 Apr , Uberlandia , 1 - 1 , Cascavel-
Sat 19 Apr , Marcilio Dias , 0 - 0 , EC Sao Jose-
Sat 19 Apr , Agua Santa , 2 - 3 , Pouso Alegre+
Sat 19 Apr , Capital , 0 - 1 , Aparecidense-
Sat 19 Apr , Brasil de P. , 1 - 0 , Barra FC-
Sat 19 Apr , Humaita , 0 - 3 , Tuna Luso+
Sun 20 Apr , Goianesia , 1 - 2 , Ceilandia+
Sun 20 Apr , Goiatuba EC , 1 - 3 , Inter Limeira+
Sun 20 Apr , Central SC , 2 - 1 , Ferroviario+
Sun 20 Apr , Jequie , 1 - 0 , Sergipe-
Sun 20 Apr , Juazeirense , 0 - 3 , ASA+
Sun 20 Apr , Parnahyba , 0 - 0 , Imperatriz-
Sun 20 Apr , Penedense , 0 - 0 , Barcelona BA-
Sun 20 Apr , Trem , 1 - 1 , Manaus-
Sun 20 Apr , Treze , 0 - 1 , Santa Cruz-
Sun 20 Apr , Aguia de Maraba , 1 - 0 , GAS-
Sun 20 Apr , Mixto , 4 - 3 , Porto Velho+
Sat 26 Apr , Barcelona BA , 2 - 2 , Lagarto+
Sat 26 Apr , Rio Branco ES , 2 - 0 , Boavista-
Sat 26 Apr , Altos , 1 - 1 , Tocantinopolis-
Sat 26 Apr , Aparecidense , 0 - 0 , Mixto-
Sat 26 Apr , Maracana , 0 - 0 , Maranhao-
Sat 26 Apr , Nova Iguacu , 1 - 2 , Agua Santa+
Sat 26 Apr , Sampaio Correa , 1 - 0 , Parnahyba-
Sat 26 Apr , America RN , 4 - 0 , Treze+
Sat 26 Apr , Ceilandia , 1 - 0 , Goiania-
Sat 26 Apr , Luverdense , 1 - 0 , Goianesia-
Sat 26 Apr , Manaus , 4 - 0 , Humaita+
Sat 26 Apr , ASA , 4 - 2 , Jequie+
Sat 26 Apr , Cascavel , 1 - 4 , Goiatuba EC+
Sat 26 Apr , Ferroviario , 3 - 1 , Santa C. Natal+
Sat 26 Apr , Inter Limeira , 1 - 0 , Uberlandia-
Sat 26 Apr , Porto Velho , 0 - 1 , Capital-
Sat 26 Apr , Portuguesa , 2 - 1 , Marica+
Sat 26 Apr , Pouso Alegre , 1 - 1 , Porto Vitória-
Sat 26 Apr , Uniao C. , 1 - 1 , Penedense-
Sat 26 Apr , Azuriz , 1 - 0 , Brasil de P.-
Sat 26 Apr , Barra FC , 3 - 0 , Sao Luiz+
Sat 26 Apr , GAS , 1 - 2 , Manauara+
Sat 26 Apr , Itabirito , 2 - 2 , Cianorte+
Sat 26 Apr , Operario MS , 1 - 1 , Monte Azul-
Sat 26 Apr , Imperatriz , 2 - 1 , Iguatu+
Sun 27 Apr , Tuna Luso , 4 - 2 , Trem+
Sun 27 Apr , Guarany de Bage , 3 - 3 , Marcilio Dias+
Sun 27 Apr , Sousa , 0 - 0 , Central SC-
Sun 27 Apr , Independencia , 0 - 2 , Aguia de Maraba-
Sun 27 Apr , Santa Cruz , 4 - 0 , Horizonte+
Sun 27 Apr , Sergipe , 0 - 0 , Juazeirense-
Sun 27 Apr , EC Sao Jose , 1 - 1 , Joinville-
Sat 3 May , Cianorte , 3 - 0 , Cascavel+
Sat 3 May , Lagarto , 0 - 3 , Sergipe+
Sat 3 May , Santa C. Natal , 0 - 0 , Santa Cruz-
Sat 3 May , Rio Branco ES , 2 - 0 , Porto Vitória-
Sat 3 May , Boavista , 1 - 0 , Pouso Alegre-
Sat 3 May , Marica , 1 - 1 , Nova Iguacu-
Sat 3 May , Goiania , 2 - 0 , Porto Velho-
Sat 3 May , Joinville , 1 - 0 , Azuriz-
Sat 3 May , Manauara , 3 - 0 , Tuna Luso+
Sat 3 May , Maranhao , 3 - 0 , Imperatriz+
Sat 3 May , Sao Luiz , 1 - 0 , Guarany de Bage-
Sat 3 May , Tocantinopolis , 0 - 0 , Sampaio Correa-
Sat 3 May , Ceilandia , 1 - 0 , Capital-
Sat 3 May , Aguia de Maraba , 1 - 1 , Manaus-
Sat 3 May , ASA , 1 - 0 , Penedense-
Sat 3 May , Inter Limeira , 1 - 1 , Monte Azul-
Sat 3 May , Uberlandia , 2 - 3 , Operario MS+
Sat 3 May , Barra FC , 2 - 1 , Marcilio Dias+
Sat 3 May , GAS , 1 - 1 , Trem-
Sat 3 May , Mixto , 0 - 1 , Luverdense-
Sat 3 May , Brasil de P. , 1 - 3 , EC Sao Jose+
Sun 4 May , Goiatuba EC , 0 - 0 , Itabirito-
Sun 4 May , Central SC , 1 - 2 , America RN+
Sun 4 May , Goianesia , 0 - 3 , Aparecidense+
Sun 4 May , Jequie , 1 - 0 , Uniao C.-
Sun 4 May , Juazeirense , 1 - 1 , Barcelona BA-
Sun 4 May , Maracana , 1 - 0 , Iguatu-
Sun 4 May , Parnahyba , 0 - 2 , Altos-
Sun 4 May , Treze , 1 - 0 , Sousa-
Sun 4 May , Ferroviario , 1 - 0 , Horizonte-
Sun 4 May , Agua Santa , 2 - 1 , Portuguesa+
Sun 4 May , Humaita , 1 - 3 , Independencia+
Fri 9 May , Santa Cruz , 2 - 1 , America RN+
Sat 10 May , Monte Azul , 1 - 1 , Cianorte-
Sat 10 May , Santa C. Natal , 0 - 2 , Central SC-
Sat 10 May , Cascavel , 2 - 0 , Inter Limeira-
Sat 10 May , Altos , 1 - 0 , Maracana-
Sat 10 May , Boavista , 2 - 1 , Marica+
Sat 10 May , Goiania , 0 - 1 , Goianesia-
Sat 10 May , Maranhao , 2 - 3 , Tocantinopolis+
Sat 10 May , Operario MS , 1 - 1 , Itabirito-
Sat 10 May , Sao Luiz , 1 - 0 , Brasil de P.-
Sat 10 May , Horizonte , 0 - 1 , Treze-
Sat 10 May , Iguatu , 3 - 0 , Parnahyba+
Sat 10 May , Penedense , 0 - 1 , Lagarto-
Sat 10 May , Porto Velho , 3 - 1 , Aparecidense+
Sat 10 May , Porto Vitória , 2 - 0 , Agua Santa-
Sat 10 May , Portuguesa , 2 - 1 , Rio Branco ES+
Sat 10 May , Pouso Alegre , 1 - 0 , Nova Iguacu-
Sat 10 May , Sergipe , 1 - 2 , ASA+
Sat 10 May , Uberlandia , 2 - 1 , Goiatuba EC+
Sat 10 May , Uniao C. , 3 - 0 , Barcelona BA+
Sat 10 May , Azuriz , 0 - 1 , Barra FC-
Sat 10 May , Independencia , 4 - 1 , GAS+
Sat 10 May , Luverdense , 2 - 2 , Ceilandia+
