Fri 28 Feb , Levadia , 5 - 0 , Harju JK
Sat 1 Mar , Vaprus , 0 - 3 , Nomme Kalju
Sat 1 Mar , Flora , 2 - 2 , Narva Trans
Sun 2 Mar , Kuressaare , 1 - 2 , Paide
Sun 2 Mar , Tallinna Kalev , 1 - 2 , Tammeka
Sat 8 Mar , Flora , 0 - 1 , Vaprus
Sat 8 Mar , Narva Trans , 0 - 2 , Kuressaare
Sat 8 Mar , Tammeka , 2 - 3 , Levadia
Sun 9 Mar , Harju JK , 2 - 0 , Tallinna Kalev
Sun 9 Mar , Paide , 4 - 0 , Nomme Kalju
Sat 15 Mar , Vaprus , 1 - 2 , Levadia
Sat 15 Mar , Narva Trans , 1 - 0 , Paide
Sat 15 Mar , Tallinna Kalev , 0 - 4 , Flora
Sun 16 Mar , Kuressaare , 1 - 2 , Harju JK
Sun 16 Mar , Nomme Kalju , 2 - 2 , Tammeka
Sat 29 Mar , Tammeka , 0 - 5 , Vaprus
Sat 29 Mar , Harju JK , 0 - 3 , Narva Trans
Sat 29 Mar , Flora , 5 - 0 , Kuressaare
Sun 30 Mar , Paide , 5 - 0 , Tallinna Kalev
Sun 30 Mar , Levadia , 2 - 1 , Nomme Kalju
Sat 5 Apr , Paide , 1 - 0 , Tammeka
Sat 5 Apr , Narva Trans , 0 - 1 , Levadia
Sat 5 Apr , Nomme Kalju , 1 - 2 , Flora
Sat 5 Apr , Vaprus , 1 - 1 , Harju JK
Sat 5 Apr , Tallinna Kalev , 4 - 1 , Kuressaare
Tue 8 Apr , Narva Trans , 1 - 0 , Tallinna Kalev
Tue 8 Apr , Levadia , 2 - 1 , Kuressaare
Tue 8 Apr , Tammeka , 1 - 2 , Flora
Wed 9 Apr , Nomme Kalju , 3 - 0 , Harju JK
Wed 9 Apr , Paide , 1 - 0 , Vaprus
Sat 12 Apr , Kuressaare , 0 - 2 , Nomme Kalju
Sat 12 Apr , Harju JK , 1 - 2 , Paide
Sat 12 Apr , Levadia , 0 - 0 , Flora
Sun 13 Apr , Vaprus , 2 - 2 , Tallinna Kalev
Sun 13 Apr , Tammeka , 1 - 2 , Narva Trans
Fri 18 Apr , Flora , 1 - 0 , Paide
Fri 18 Apr , Kuressaare , 1 - 0 , Vaprus
Fri 18 Apr , Harju JK , 4 - 1 , Tammeka
