Sat 15 Feb , Pohang Steelers , 0 - 3 , Daejeon Citizen
Sat 15 Feb , Jeju Utd , 2 - 0 , Seoul
Sat 15 Feb , Gwangju , 0 - 0 , Suwon City
Sun 16 Feb , Ulsan , 0 - 1 , Anyang
Sun 16 Feb , Daegu , 2 - 1 , Gangwon
Sun 16 Feb , Jeonbuk , 2 - 1 , Gimcheon Sangmu
Sat 22 Feb , Jeju Utd , 2 - 3 , Gimcheon Sangmu
Sat 22 Feb , Daegu , 3 - 1 , Suwon City
Sat 22 Feb , Seoul , 2 - 1 , Anyang
Sun 23 Feb , Daejeon Citizen , 0 - 2 , Ulsan
Sun 23 Feb , Gangwon , 2 - 1 , Pohang Steelers
Sun 23 Feb , Jeonbuk , 2 - 2 , Gwangju
Sat 1 Mar , Ulsan , 1 - 0 , Jeonbuk
Sat 1 Mar , Gwangju , 2 - 1 , Anyang
Sat 1 Mar , Pohang Steelers , 0 - 0 , Daegu
Sun 2 Mar , Daejeon Citizen , 1 - 0 , Suwon City
Sun 2 Mar , Gangwon , 0 - 0 , Jeju Utd
Mon 3 Mar , Seoul , 0 - 0 , Gimcheon Sangmu
Sat 8 Mar , Suwon City , 0 - 0 , Seoul
Sat 8 Mar , Anyang , 1 - 3 , Gimcheon Sangmu
Sat 8 Mar , Daegu , 1 - 2 , Daejeon Citizen
Sun 9 Mar , Ulsan , 2 - 0 , Jeju Utd
Sun 9 Mar , Jeonbuk , 0 - 1 , Gangwon
Sat 15 Mar , Jeju Utd , 1 - 3 , Daejeon Citizen
Sat 15 Mar , Daegu , 0 - 1 , Anyang
Sat 15 Mar , Gangwon , 0 - 1 , Seoul
Sun 16 Mar , Suwon City , 1 - 1 , Ulsan
Sun 16 Mar , Gimcheon Sangmu , 0 - 0 , Gwangju
Sun 16 Mar , Jeonbuk , 2 - 2 , Pohang Steelers
Sat 22 Mar , Gwangju , 2 - 3 , Pohang Steelers
Sat 29 Mar , Seoul , 3 - 2 , Daegu
Sat 29 Mar , Daejeon Citizen , 1 - 1 , Gwangju
Sat 29 Mar , Pohang Steelers , 1 - 0 , Ulsan
Sun 30 Mar , Jeju Utd , 1 - 0 , Suwon City
Sun 30 Mar , Anyang , 0 - 1 , Jeonbuk
Sun 30 Mar , Gimcheon Sangmu , 1 - 0 , Gangwon
Tue 1 Apr , Ulsan , 2 - 3 , Daejeon Citizen
Sat 5 Apr , Ulsan , 0 - 0 , Seoul
Sat 5 Apr , Daejeon Citizen , 0 - 2 , Jeonbuk
Sat 5 Apr , Gimcheon Sangmu , 2 - 0 , Daegu
Sat 5 Apr , Suwon City , 1 - 1 , Pohang Steelers
Sun 6 Apr , Anyang , 2 - 0 , Gangwon
Sun 6 Apr , Gwangju , 1 - 0 , Jeju Utd
Wed 9 Apr , Gwangju , 2 - 1 , Daegu
Sat 12 Apr , Suwon City , 3 - 2 , Gimcheon Sangmu
Sat 12 Apr , Pohang Steelers , 2 - 1 , Anyang
Sat 12 Apr , Seoul , 2 - 2 , Daejeon Citizen
Sun 13 Apr , Gangwon , 1 - 0 , Gwangju
Sun 13 Apr , Daegu , 0 - 1 , Ulsan
Sun 13 Apr , Jeonbuk , 1 - 1 , Jeju Utd
Sat 19 Apr , Ulsan , 1 - 2 , Gangwon
Sat 19 Apr , Anyang , 3 - 1 , Suwon City
Sat 19 Apr , Gimcheon Sangmu , 0 - 2 , Daejeon Citizen
Sat 19 Apr , Seoul , 1 - 2 , Gwangju
Sun 20 Apr , Jeju Utd , 2 - 0 , Pohang Steelers
Sun 20 Apr , Jeonbuk , 3 - 1 , Daegu
Wed 23 Apr , Anyang , 0 - 1 , Ulsan
Sat 26 Apr , Suwon City , 1 - 2 , Jeonbuk
Sat 26 Apr , Anyang , 2 - 1 , Jeju Utd
Sun 27 Apr , Pohang Steelers , 1 - 0 , Seoul
Sun 27 Apr , Daejeon Citizen , 1 - 0 , Gangwon
Sun 27 Apr , Gimcheon Sangmu , 2 - 0 , Ulsan
Fri 2 May , Pohang Steelers , 1 - 2 , Gimcheon Sangmu
