Fri 15 Aug , Rennes , 1 - 0 , Marseille
Sat 16 Aug , Lens , 0 - 1 , Lyon
Sat 16 Aug , Monaco , 3 - 1 , Le Havre
Sat 16 Aug , Nice , 0 - 1 , Toulouse
Sun 17 Aug , Brest , 3 - 3 , Lille
Sun 17 Aug , Angers , 1 - 0 , Paris FC
Sun 17 Aug , Auxerre , 1 - 0 , Lorient
Sun 17 Aug , Metz , 0 - 1 , Strasbourg
Sun 17 Aug , Nantes , 0 - 1 , Paris SG
Fri 22 Aug , Paris SG , 1 - 0 , Angers
Sat 23 Aug , Marseille , 5 - 2 , Paris FC
Sat 23 Aug , Nice , 3 - 1 , Auxerre
Sat 23 Aug , Lyon , 3 - 0 , Metz
Sun 24 Aug , Lorient , 4 - 0 , Rennes
Sun 24 Aug , Le Havre , 1 - 2 , Lens
Sun 24 Aug , Strasbourg , 1 - 0 , Nantes
Sun 24 Aug , Toulouse , 2 - 0 , Brest
Sun 24 Aug , Lille , 1 - 0 , Monaco
Fri 29 Aug , Lens , 3 - 1 , Brest
Sat 30 Aug , Lorient , 1 - 7 , Lille
Sat 30 Aug , Nantes , 1 - 0 , Auxerre
Sat 30 Aug , Toulouse , 3 - 6 , Paris SG
Sun 31 Aug , Angers , 1 - 1 , Rennes
Sun 31 Aug , Le Havre , 3 - 1 , Nice
Sun 31 Aug , Monaco , 3 - 2 , Strasbourg
Sun 31 Aug , Paris FC , 3 - 2 , Metz
Sun 31 Aug , Lyon , 1 - 0 , Marseille
Fri 12 Sep , Marseille , 4 - 0 , Lorient
Sat 13 Sep , Nice , 1 - 0 , Nantes
Sat 13 Sep , Auxerre , 1 - 2 , Monaco
Sun 14 Sep , Lille , 2 - 1 , Toulouse
Sun 14 Sep , Brest , 1 - 2 , Paris FC
Sun 14 Sep , Metz , 1 - 1 , Angers
Sun 14 Sep , Paris SG , 2 - 0 , Lens
Sun 14 Sep , Strasbourg , 1 - 0 , Le Havre
Sun 14 Sep , Rennes , 3 - 1 , Lyon
Fri 19 Sep , Lyon , 1 - 0 , Angers
Sat 20 Sep , Nantes , 2 - 2 , Rennes
Sat 20 Sep , Brest , 4 - 1 , Nice
Sat 20 Sep , Lens , 3 - 0 , Lille
Sun 21 Sep , Paris FC , 2 - 3 , Strasbourg
Sun 21 Sep , Auxerre , 1 - 0 , Toulouse
Sun 21 Sep , Le Havre , 1 - 1 , Lorient
Sun 21 Sep , Monaco , 5 - 2 , Metz
Mon 22 Sep , Marseille , 1 - 0 , Paris SG
Fri 26 Sep , Strasbourg , 1 - 2 , Marseille
Sat 27 Sep , Lorient , 3 - 1 , Monaco
Sat 27 Sep , Toulouse , 2 - 2 , Nantes
Sat 27 Sep , Paris SG , 2 - 0 , Auxerre
Sun 28 Sep , Nice , 1 - 1 , Paris FC
Sun 28 Sep , Angers , 0 - 2 , Brest
Sun 28 Sep , Lille , 0 - 1 , Lyon
Sun 28 Sep , Metz , 0 - 0 , Le Havre
Sun 28 Sep , Rennes , 0 - 0 , Lens
Fri 3 Oct , Paris FC , 2 - 0 , Lorient
Sat 4 Oct , Metz , 0 - 3 , Marseille
Sat 4 Oct , Brest , 0 - 0 , Nantes
Sat 4 Oct , Auxerre , 1 - 2 , Lens
Sun 5 Oct , Lyon , 1 - 2 , Toulouse
