Fri 1 Aug , Schalke 04 , 2 - 1 , Hertha Berlin
Sat 2 Aug , Darmstadt , 4 - 1 , Bochum
Sat 2 Aug , Elversberg , 1 - 0 , FC Nurnberg
Sat 2 Aug , Karlsruher SC , 3 - 2 , Preuss. Munster
Sat 2 Aug , Paderborn , 2 - 1 , Holstein Kiel
Sat 2 Aug , Bielefeld , 5 - 1 , Dusseldorf
Sun 3 Aug , Greuther Furth , 3 - 2 , Dynamo Dresden
Sun 3 Aug , Hannover 96 , 1 - 0 , Kaiserslautern
Sun 3 Aug , Magdeburg , 0 - 1 , Braunschweig
Fri 8 Aug , FC Nurnberg , 0 - 1 , Darmstadt
Fri 8 Aug , Preuss. Munster , 1 - 1 , Paderborn
Sat 9 Aug , Braunschweig , 3 - 2 , Greuther Furth
Sat 9 Aug , Dusseldorf , 0 - 2 , Hannover 96
Sat 9 Aug , Dynamo Dresden , 1 - 2 , Magdeburg
Sat 9 Aug , Kaiserslautern , 1 - 0 , Schalke 04
Sun 10 Aug , Bochum , 2 - 0 , Elversberg
Sun 10 Aug , Hertha Berlin , 0 - 0 , Karlsruher SC
Sun 10 Aug , Holstein Kiel , 0 - 2 , Bielefeld
Fri 22 Aug , Elversberg , 2 - 1 , Kaiserslautern
Fri 22 Aug , Preuss. Munster , 2 - 1 , FC Nurnberg
Sat 23 Aug , Hannover 96 , 3 - 1 , Magdeburg
Sat 23 Aug , Karlsruher SC , 2 - 0 , Braunschweig
Sat 23 Aug , Paderborn , 1 - 2 , Dusseldorf
Sat 23 Aug , Schalke 04 , 2 - 1 , Bochum
Sun 24 Aug , Bielefeld , 1 - 2 , Dynamo Dresden
Sun 24 Aug , Darmstadt , 0 - 0 , Hertha Berlin
Sun 24 Aug , Greuther Furth , 0 - 2 , Holstein Kiel
Fri 29 Aug , FC Nurnberg , 0 - 0 , Paderborn
Fri 29 Aug , Hertha Berlin , 0 - 2 , Elversberg
Sat 30 Aug , Bochum , 1 - 2 , Preuss. Munster
Sat 30 Aug , Braunschweig , 1 - 1 , Bielefeld
Sat 30 Aug , Holstein Kiel , 1 - 2 , Hannover 96
Sat 30 Aug , Dusseldorf , 0 - 0 , Karlsruher SC
Sun 31 Aug , Dynamo Dresden , 0 - 1 , Schalke 04
Sun 31 Aug , Kaiserslautern , 3 - 1 , Darmstadt
Sun 31 Aug , Magdeburg , 4 - 5 , Greuther Furth
Fri 12 Sep , Bielefeld , 2 - 0 , Magdeburg
