Fri 1 Aug , RW Essen , 1 - 1 , 1860 Munchen
Sat 2 Aug , Energie Cottbus , 3 - 3 , Saarbrucken
Sat 2 Aug , FC Ingolstadt , 1 - 1 , Regensburg
Sat 2 Aug , Hoffenheim B , 0 - 0 , Havelse
Sat 2 Aug , Mannheim , 2 - 2 , Verl
Sat 2 Aug , Osnabruck , 0 - 0 , Alemannia A.
Sat 2 Aug , MSV Duisburg , 2 - 1 , VfB Stuttgart B
Sun 3 Aug , Erzgebirge Aue , 0 - 0 , Hansa Rostock
Sun 3 Aug , Viktoria Koln , 2 - 0 , Schweinfurt
Sun 3 Aug , Wehen Wiesbaden , 3 - 1 , Ulm
Fri 8 Aug , Schweinfurt , 0 - 2 , Energie Cottbus
Sat 9 Aug , 1860 Munchen , 3 - 1 , Osnabruck
Sat 9 Aug , Alemannia A. , 2 - 4 , Hoffenheim B
Sat 9 Aug , Havelse , 1 - 1 , RW Essen
Sat 9 Aug , Saarbrucken , 2 - 1 , Viktoria Koln
Sat 9 Aug , Ulm , 1 - 0 , Erzgebirge Aue
Sat 9 Aug , Verl , 2 - 2 , Wehen Wiesbaden
Sun 10 Aug , Regensburg , 0 - 4 , MSV Duisburg
Sun 10 Aug , Hansa Rostock , 1 - 0 , Mannheim
Sun 10 Aug , VfB Stuttgart B , 2 - 1 , FC Ingolstadt
Fri 22 Aug , Wehen Wiesbaden , 3 - 4 , RW Essen
Sat 23 Aug , Alemannia A. , 0 - 2 , 1860 Munchen
Sat 23 Aug , Hoffenheim B , 4 - 1 , Energie Cottbus
Sat 23 Aug , Osnabruck , 2 - 0 , Saarbrucken
Sat 23 Aug , Regensburg , 3 - 0 , Schweinfurt
Sat 23 Aug , VfB Stuttgart B , 1 - 1 , Verl
Sat 23 Aug , MSV Duisburg , 2 - 1 , Ulm
Sun 24 Aug , FC Ingolstadt , 1 - 1 , Hansa Rostock
Sun 24 Aug , Erzgebirge Aue , 2 - 1 , Havelse
Sun 24 Aug , Mannheim , 2 - 0 , Viktoria Koln
Fri 29 Aug , Viktoria Koln , 1 - 0 , Regensburg
Sat 30 Aug , 1860 Munchen , 1 - 1 , VfB Stuttgart B
Sat 30 Aug , Energie Cottbus , 1 - 1 , FC Ingolstadt
Sat 30 Aug , Havelse , 0 - 2 , Osnabruck
Sat 30 Aug , Saarbrucken , 4 - 1 , Erzgebirge Aue
Sat 30 Aug , Verl , 2 - 3 , MSV Duisburg
Sat 30 Aug , Hansa Rostock , 0 - 1 , Hoffenheim B
Sun 31 Aug , Ulm , 1 - 2 , Mannheim
Sun 31 Aug , Schweinfurt , 0 - 1 , Wehen Wiesbaden
Sun 31 Aug , RW Essen , 2 - 3 , Alemannia A.
Fri 12 Sep , Regensburg , 1 - 3 , RW Essen
Sat 13 Sep , Erzgebirge Aue , 0 - 3 , Viktoria Koln
Sat 13 Sep , FC Ingolstadt , 2 - 3 , Schweinfurt
Sat 13 Sep , Hoffenheim B , 2 - 4 , Verl
Sat 13 Sep , MSV Duisburg , 3 - 1 , Wehen Wiesbaden
Sat 13 Sep , VfB Stuttgart B , 1 - 3 , Saarbrucken
Sat 13 Sep , Alemannia A. , 1 - 3 , Ulm
Sun 14 Sep , Osnabruck , 0 - 0 , Hansa Rostock
Sun 14 Sep , Mannheim , 0 - 3 , Energie Cottbus
Sun 14 Sep , 1860 Munchen , 3 - 2 , Havelse
Tue 16 Sep , Saarbrucken , 3 - 1 , Ulm
Tue 16 Sep , Schweinfurt , 0 - 3 , MSV Duisburg
Tue 16 Sep , Verl , 2 - 1 , Alemannia A.
Tue 16 Sep , Viktoria Koln , 2 - 1 , Hoffenheim B
Tue 16 Sep , Wehen Wiesbaden , 2 - 0 , Regensburg
Wed 17 Sep , Energie Cottbus , 2 - 1 , Erzgebirge Aue
Wed 17 Sep , Hansa Rostock , 2 - 1 , 1860 Munchen
Wed 17 Sep , Havelse , 2 - 6 , FC Ingolstadt
Wed 17 Sep , Mannheim , 0 - 1 , VfB Stuttgart B
Wed 17 Sep , RW Essen , 1 - 1 , Osnabruck
Fri 19 Sep , Saarbrucken , 2 - 1 , Schweinfurt
Sat 20 Sep , Alemannia A. , 3 - 2 , Mannheim
Sat 20 Sep , FC Ingolstadt , 0 - 0 , Wehen Wiesbaden
Sat 20 Sep , Osnabruck , 3 - 1 , Erzgebirge Aue
Sat 20 Sep , RW Essen , 3 - 0 , Hansa Rostock
Sat 20 Sep , VfB Stuttgart B , 2 - 1 , Viktoria Koln
Sat 20 Sep , 1860 Munchen , 1 - 5 , Hoffenheim B
Sun 21 Sep , Havelse , 1 - 1 , MSV Duisburg
Sun 21 Sep , Verl , 2 - 1 , Energie Cottbus
Sun 21 Sep , Ulm , 2 - 1 , Regensburg
Fri 26 Sep , Energie Cottbus , 5 - 0 , VfB Stuttgart B
Sat 27 Sep , Erzgebirge Aue , 2 - 0 , 1860 Munchen
Sat 27 Sep , Hansa Rostock , 1 - 1 , Havelse
Sat 27 Sep , MSV Duisburg , 2 - 1 , FC Ingolstadt
Sat 27 Sep , Schweinfurt , 1 - 5 , Alemannia A.
Sat 27 Sep , Wehen Wiesbaden , 1 - 1 , Saarbrucken
Sat 27 Sep , Mannheim , 6 - 1 , RW Essen
Sun 28 Sep , Regensburg , 2 - 0 , Verl
Sun 28 Sep , Hoffenheim B , 1 - 1 , Ulm
Sun 28 Sep , Viktoria Koln , 0 - 0 , Osnabruck
Tue 30 Sep , Alemannia A. , 0 - 1 , Erzgebirge Aue
Tue 30 Sep , Hansa Rostock , 1 - 3 , Energie Cottbus
Tue 30 Sep , Havelse , 2 - 3 , Mannheim
Tue 30 Sep , Saarbrucken , 0 - 0 , MSV Duisburg
Tue 30 Sep , VfB Stuttgart B , 0 - 0 , Wehen Wiesbaden
Wed 1 Oct , 1860 Munchen , 2 - 2 , Viktoria Koln
Wed 1 Oct , Osnabruck , 2 - 0 , Regensburg
Wed 1 Oct , RW Essen , 3 - 1 , Hoffenheim B
Wed 1 Oct , Ulm , 5 - 1 , Schweinfurt
Wed 1 Oct , Verl , 2 - 2 , FC Ingolstadt
Fri 3 Oct , MSV Duisburg , 2 - 2 , Hansa Rostock
Sat 4 Oct , FC Ingolstadt , 4 - 1 , Ulm
Sat 4 Oct , Mannheim , 1 - 4 , Osnabruck
Sat 4 Oct , Regensburg , 1 - 1 , Saarbrucken
Sat 4 Oct , Schweinfurt , 1 - 2 , Verl
Sat 4 Oct , Viktoria Koln , 4 - 1 , Havelse
Sat 4 Oct , Energie Cottbus , 3 - 2 , Alemannia A.
Sun 5 Oct , Erzgebirge Aue , 2 - 2 , RW Essen
Sun 5 Oct , Wehen Wiesbaden , 1 - 0 , 1860 Munchen
Sun 5 Oct , Hoffenheim B , 1 - 3 , VfB Stuttgart B
Fri 17 Oct , Erzgebirge Aue , 0 - 2 , Mannheim
Sat 18 Oct , Alemannia A. , 0 - 1 , FC Ingolstadt
Sat 18 Oct , Hansa Rostock , 3 - 0 , Wehen Wiesbaden
Sat 18 Oct , Osnabruck , 0 - 4 , Hoffenheim B
Sat 18 Oct , Saarbrucken , 2 - 4 , Verl
Sat 18 Oct , VfB Stuttgart B , 3 - 0 , Schweinfurt
Sat 18 Oct , RW Essen , 1 - 0 , Viktoria Koln
Sun 19 Oct , Ulm , 1 - 2 , Energie Cottbus
Sun 19 Oct , 1860 Munchen , 3 - 1 , MSV Duisburg
Sun 19 Oct , Havelse , 1 - 2 , Regensburg
Fri 24 Oct , Wehen Wiesbaden , 1 - 2 , Alemannia A.
Sat 25 Oct , Energie Cottbus , 4 - 3 , Havelse
Sat 25 Oct , FC Ingolstadt , 2 - 1 , Saarbrucken
Sat 25 Oct , Mannheim , 3 - 1 , 1860 Munchen
Sat 25 Oct , Regensburg , 3 - 2 , VfB Stuttgart B
Sat 25 Oct , Verl , 5 - 0 , Ulm
Sat 25 Oct , Schweinfurt , 1 - 2 , Osnabruck
Sun 26 Oct , Hoffenheim B , 1 - 1 , Erzgebirge Aue
Sun 26 Oct , Viktoria Koln , 2 - 4 , Hansa Rostock
Sun 26 Oct , MSV Duisburg , 1 - 1 , RW Essen
