Fri 25 Jul , Kickers Emden , 0 - 1 , Meppen
Sat 26 Jul , Weiche F. , 2 - 5 , Phonix Lubeck
Sat 26 Jul , BW Lohne , 2 - 3 , HSC Hannover
Sat 26 Jul , Altona , 2 - 1 , Norderstedt
Sat 26 Jul , VfB Lubeck , 2 - 0 , Bremer SV
Sat 26 Jul , Oldenburg , 1 - 3 , Jeddeloh
Sun 27 Jul , Hamburger SV B , 0 - 0 , Hannover 96 B
Sun 27 Jul , St. Pauli B , 0 - 5 , Drochtersen.A.
Fri 1 Aug , Meppen , 3 - 1 , VfB Lubeck
Fri 1 Aug , Drochtersen.A. , 3 - 1 , Kickers Emden
Sat 2 Aug , Hannover 96 B , 3 - 0 , Schoningen
Sat 2 Aug , Phonix Lubeck , 5 - 0 , BW Lohne
Sat 2 Aug , Werder Bremen B , 1 - 5 , Weiche F.
Sat 2 Aug , Jeddeloh , 3 - 2 , Altona
Sun 3 Aug , Norderstedt , 1 - 3 , Oldenburg
Sun 3 Aug , Bremer SV , 1 - 0 , St. Pauli B
Fri 8 Aug , Oldenburg , 4 - 0 , VfB Lubeck
Sat 9 Aug , Weiche F. , 4 - 0 , HSC Hannover
Sat 9 Aug , Phonix Lubeck , 0 - 2 , Norderstedt
Sat 9 Aug , Schoningen , 0 - 2 , Drochtersen.A.
Sat 9 Aug , Altona , 4 - 4 , Meppen
Sat 9 Aug , Kickers Emden , 3 - 0 , Bremer SV
Sun 10 Aug , Hamburger SV B , 1 - 2 , Jeddeloh
Sun 10 Aug , BW Lohne , 2 - 1 , Hannover 96 B
Sun 10 Aug , St. Pauli B , 2 - 3 , Werder Bremen B
Fri 15 Aug , Kickers Emden , 3 - 2 , Weiche F.
Fri 15 Aug , Meppen , 0 - 1 , Oldenburg
Fri 15 Aug , Drochtersen.A. , 0 - 2 , Hamburger SV B
Sun 17 Aug , HSC Hannover , 0 - 0 , AltonaSat 16 AugJeddeloh 3 0 Schoningen
Wed 20 Aug , Bremer SV , 2 - 1 , Phonix Lubeck
Wed 20 Aug , Norderstedt , 0 - 4 , BW Lohne
Wed 20 Aug , Schoningen , 0 - 2 , Hannover 96 B
Fri 22 Aug , Jeddeloh , 7 - 1 , Werder Bremen B
Sat 23 Aug , Hannover 96 B , 3 - 2 , St. Pauli B
Sat 23 Aug , Phonix Lubeck , 2 - 0 , Weiche F.
Sat 23 Aug , Altona , 1 - 1 , Werder Bremen B
Sat 23 Aug , BW Lohne , 3 - 4 , Bremer SV
Sun 24 Aug , Hamburger SV B , 0 - 4 , Drochtersen.A.
Sun 24 Aug , Meppen , 5 - 1 , Oldenburg
Sun 24 Aug , Norderstedt , 2 - 4 , Schoningen
Sun 24 Aug , HSC Hannover , 3 - 3 , VfB Lubeck
Wed 27 Aug , Bremer SV , 3 - 0 , Kickers Emden
Wed 27 Aug , Oldenburg , 6 - 2 , Hamburger SV B
Wed 27 Aug , St. Pauli B , 1 - 1 , Altona
Wed 27 Aug , Kickers Emden , 1 - 2 , Phonix Lubeck
Wed 27 Aug , Meppen , 2 - 2 , Schoningen
Wed 27 Aug , VfB Lubeck , 1 - 1 , Hannover 96 B
Wed 27 Aug , Weiche F. , 1 - 3 , Jeddeloh
Wed 27 Aug , Drochtersen.A. , 3 - 1 , BW Lohne
Sat 30 Aug , Altona , 2 - 0 , HSC Hannover
Sat 30 Aug , Jeddeloh , 1 - 0 , Weiche F.
Sat 30 Aug , Kickers Emden , 1 - 3 , Bremer SV
Sat 30 Aug , Oldenburg , 5 - 2 , Phonix Lubeck
Sun 31 Aug , BW Lohne , 1 - 0 , Schoningen
Sun 31 Aug , Hamburger SV B , 0 - 4 , St. Pauli B
Sun 31 Aug , Norderstedt , 2 - 0 , Meppen
Sun 31 Aug , VfB Lubeck , 1 - 0 , Drochtersen.A.
Sun 31 Aug , HSC Hannover , 2 - 2 , Hannover 96 B
Fri 5 Sep , Meppen , 4 - 0 , Werder Bremen B
Fri 5 Sep , Weiche F. , 3 - 2 , Jeddeloh
Sat 6 Sep , VfB Lubeck , 1 - 2 , Hamburger SV B
Sat 6 Sep , Werder Bremen B , 6 - 2 , Altona
Sat 6 Sep , Drochtersen.A. , 4 - 0 , BW Lohne
Sat 6 Sep , Oldenburg , 6 - 1 , Phonix Lubeck
Sun 7 Sep , St. Pauli B , 2 - 2 , HSC Hannover
Wed 10 Sep , HSC Hannover , 4 - 1 , Norderstedt
Fri 12 Sep , BW Lohne , 0 - 3 , Hamburger SV B
Fri 12 Sep , Weiche F. , 3 - 2 , Oldenburg
Sat 13 Sep , Hannover 96 B , 1 - 1 , Drochtersen.A.
Sat 13 Sep , Norderstedt , 0 - 2 , Jeddeloh
Sat 13 Sep , Phonix Lubeck , 1 - 0 , Kickers Emden
Sat 13 Sep , Schoningen , 3 - 1 , Bremer SV
Sun 14 Sep , Werder Bremen B , 0 - 6 , St. Pauli B
Sun 14 Sep , HSC Hannover , 1 - 0 , Meppen
Wed 17 Sep , Werder Bremen B , 2 - 2 , Altona
Fri 19 Sep , Oldenburg , 4 - 2 , Norderstedt
Fri 19 Sep , Altona , 0 - 2 , Hannover 96 B
Fri 19 Sep , Kickers Emden , 2 - 0 , Hamburger SV B
Sat 20 Sep , Meppen , 2 - 0 , BW Lohne
Sat 20 Sep , VfB Lubeck , 4 - 1 , Phonix Lubeck
Sat 20 Sep , Jeddeloh , 2 - 2 , Schoningen
Sun 21 Sep , St. Pauli B , 1 - 3 , Norderstedt
Sun 21 Sep , Bremer SV , 4 - 1 , Weiche F.
Sun 21 Sep , Drochtersen.A. , 3 - 2 , HSC Hannover
Fri 26 Sep , Werder Bremen B , 1 - 1 , Werder Bremen B
Fri 26 Sep , BW Lohne , 1 - 2 , Kickers Emden
