Sat 23 Aug , Aris , 2 - 0 , Volos
Sat 23 Aug , Olympiakos , 2 - 0 , Asteras T.
Sat 23 Aug , Panaitolikos , 0 - 2 , Atromitos
Sun 24 Aug , PAOK , 1 - 0 , OFI CreteSun 24 AugAEK Athens 2 0 Panserraikos
Mon 25 Aug , Levadiakos , 3 - 2 , Larissa
Sat 30 Aug , Volos , 0 - 2 , Kifisia
Sat 30 Aug , Panserraikos , 0 - 1 , Olympiakos
Sat 30 Aug , Aris , 0 - 2 , OFI Crete
Sat 30 Aug , Larissa , 1 - 1 , Panaitolikos
Sun 31 Aug , AEK Athens , 1 - 0 , Kifisia
Sun 31 Aug , PAOK , 1 - 0 , Asteras T.
Sun 31 Aug , Panathinaikos , 1 - 1 , Atromitos
Sat 13 Sep , Olympiakos , 5 - 0 , Levadiakos
Sat 13 Sep , Atromitos , 1 - 2 , Panserraikos
Sat 13 Sep , Panaitolikos , 1 - 2 , Aris
Sun 14 Sep , Asteras T. , 2 - 2 , Volos
Sun 14 Sep , Kifisia , 3 - 2 , Larissa
Sun 14 Sep , Levadiakos , 0 - 1 , Panathinaikos
Sun 14 Sep , OFI Crete , 1 - 2 , AEK Athens
Sat 20 Sep , Kifisia , 0 - 1 , PAOK
Sat 20 Sep , Panserraikos , 1 - 1 , Aris
Sat 20 Sep , Volos , 2 - 1 , Atromitos
Sat 20 Sep , PAOK , 0 - 0 , Asteras T.
Sun 21 Sep , Larissa , 1 - 1 , Panaitolikos
Sun 21 Sep , Levadiakos , 4 - 0 , AEK Athens
Sun 21 Sep , Panathinaikos , 1 - 1 , OFI Crete
Sat 27 Sep , Olympiakos , 3 - 2 , Olympiakos
Sat 27 Sep , Aris , 1 - 1 , Levadiakos
Sun 28 Sep , AEK Athens , 1 - 0 , Panserraikos
Sun 28 Sep , OFI Crete , 1 - 3 , Volos
Sun 28 Sep , Asteras T. , 3 - 3 , Kifisia
Sun 28 Sep , Panaitolikos , 1 - 2 , PAOK
Mon 29 Sep , Atromitos , 1 - 1 , Panathinaikos
Sat 4 Oct , OFI Crete , 3 - 0 , Larissa
Sat 4 Oct , Panserraikos , 2 - 1 , Aris
Sat 4 Oct , Larissa , 2 - 5 , Asteras T.
Sun 5 Oct , Kifisia , 2 - 3 , Volos
Sun 5 Oct , Levadiakos , 6 - 0 , AEK Athens
Sun 5 Oct , PAOK , 2 - 1 , Panaitolikos
Sun 5 Oct , Panathinaikos , 1 - 0 , Olympiakos
Sat 18 Oct , Larissa , 0 - 2 , Atromitos
Sat 18 Oct , Atromitos , 2 - 2 , Olympiakos
Sat 18 Oct , Panaitolikos , 4 - 2 , Levadiakos
Sun 19 Oct , Asteras T. , 2 - 2 , OFI Crete
Sun 19 Oct , Volos , 2 - 1 , Kifisia
Sun 19 Oct , Aris , 1 - 1 , Panserraikos
Sun 19 Oct , AEK Athens , 0 - 2 , Panathinaikos
Sat 25 Oct , Kifisia , 1 - 1 , PAOK
Sat 25 Oct , Panserraikos , 0 - 2 , Panaitolikos
Sat 25 Oct , OFI Crete , 1 - 3 , Larissa
Sun 26 Oct , Levadiakos , 1 - 1 , Atromitos
Sun 26 Oct , Panathinaikos , 2 - 0 , Aris
Sun 26 Oct , PAOK , 3 - 0 , Asteras T.
Sun 26 Oct , Olympiakos , 2 - 0 , Volos
Sat 1 Nov , Volos , 1 - 0 , AEK Athens
Sat 1 Nov , Atromitos , 1 - 2 , Panathinaikos
Sat 1 Nov , Olympiakos , 2 - 1 , Kifisia
Sun 2 Nov , Larissa , 0 - 2 , Aris
Sun 2 Nov , Panserraikos , 0 - 5 , Levadiakos
Sun 2 Nov , AEK Athens , 1 - 0 , PAOK
Mon 3 Nov , Asteras T. , 3 - 0 , Panaitolikos
Sat 8 Nov , Panaitolikos , 3 - 0 , OFI Crete
Sun 9 Nov , Aris , 0 - 0 , Larissa
Sun 9 Nov , Kifisia , 1 - 3 , Asteras T.
Sun 9 Nov , Levadiakos , 5 - 2 , Olympiakos
Sun 9 Nov , OFI Crete , 0 - 1 , Panserraikos
Sun 9 Nov , Atromitos , 0 - 1 , AEK Athens
Sun 9 Nov , Panathinaikos , 2 - 1 , Volos
