Fri 28 Feb , Dainava , 1 - 3 , Kauno Zalgiris
Sat 1 Mar , Banga , 2 - 0 , Hegelmann L.
Sat 1 Mar , Riteriai , 3 - 4 , Suduva
Sun 2 Mar , Panevezys , 1 - 3 , Siauliai
Sun 2 Mar , Zalgiris , 2 - 1 , Dziugas Telsiai
Fri 7 Mar , Riteriai , 3 - 3 , Zalgiris
Sat 8 Mar , Siauliai , 2 - 2 , Dainava
Sat 8 Mar , Kauno Zalgiris , 1 - 2 , Dziugas Telsiai
Sun 9 Mar , Hegelmann L. , 2 - 1 , Panevezys
Sun 9 Mar , Suduva , 1 - 0 , Banga
Fri 14 Mar , Dainava , 0 - 2 , Dziugas Telsiai
Sat 15 Mar , Hegelmann L. , 1 - 0 , Siauliai
Sat 15 Mar , Zalgiris , 1 - 1 , Banga
Sun 16 Mar , Panevezys , 2 - 0 , Suduva
Sun 16 Mar , Riteriai , 0 - 0 , Kauno Zalgiris
Fri 28 Mar , Suduva , 1 - 0 , Dziugas Telsiai
Sat 29 Mar , Siauliai , 2 - 3 , Kauno Zalgiris
Sat 29 Mar , Hegelmann L. , 2 - 1 , Riteriai
Sun 30 Mar , Panevezys , 1 - 1 , Banga
Sun 30 Mar , Dainava , 0 - 1 , Zalgiris
Fri 4 Apr , Suduva , 1 - 0 , Dainava
Sat 5 Apr , Riteriai , 3 - 1 , Panevezys
Sat 5 Apr , Banga , 1 - 2 , Siauliai
Sun 6 Apr , Dziugas Telsiai , 0 - 2 , Hegelmann L.
Sun 6 Apr , Zalgiris , 0 - 0 , Kauno Zalgiris
Sat 12 Apr , Panevezys , 0 - 1 , Dziugas Telsiai
Sat 12 Apr , Siauliai , 2 - 0 , Zalgiris
Sat 12 Apr , Banga , 1 - 3 , Riteriai
Sat 12 Apr , Kauno Zalgiris , 0 - 0 , Suduva
Sat 12 Apr , Hegelmann L. , 3 - 2 , Dainava
Wed 16 Apr , Banga , 0 - 1 , Dziugas Telsiai
Wed 16 Apr , Kauno Zalgiris , 3 - 1 , Hegelmann L.
Wed 16 Apr , Siauliai , 2 - 2 , Riteriai
Wed 16 Apr , Dainava , 1 - 3 , Panevezys
Wed 16 Apr , Zalgiris , 3 - 0 , Suduva
Sat 19 Apr , Panevezys , 0 - 2 , Kauno Zalgiris
Sat 19 Apr , Suduva , 1 - 1 , Siauliai
Sat 19 Apr , Riteriai , 0 - 1 , Dziugas Telsiai
Sun 20 Apr , Banga , 2 - 1 , Dainava
Sun 20 Apr , Hegelmann L. , 2 - 1 , Zalgiris
Fri 25 Apr , Zalgiris , 2 - 3 , Panevezys
Sat 26 Apr , Dziugas Telsiai , 0 - 1 , Siauliai
Sat 26 Apr , Dainava , 1 - 1 , Riteriai
Sun 27 Apr , Kauno Zalgiris , 0 - 1 , Banga
Sun 27 Apr , Suduva , 4 - 0 , Hegelmann L.
Fri 2 May , Siauliai , 0 - 3 , Hegelmann L.
Sat 3 May , Banga , 2 - 0 , Zalgiris
Sat 3 May , Dziugas Telsiai , 2 - 0 , Dainava
Sun 4 May , Suduva , 0 - 0 , Panevezys
Sun 4 May , Kauno Zalgiris , 3 - 1 , Riteriai
Fri 9 May , Zalgiris , 2 - 0 , Riteriai
Fri 9 May , Dziugas Telsiai , 0 - 1 , Kauno Zalgiris
Sat 10 May , Panevezys , 3 - 0 , Hegelmann L.
Sun 11 May , Banga , 0 - 1 , Suduva
Sun 11 May , Dainava , 1 - 2 , Siauliai
Fri 16 May , Dainava , 0 - 3 , Suduva
Sat 17 May , Hegelmann L. , 1 - 0 , Dziugas Telsiai
Sat 17 May , Panevezys , 3 - 0 , Riteriai
Sat 17 May , Kauno Zalgiris , 3 - 0 , Zalgiris
Sun 18 May , Siauliai , 3 - 0 , Banga
Fri 23 May , Banga , 1 - 1 , Panevezys
Fri 23 May , Kauno Zalgiris , 3 - 0 , Siauliai
Sat 24 May , Riteriai , 2 - 4 , Hegelmann L.
Sun 25 May , Zalgiris , 1 - 1 , Dainava
Sun 25 May , Dziugas Telsiai , 1 - 1 , Suduva
Fri 30 May , Kauno Zalgiris , 4 - 0 , Dainava
Sat 31 May , Dziugas Telsiai , 1 - 1 , Zalgiris
Sat 31 May , Hegelmann L. , 2 - 0 , Banga
Sun 1 Jun , Suduva , 4 - 1 , Riteriai
Sun 1 Jun , Siauliai , 2 - 1 , Panevezys
Fri 13 Jun , Suduva , 0 - 0 , Kauno Zalgiris
Fri 13 Jun , Zalgiris , 0 - 0 , Siauliai
Fri 13 Jun , Dziugas Telsiai , 1 - 1 , Panevezys
Sat 14 Jun , Riteriai , 1 - 2 , Banga
Sat 14 Jun , Dainava , 2 - 2 , Hegelmann L.
Thu 19 Jun , Panevezys , 2 - 0 , Dainava
Thu 19 Jun , Suduva , 2 - 2 , Zalgiris
Thu 19 Jun , Dziugas Telsiai , 0 - 1 , Banga
Thu 19 Jun , Hegelmann L. , 1 - 2 , Kauno Zalgiris
Thu 19 Jun , Riteriai , 1 - 0 , Siauliai
Tue 24 Jun , Dainava , 2 - 1 , Banga
Tue 24 Jun , Zalgiris , 0 - 1 , Hegelmann L.
Tue 24 Jun , Kauno Zalgiris , 3 - 0 , Panevezys
Wed 25 Jun , Dziugas Telsiai , 2 - 1 , Riteriai
Wed 25 Jun , Siauliai , 2 - 2 , Suduva
Sun 29 Jun , Riteriai , 0 - 2 , Dainava
Sun 29 Jun , Siauliai , 5 - 0 , Dziugas Telsiai
Sun 29 Jun , Panevezys , 2 - 4 , Zalgiris
Mon 30 Jun , Banga , 0 - 2 , Kauno Zalgiris
Mon 30 Jun , Hegelmann L. , 0 - 2 , Suduva
Fri 4 Jul , Zalgiris , 1 - 0 , Banga
Sat 5 Jul , Hegelmann L. , 5 - 2 , Siauliai
Sat 5 Jul , Riteriai , 1 - 5 , Kauno Zalgiris
Sun 6 Jul , Dainava , 0 - 2 , Dziugas Telsiai
Mon 7 Jul , Panevezys , 1 - 2 , Suduva
Fri 11 Jul , Riteriai , 0 - 2 , Siauliai
Mon 14 Jul , Dainava , 0 - 3 , SuduvaSun 13 JulDziugas Telsiai 0 0 Banga
Sat 19 Jul , Zalgiris , 2 - 0 , Panevezys
Sun 20 Jul , Panevezys , 2 - 0 , Dziugas Telsiai
Sun 20 Jul , Suduva , 0 - 0 , Siauliai
Mon 21 Jul , Kauno Zalgiris , 3 - 0 , Riteriai
Sun 27 Jul , Suduva , 2 - 3 , Dainava
Mon 28 Jul , Siauliai , 3 - 1 , Dziugas Telsiai
Mon 28 Jul , Hegelmann L. , 3 - 0 , Dainava
Fri 1 Aug , Riteriai , 1 - 3 , Riteriai
Sun 3 Aug , Dainava , 2 - 2 , Panevezys
Mon 4 Aug , Banga , 1 - 0 , Suduva
Mon 4 Aug , Dziugas Telsiai , 0 - 1 , Siauliai
Mon 4 Aug , Zalgiris , 1 - 2 , Hegelmann L.
Thu 7 Aug , Zalgiris , 1 - 0 , Kauno Zalgiris
Fri 8 Aug , Panevezys , 0 - 1 , Suduva
Sun 10 Aug , Hegelmann L. , 0 - 1 , Dziugas Telsiai
Sun 10 Aug , Banga , 2 - 0 , Dainava
Wed 13 Aug , Banga , 0 - 1 , Riteriai
Sun 17 Aug , Suduva , 2 - 1 , SuduvaSun 10 AugKauno Zalgiris pp. SuduvaMon 11 AugSiauliai 2 2 Zalgiris
Sun 17 Aug , Dziugas Telsiai , 1 - 2 , Hegelmann L.
Sun 17 Aug , Hegelmann L. , 3 - 1 , Banga
Sun 17 Aug , Zalgiris , 2 - 1 , Kauno Zalgiris
Wed 20 Aug , Panevezys , 1 - 0 , Panevezys
Wed 20 Aug , Siauliai , 2 - 2 , Riteriai
Wed 20 Aug , Zalgiris , 1 - 1 , Banga
Fri 22 Aug , Riteriai , 0 - 2 , Kauno Zalgiris
Sun 24 Aug , Dainava , 0 - 5 , Dainava
Sun 24 Aug , Panevezys , 1 - 0 , Dziugas Telsiai
Sun 24 Aug , Hegelmann L. , 2 - 2 , Banga
Mon 25 Aug , Siauliai , 2 - 1 , Kauno Zalgiris
Wed 27 Aug , Kauno Zalgiris , 2 - 1 , Zalgiris
Sat 30 Aug , Banga , 0 - 0 , Suduva
Sat 30 Aug , Riteriai , 2 - 1 , Hegelmann L.
Sat 30 Aug , Suduva , 2 - 1 , Kauno Zalgiris
Sun 31 Aug , Dziugas Telsiai , 1 - 3 , Dainava
Sun 31 Aug , Zalgiris , 2 - 1 , Hegelmann L.
Fri 12 Sep , Suduva , 1 - 1 , Siauliai
Fri 12 Sep , Dziugas Telsiai , 1 - 1 , Panevezys
Sat 13 Sep , Banga , 0 - 2 , Panevezys
Sun 14 Sep , Kauno Zalgiris , 6 - 1 , Dainava
Sun 14 Sep , Siauliai , 0 - 1 , Zalgiris
Fri 19 Sep , Dainava , 0 - 3 , Riteriai
Fri 19 Sep , Riteriai , 0 - 2 , Hegelmann L.
Sun 21 Sep , Kauno Zalgiris , 2 - 1 , Siauliai
Sun 21 Sep , Panevezys , 0 - 1 , Zalgiris
Sun 21 Sep , Banga , 0 - 1 , Dziugas Telsiai
Wed 24 Sep , Kauno Zalgiris , 1 - 1 , Hegelmann L.
Fri 26 Sep , Banga , 0 - 1 , Suduva
Sat 27 Sep , Siauliai , 2 - 1 , Suduva
Mon 29 Sep , Suduva , 1 - 3 , Dziugas Telsiai
Wed 1 Oct , Hegelmann L. , 1 - 1 , Riteriai
Wed 1 Oct , Panevezys , 3 - 1 , Zalgiris
