Sat 22 Feb , Cheonan City , 0 - 2 , Jeonnam
Sat 22 Feb , Incheon Utd , 2 - 0 , Gyeongnam
Sat 22 Feb , Ansan Greeners , 0 - 1 , Suwon Bluewings
Sat 22 Feb , Busan IPark , 0 - 0 , Gimpo
Sun 23 Feb , Seongnam , 2 - 0 , Hwaseong
Sun 23 Feb , Bucheon FC , 3 - 1 , Cheongju
Sun 23 Feb , Seoul E-Land , 2 - 1 , Asan
Sat 1 Mar , Incheon Utd , 2 - 0 , Suwon Bluewings
Sat 1 Mar , Ansan Greeners , 0 - 2 , Gimpo
Sat 1 Mar , Seoul E-Land , 1 - 1 , Jeonnam
Sun 2 Mar , Busan IPark , 0 - 1 , Gyeongnam
Sun 2 Mar , Hwaseong , 1 - 1 , Asan
Sun 2 Mar , Cheonan City , 1 - 2 , Bucheon FC
Mon 3 Mar , Seongnam , 1 - 1 , Cheongju
Sat 8 Mar , Bucheon FC , 0 - 2 , Busan IPark
Sat 8 Mar , Hwaseong , 1 - 1 , Gyeongnam
Sat 8 Mar , Ansan Greeners , 0 - 1 , Jeonnam
Sat 8 Mar , Gimpo , 2 - 3 , Cheongju
Sun 9 Mar , Cheonan City , 1 - 0 , Asan
Sun 9 Mar , Seoul E-Land , 4 - 2 , Suwon Bluewings
Sun 9 Mar , Seongnam , 2 - 1 , Incheon Utd
Sat 15 Mar , Hwaseong , 2 - 1 , Cheongju
Sat 15 Mar , Incheon Utd , 1 - 0 , Seoul E-Land
Sat 15 Mar , Gimpo , 0 - 0 , Seongnam
Sat 15 Mar , Suwon Bluewings , 0 - 0 , Asan
Sun 16 Mar , Busan IPark , 2 - 1 , Cheonan City
Sun 16 Mar , Gyeongnam , 2 - 2 , Jeonnam
Sun 16 Mar , Bucheon FC , 3 - 1 , Ansan Greeners
Sat 29 Mar , Ansan Greeners , 3 - 3 , Hwaseong
Sat 29 Mar , Suwon Bluewings , 2 - 1 , Jeonnam
Sat 29 Mar , Gyeongnam , 3 - 0 , Cheongju
Sat 29 Mar , Incheon Utd , 1 - 1 , Busan IPark
Sun 30 Mar , Cheonan City , 0 - 2 , Gimpo
Sun 30 Mar , Seoul E-Land , 3 - 2 , Bucheon FC
Sun 30 Mar , Asan , 1 - 1 , Seongnam
Sat 5 Apr , Hwaseong , 0 - 1 , Incheon Utd
Sat 5 Apr , Seoul E-Land , 3 - 0 , Cheonan City
Sat 5 Apr , Busan IPark , 0 - 1 , Jeonnam
Sun 6 Apr , Gimpo , 1 - 2 , Bucheon FC
Sun 6 Apr , Suwon Bluewings , 4 - 0 , Gyeongnam
Sun 6 Apr , Asan , 3 - 1 , Cheongju
Sun 6 Apr , Seongnam , 1 - 0 , Ansan Greeners
Sat 12 Apr , Gimpo , 1 - 1 , Asan
Sat 12 Apr , Hwaseong , 1 - 2 , Jeonnam
Sat 12 Apr , Bucheon FC , 1 - 1 , Suwon Bluewings
Sat 12 Apr , Gyeongnam , 0 - 1 , Seongnam
Sun 13 Apr , Incheon Utd , 2 - 1 , Cheongju
Sun 13 Apr , Busan IPark , 2 - 2 , Seoul E-Land
Sun 13 Apr , Cheonan City , 0 - 1 , Ansan Greeners
Sat 19 Apr , Incheon Utd , 3 - 0 , Cheonan City
Sat 19 Apr , Seoul E-Land , 0 - 2 , Cheongju
Sat 19 Apr , Seongnam , 0 - 0 , Bucheon FC
Sat 19 Apr , Suwon Bluewings , 3 - 1 , Hwaseong
Sun 20 Apr , Ansan Greeners , 1 - 3 , Busan IPark
Sun 20 Apr , Asan , 0 - 0 , Jeonnam
Sun 20 Apr , Gyeongnam , 2 - 1 , Gimpo
Sat 26 Apr , Cheonan City , 0 - 1 , Cheongju
Sat 26 Apr , Seoul E-Land , 2 - 1 , Gyeongnam
Sat 26 Apr , Asan , 3 - 0 , Ansan Greeners
Sat 26 Apr , Bucheon FC , 1 - 3 , Incheon Utd
Sun 27 Apr , Gimpo , 0 - 1 , Jeonnam
Sun 27 Apr , Suwon Bluewings , 3 - 2 , Seongnam
Sun 27 Apr , Busan IPark , 3 - 2 , Hwaseong
Sun 4 May , Bucheon FC , 2 - 2 , Jeonnam
Sun 4 May , Seongnam , 1 - 2 , Seoul E-Land
Sun 4 May , Ansan Greeners , 1 - 0 , Gyeongnam
Sun 4 May , Cheongju , 3 - 3 , Suwon Bluewings
Sun 4 May , Incheon Utd , 3 - 0 , Gimpo
Sun 4 May , Busan IPark , 2 - 0 , Asan
Sun 4 May , Hwaseong , 2 - 1 , Cheonan City
Sat 10 May , Gimpo , 1 - 0 , Hwaseong
Sat 10 May , Gyeongnam , 0 - 3 , Bucheon FC
Sat 10 May , Asan , 0 - 3 , Incheon Utd
Sat 10 May , Seoul E-Land , 1 - 1 , Ansan Greeners
Sun 11 May , Cheongju , 0 - 2 , Busan IPark
Sun 11 May , Jeonnam , 2 - 1 , Seongnam
Sun 11 May , Suwon Bluewings , 2 - 0 , Cheonan City
Sat 17 May , Bucheon FC , 1 - 0 , Hwaseong
Sat 17 May , Gyeongnam , 1 - 3 , Asan
Sat 17 May , Busan IPark , 1 - 4 , Suwon Bluewings
Sat 17 May , Cheonan City , 1 - 1 , Seongnam
Sun 18 May , Ansan Greeners , 0 - 2 , Incheon Utd
Sun 18 May , Jeonnam , 4 - 1 , Cheongju
Sun 18 May , Gimpo , 1 - 2 , Seoul E-Land
Sat 24 May , Cheongju , 0 - 0 , Ansan Greeners
Sat 24 May , Hwaseong , 0 - 1 , Seoul E-Land
Sat 24 May , Gyeongnam , 3 - 1 , Cheonan City
Sat 24 May , Seongnam , 0 - 0 , Busan IPark
Sun 25 May , Asan , 2 - 2 , Bucheon FC
Sun 25 May , Incheon Utd , 2 - 0 , Jeonnam
Sun 25 May , Suwon Bluewings , 1 - 1 , Gimpo
Sat 31 May , Jeonnam , 3 - 2 , Hwaseong
Sat 31 May , Seoul E-Land , 1 - 4 , Busan IPark
Sat 31 May , Ansan Greeners , 1 - 0 , Seongnam
Sat 31 May , Cheongju , 1 - 2 , Gyeongnam
Sun 1 Jun , Asan , 2 - 0 , Gimpo
Sun 1 Jun , Cheonan City , 3 - 3 , Incheon Utd
Sun 1 Jun , Suwon Bluewings , 4 - 1 , Bucheon FC
Fri 6 Jun , Cheongju , 0 - 2 , Asan
Fri 6 Jun , Seongnam , 1 - 2 , Suwon Bluewings
Sat 7 Jun , Busan IPark , 0 - 2 , Ansan Greeners
Sat 7 Jun , Gyeongnam , 0 - 1 , Hwaseong
Sat 7 Jun , Jeonnam , 1 - 1 , Seoul E-Land
Sun 8 Jun , Gimpo , 1 - 0 , Cheonan City
Sun 8 Jun , Incheon Utd , 1 - 0 , Bucheon FC
Sat 14 Jun , Asan , 0 - 1 , Cheonan City
Sat 14 Jun , Bucheon FC , 3 - 1 , Seoul E-Land
Sat 14 Jun , Cheongju , 0 - 1 , Seongnam
Sun 15 Jun , Gimpo , 3 - 0 , Gyeongnam
Sun 15 Jun , Hwaseong , 0 - 0 , Ansan Greeners
Sun 15 Jun , Jeonnam , 0 - 1 , Busan IPark
Sun 15 Jun , Suwon Bluewings , 1 - 2 , Incheon Utd
Sat 21 Jun , Ansan Greeners , 0 - 1 , Bucheon FC
Sat 21 Jun , Cheonan City , 4 - 2 , Seoul E-Land
Sat 21 Jun , Incheon Utd , 2 - 0 , Hwaseong
Sat 21 Jun , Seongnam , 0 - 2 , Asan
