Fri 22 Aug , Pescara , 1 - 3 , Cesena
Sat 23 Aug , Empoli , 3 - 1 , Padova
Sat 23 Aug , Entella , 1 - 1 , Juve Stabia
Sat 23 Aug , Monza , 1 - 0 , Mantova
Sat 23 Aug , Palermo , 2 - 1 , Reggiana
Sun 24 Aug , Spezia , 0 - 2 , Carrarese
Sun 24 Aug , Venezia , 2 - 1 , Bari
Sun 24 Aug , Catanzaro , 1 - 1 , Sudtirol
Sun 24 Aug , Frosinone , 2 - 0 , Avellino
Mon 25 Aug , Sampdoria , 0 - 2 , Modena
Fri 29 Aug , Reggiana , 3 - 1 , Empoli
Sat 30 Aug , Juve Stabia , 0 - 0 , Venezia
Sat 30 Aug , Mantova , 2 - 1 , Pescara
Sat 30 Aug , Cesena , 1 - 1 , Entella
Sat 30 Aug , Palermo , 0 - 0 , Frosinone
Sat 30 Aug , Spezia , 0 - 0 , Catanzaro
Sun 31 Aug , Carrarese , 0 - 0 , Padova
Sun 31 Aug , Sudtirol , 3 - 1 , Sampdoria
Sun 31 Aug , Bari , 1 - 1 , Monza
Sun 31 Aug , Modena , 1 - 1 , Avellino
Fri 12 Sep , Avellino , 2 - 1 , Monza
Sat 13 Sep , Juve Stabia , 0 - 0 , Reggiana
Sat 13 Sep , Modena , 3 - 0 , Bari
Sat 13 Sep , Padova , 0 - 1 , Frosinone
Sat 13 Sep , Pescara , 2 - 2 , Venezia
Sat 13 Sep , Catanzaro , 1 - 1 , Carrarese
Sat 13 Sep , Sampdoria , 1 - 2 , Cesena
Sun 14 Sep , Entella , 1 - 0 , Mantova
Sun 14 Sep , Sudtirol , 0 - 2 , Palermo
Sun 14 Sep , Empoli , 1 - 1 , Spezia
Fri 19 Sep , Frosinone , 2 - 2 , Sudtirol
Fri 19 Sep , Palermo , 2 - 0 , Bari
Sat 20 Sep , Reggiana , 2 - 2 , Catanzaro
Sat 20 Sep , Spezia , 1 - 3 , Juve Stabia
Sat 20 Sep , Venezia , 1 - 2 , Cesena
Sat 20 Sep , Monza , 1 - 0 , Sampdoria
Sat 20 Sep , Mantova , 1 - 3 , Modena
Sun 21 Sep , Carrarese , 3 - 4 , Avellino
Sun 21 Sep , Pescara , 4 - 0 , Empoli
Sun 21 Sep , Padova , 2 - 1 , Entella
Fri 26 Sep , Catanzaro , 2 - 2 , Juve Stabia
Sat 27 Sep , Avellino , 2 - 0 , Entella
Sat 27 Sep , Cesena , 1 - 1 , Palermo
Sat 27 Sep , Mantova , 1 - 5 , Frosinone
Sat 27 Sep , Sudtirol , 3 - 1 , Reggiana
Sat 27 Sep , Venezia , 2 - 0 , Spezia
Sat 27 Sep , Monza , 0 - 1 , Padova
Sat 27 Sep , Bari , 1 - 1 , Sampdoria
Sun 28 Sep , Modena , 2 - 1 , Pescara
Sun 28 Sep , Empoli , 2 - 2 , Carrarese
Tue 30 Sep , Entella , 2 - 2 , Bari
Tue 30 Sep , Frosinone , 3 - 1 , Cesena
Tue 30 Sep , Juve Stabia , 2 - 1 , Mantova
Tue 30 Sep , Padova , 2 - 2 , Avellino
Tue 30 Sep , Palermo , 0 - 0 , Venezia
Tue 30 Sep , Reggiana , 1 - 1 , Spezia
Wed 1 Oct , Carrarese , 0 - 0 , Modena
Wed 1 Oct , Empoli , 1 - 1 , Monza
Wed 1 Oct , Pescara , 1 - 1 , Sudtirol
Wed 1 Oct , Sampdoria , 0 - 0 , Catanzaro
Sat 4 Oct , Avellino , 0 - 0 , Mantova
Sat 4 Oct , Bari , 2 - 1 , Padova
Sat 4 Oct , Monza , 2 - 1 , Catanzaro
