Sat 15 Feb , Kusatsu , 0 - 0 , FC Ryukyu
Sat 15 Feb , Tochigi City , 2 - 1 , SC Sagamihara
Sun 16 Feb , AC Numazu , 3 - 0 , Gainare Tottori
Sun 16 Feb , Nara Club , 2 - 2 , Fukushima Utd
Sun 16 Feb , Osaka , 1 - 1 , Gifu
Sun 16 Feb , T. Miyazaki , 0 - 1 , Nagano Parceiro
Sun 16 Feb , Tochigi SC , 1 - 0 , Kochi United
Sun 16 Feb , Kagoshima Utd , 1 - 1 , Kamatamare S.
Sat 22 Feb , FC Ryukyu , 0 - 1 , Osaka
Sat 22 Feb , G. Kitakyushu , 2 - 0 , Nagano Parceiro
Sat 22 Feb , Kusatsu , 2 - 0 , Tochigi City
Sat 22 Feb , SC Sagamihara , 1 - 0 , Tochigi SC
Sun 23 Feb , AC Numazu , 1 - 1 , Matsumoto Y.
Sun 23 Feb , Gifu , 0 - 1 , V. Hachinohe
Sun 23 Feb , Kagoshima Utd , 1 - 2 , Z. Kanazawa
Sun 23 Feb , Kamatamare S. , 2 - 0 , Nara Club
Sun 23 Feb , Kochi United , 0 - 0 , Gainare Tottori
Sun 23 Feb , T. Miyazaki , 3 - 1 , Fukushima Utd
Sat 1 Mar , Gifu , 2 - 1 , G. Kitakyushu
Sat 1 Mar , FC Ryukyu , 0 - 1 , Fukushima Utd
Sat 1 Mar , Nagano Parceiro , 3 - 2 , Kusatsu
Sat 1 Mar , Nara Club , 2 - 1 , Matsumoto Y.
Sat 1 Mar , SC Sagamihara , 0 - 2 , Kagoshima Utd
Sat 1 Mar , Tochigi City , 0 - 0 , AC Numazu
Sun 2 Mar , Gainare Tottori , 1 - 1 , V. Hachinohe
Sun 2 Mar , Kamatamare S. , 1 - 1 , Z. Kanazawa
Sun 2 Mar , Kochi United , 1 - 2 , Osaka
Sun 2 Mar , Tochigi SC , 1 - 2 , T. Miyazaki
Sat 8 Mar , Fukushima Utd , 4 - 3 , Gifu
Sat 8 Mar , G. Kitakyushu , 2 - 0 , Kamatamare S.
Sat 8 Mar , Nagano Parceiro , 1 - 2 , Tochigi City
Sat 8 Mar , Nara Club , 2 - 1 , FC Ryukyu
Sat 8 Mar , Osaka , 1 - 0 , Gainare Tottori
Sat 8 Mar , Kagoshima Utd , 5 - 2 , Kusatsu
Sun 9 Mar , AC Numazu , 0 - 0 , Tochigi SC
Sun 9 Mar , T. Miyazaki , 0 - 0 , Matsumoto Y.
Sun 9 Mar , V. Hachinohe , 1 - 2 , SC Sagamihara
Sun 9 Mar , Z. Kanazawa , 1 - 2 , Kochi United
Sat 15 Mar , Kochi United , 2 - 2 , Kagoshima Utd
Sat 15 Mar , G. Kitakyushu , 1 - 0 , V. Hachinohe
Sat 15 Mar , Kamatamare S. , 1 - 0 , FC Ryukyu
Sat 15 Mar , SC Sagamihara , 1 - 1 , Nara Club
Sun 16 Mar , Kusatsu , 2 - 0 , Gainare Tottori
Sun 16 Mar , Tochigi City , 3 - 2 , T. Miyazaki
Sun 16 Mar , Tochigi SC , 1 - 0 , Osaka
Sun 16 Mar , Gifu , 1 - 2 , Z. Kanazawa
Sun 23 Mar , V. Hachinohe , 3 - 2 , Kochi United
Sun 23 Mar , AC Numazu , 0 - 1 , T. Miyazaki
Sun 23 Mar , FC Ryukyu , 2 - 1 , Tochigi SC
Sun 23 Mar , Gainare Tottori , 3 - 0 , Gifu
Sun 23 Mar , Kagoshima Utd , 1 - 0 , G. Kitakyushu
Sun 23 Mar , Kamatamare S. , 0 - 1 , Tochigi City
Sun 23 Mar , Matsumoto Y. , 2 - 0 , SC Sagamihara
Sun 23 Mar , Nagano Parceiro , 2 - 0 , Fukushima Utd
Sun 23 Mar , Nara Club , 3 - 1 , Kusatsu
Sun 23 Mar , Osaka , 1 - 0 , Z. Kanazawa
Sat 29 Mar , Gifu , 1 - 1 , Matsumoto Y.
Sun 30 Mar , V. Hachinohe , 1 - 1 , Nara Club
Sun 30 Mar , Fukushima Utd , 3 - 0 , Gainare Tottori
Sun 30 Mar , Kochi United , 1 - 1 , FC Ryukyu
Sun 30 Mar , Kusatsu , 0 - 2 , G. Kitakyushu
Sun 30 Mar , Osaka , 3 - 1 , AC Numazu
Sun 30 Mar , SC Sagamihara , 1 - 1 , Kamatamare S.
Sun 30 Mar , T. Miyazaki , 1 - 1 , Kagoshima Utd
Sun 30 Mar , Tochigi SC , 1 - 1 , Tochigi City
Sun 30 Mar , Z. Kanazawa , 3 - 1 , Nagano Parceiro
Sat 5 Apr , G. Kitakyushu , 1 - 0 , Osaka
Sat 5 Apr , Kusatsu , 0 - 0 , T. Miyazaki
Sat 5 Apr , Matsumoto Y. , 0 - 5 , Kochi United
Sat 5 Apr , Nara Club , 1 - 1 , Gifu
Sat 5 Apr , FC Ryukyu , 2 - 0 , SC Sagamihara
Sun 6 Apr , Nagano Parceiro , 1 - 3 , Kagoshima Utd
Sun 6 Apr , AC Numazu , 1 - 1 , Kamatamare S.
Sun 6 Apr , Gainare Tottori , 1 - 1 , Z. Kanazawa
Sun 6 Apr , Tochigi City , 2 - 2 , Fukushima Utd
Sun 6 Apr , Tochigi SC , 0 - 1 , V. Hachinohe
Sat 12 Apr , Fukushima Utd , 1 - 0 , G. Kitakyushu
Sat 12 Apr , Osaka , 1 - 0 , V. Hachinohe
Sat 12 Apr , T. Miyazaki , 2 - 1 , Gainare Tottori
Sun 13 Apr , Kagoshima Utd , 1 - 1 , AC Numazu
Sun 13 Apr , Nagano Parceiro , 1 - 1 , FC Ryukyu
Sun 13 Apr , Gifu , 0 - 1 , Tochigi SC
Sun 13 Apr , Kamatamare S. , 0 - 2 , Matsumoto Y.
Sun 13 Apr , Kochi United , 0 - 5 , Tochigi City
Sun 13 Apr , SC Sagamihara , 1 - 1 , Kusatsu
Sun 13 Apr , Z. Kanazawa , 2 - 1 , Nara Club
Fri 18 Apr , Osaka , 4 - 3 , Kusatsu
Sat 19 Apr , Nara Club , 1 - 0 , AC Numazu
Sun 20 Apr , Fukushima Utd , 3 - 4 , Kochi United
Sun 20 Apr , V. Hachinohe , 1 - 0 , Nagano Parceiro
