Fri 2 May , Selfoss , 2 - 1 , Grindavik
Fri 2 May , Thor Akureyri , 1 - 1 , HK Kopavogur
Fri 2 May , Fjolnir , 1 - 3 , Keflavik
Fri 2 May , Njardvik , 1 - 1 , Fylkir
Fri 2 May , Throttur R. , 1 - 1 , Leiknir R.
Sat 3 May , IR Reykjavik , 1 - 0 , Volsungur
Fri 9 May , Leiknir R. , 1 - 4 , Thor Akureyri
Fri 9 May , HK Kopavogur , 1 - 1 , IR Reykjavik
Fri 9 May , Keflavik , 0 - 1 , Throttur R.
Fri 9 May , Fylkir , 2 - 0 , Selfoss
Sat 10 May , Grindavik , 3 - 3 , Fjolnir
Sat 10 May , Njardvik , 5 - 1 , Volsungur
Fri 16 May , Fjolnir , 1 - 1 , Fylkir
Fri 16 May , Leiknir R. , 0 - 1 , HK Kopavogur
Fri 16 May , Njardvik , 1 - 1 , IR Reykjavik
Sat 17 May , Selfoss , 1 - 2 , Volsungur
Sun 18 May , Thor Akureyri , 2 - 4 , Keflavik
Sun 18 May , Throttur R. , 2 - 4 , Grindavik
Fri 23 May , Fylkir , 1 - 2 , Throttur R.
Fri 23 May , HK Kopavogur , 1 - 3 , Njardvik
Fri 23 May , IR Reykjavik , 2 - 0 , Selfoss
Fri 23 May , Keflavik , 6 - 0 , Leiknir R.
Sat 24 May , Grindavik , 3 - 4 , Thor Akureyri
Sat 24 May , Volsungur , 2 - 1 , Fjolnir
Thu 29 May , Throttur R. , 4 - 1 , Volsungur
Fri 30 May , Thor Akureyri , 4 - 1 , Fylkir
Fri 30 May , Fjolnir , 0 - 3 , IR Reykjavik
Fri 30 May , Keflavik , 0 - 3 , HK Kopavogur
Fri 30 May , Leiknir R. , 2 - 6 , Grindavik
Fri 30 May , Selfoss , 0 - 4 , Njardvik
Wed 4 Jun , Thor Akureyri , 1 - 3 , Volsungur
Wed 4 Jun , Fylkir , 1 - 2 , Leiknir R.
Wed 4 Jun , HK Kopavogur , 4 - 1 , Selfoss
Wed 4 Jun , IR Reykjavik , 2 - 1 , Throttur R.
Wed 4 Jun , Njardvik , 1 - 1 , Fjolnir
Mon 9 Jun , Grindavik , 2 - 1 , HK Kopavogur
Mon 9 Jun , Leiknir R. , 3 - 1 , Volsungur
Mon 9 Jun , Thor Akureyri , 1 - 1 , IR Reykjavik
Mon 9 Jun , Fjolnir , 0 - 2 , Selfoss
Mon 9 Jun , Keflavik , 1 - 1 , Fylkir
Mon 9 Jun , Throttur R. , 2 - 2 , Njardvik
Fri 13 Jun , Fylkir , 1 - 1 , Grindavik
Fri 13 Jun , HK Kopavogur , 3 - 0 , Fjolnir
Fri 13 Jun , IR Reykjavik , 1 - 0 , Leiknir R.
Sat 14 Jun , Selfoss , 0 - 2 , Throttur R.
Sat 14 Jun , Volsungur , 1 - 1 , Keflavik
Sat 14 Jun , Njardvik , 3 - 1 , Thor Akureyri
Thu 19 Jun , Throttur R. , 1 - 4 , Fjolnir
Fri 20 Jun , Fylkir , 1 - 2 , HK Kopavogur
Fri 20 Jun , Leiknir R. , 1 - 1 , Njardvik
Sat 21 Jun , Grindavik , 2 - 4 , Volsungur
Sun 22 Jun , Thor Akureyri , 2 - 0 , Selfoss
Sun 22 Jun , Keflavik , 0 - 0 , IR Reykjavik
