Sat 12 Jul , Puebla , 2 - 3 , Atlas
Sat 12 Jul , Juarez , 1 - 1 , CF America
Sat 12 Jul , Tijuana , 1 - 0 , Queretaro
Sun 13 Jul , Santos Laguna , 3 - 0 , Pumas UNAM
Sun 13 Jul , Toluca , 3 - 1 , Necaxa
Sun 13 Jul , Cruz Azul , 0 - 0 , Mazatlan
Sun 13 Jul , Pachuca , 3 - 0 , Monterrey
Mon 14 Jul , Club Leon , 0 - 1 , A. San Luis
Thu 17 Jul , CF America , 3 - 1 , Tijuana
Thu 17 Jul , Santos Laguna , 2 - 4 , Toluca
Sat 19 Jul , Necaxa , 3 - 1 , Queretaro
Sat 19 Jul , A. San Luis , 0 - 1 , Monterrey
Sat 19 Jul , Mazatlan , 2 - 1 , Puebla
Sun 20 Jul , Club Leon , 1 - 0 , Guadalajara
Sun 20 Jul , Tigres , 1 - 0 , Juarez
Sun 20 Jul , Atlas , 3 - 3 , Cruz Azul
Sun 20 Jul , Pumas UNAM , 2 - 3 , Pachuca
Sat 26 Jul , Puebla , 1 - 0 , Santos Laguna
Sat 26 Jul , Queretaro , 0 - 2 , Pumas UNAM
Sat 26 Jul , Tijuana , 1 - 1 , Juarez
Sat 26 Jul , Guadalajara , 4 - 3 , A. San Luis
Sat 26 Jul , Pachuca , 1 - 0 , Mazatlan
Sun 27 Jul , Cruz Azul , 4 - 1 , Club Leon
Sun 27 Jul , Monterrey , 3 - 1 , Atlas
Sun 27 Jul , Toluca , 3 - 4 , Tigres
Sun 27 Jul , Necaxa , 1 - 1 , CF America
Sat 9 Aug , Tigres , 7 - 0 , Puebla
Sun 10 Aug , CF America , 1 - 0 , Queretaro
Sun 10 Aug , Mazatlan , 2 - 2 , Tijuana
Sun 10 Aug , Atlas , 0 - 3 , Pachuca
Mon 11 Aug , Pumas UNAM , 1 - 1 , Necaxa
Mon 11 Aug , Santos Laguna , 1 - 0 , Guadalajara
Tue 12 Aug , Club Leon , 1 - 3 , Monterrey
Tue 12 Aug , Juarez , 0 - 2 , Toluca
Tue 12 Aug , A. San Luis , 1 - 2 , Cruz Azul
Sat 16 Aug , Puebla , 0 - 2 , A. San Luis
Sat 16 Aug , Necaxa , 0 - 1 , Club Leon
Sat 16 Aug , Guadalajara , 1 - 2 , Juarez
Sun 17 Aug , Cruz Azul , 3 - 2 , Santos Laguna
Sun 17 Aug , Pachuca , 0 - 2 , Tijuana
Sun 17 Aug , Tigres , 1 - 3 , CF America
Sun 17 Aug , Toluca , 1 - 1 , Pumas UNAM
Sun 17 Aug , Queretaro , 3 - 3 , Atlas
Mon 18 Aug , Monterrey , 3 - 2 , Mazatlan
Sat 23 Aug , Juarez , 2 - 1 , Santos Laguna
Sat 23 Aug , Queretaro , 3 - 2 , A. San Luis
Sat 23 Aug , Tijuana , 3 - 3 , Guadalajara
Sat 23 Aug , Club Leon , 1 - 1 , Pachuca
Sun 24 Aug , Mazatlan , 2 - 2 , Tigres
Sun 24 Aug , Monterrey , 3 - 0 , Necaxa
Sun 24 Aug , Cruz Azul , 1 - 0 , Toluca
Sun 24 Aug , Pumas UNAM , 0 - 0 , Puebla
Mon 25 Aug , Atlas , 2 - 4 , CF America
Sat 30 Aug , A. San Luis , 1 - 3 , Toluca
Sat 30 Aug , Juarez , 1 - 0 , Mazatlan
Sat 30 Aug , Puebla , 2 - 4 , Monterrey
Sat 30 Aug , Club Leon , 3 - 0 , Queretaro
Sun 31 Aug , Santos Laguna , 0 - 1 , Tigres
Sun 31 Aug , Guadalajara , 1 - 2 , Cruz Azul
Sun 31 Aug , CF America , 2 - 0 , Pachuca
Sun 31 Aug , Pumas UNAM , 1 - 0 , Atlas
Mon 1 Sep , Tijuana , 3 - 0 , Necaxa
Sat 13 Sep , Necaxa , 1 - 1 , Juarez
Sat 13 Sep , Mazatlan , 1 - 4 , Pumas UNAM
Sat 13 Sep , Pachuca , 0 - 1 , Cruz Azul
Sun 14 Sep , Atlas , 2 - 2 , Santos Laguna
Sun 14 Sep , Tigres , 0 - 0 , Club Leon
Sun 14 Sep , Toluca , 3 - 1 , Puebla
Sun 14 Sep , CF America , 1 - 2 , Guadalajara
Sun 14 Sep , Queretaro , 0 - 1 , Monterrey
Mon 15 Sep , A. San Luis , 1 - 1 , Tijuana
Thu 18 Sep , Guadalajara , 0 - 0 , Tigres
Sat 20 Sep , Cruz Azul , 3 - 2 , Juarez
Sat 20 Sep , Necaxa , 1 - 0 , Puebla
Sat 20 Sep , Mazatlan , 1 - 1 , Atlas
Sat 20 Sep , Tijuana , 5 - 0 , Club Leon
Sat 20 Sep , Pachuca , 0 - 2 , Queretaro
Sun 21 Sep , Guadalajara , 0 - 3 , Toluca
Sun 21 Sep , Pumas UNAM , 1 - 1 , Tigres
Sun 21 Sep , Monterrey , 2 - 2 , CF America
Sun 21 Sep , Santos Laguna , 1 - 4 , A. San Luis
Wed 24 Sep , Guadalajara , 3 - 1 , Necaxa
Wed 24 Sep , Puebla , 2 - 2 , Pachuca
Wed 24 Sep , Juarez , 3 - 1 , Pumas UNAM
Wed 24 Sep , Club Leon , 2 - 2 , Mazatlan
Thu 25 Sep , Cruz Azul , 2 - 2 , Queretaro
Thu 25 Sep , Tigres , 2 - 0 , Atlas
Thu 25 Sep , Toluca , 6 - 2 , Monterrey
Thu 25 Sep , A. San Luis , 0 - 1 , CF America
Thu 25 Sep , Santos Laguna , 1 - 0 , Tijuana
Sat 27 Sep , Juarez , 2 - 0 , Club Leon
Sat 27 Sep , Atlas , 3 - 2 , Necaxa
Sat 27 Sep , Pachuca , 2 - 1 , A. San Luis
Sat 27 Sep , Puebla , 0 - 2 , Guadalajara
Sun 28 Sep , Monterrey , 1 - 0 , Santos Laguna
Sun 28 Sep , Toluca , 3 - 1 , Mazatlan
Sun 28 Sep , CF America , 4 - 1 , Pumas UNAM
Sun 28 Sep , Queretaro , 0 - 2 , Tigres
Mon 29 Sep , Tijuana , 2 - 0 , Cruz Azul
Sat 4 Oct , Necaxa , 0 - 1 , Pachuca
Sat 4 Oct , Mazatlan , 2 - 1 , A. San Luis
Sat 4 Oct , Atlas , 3 - 1 , Juarez
Sat 4 Oct , Queretaro , 3 - 1 , Puebla
Sun 5 Oct , Club Leon , 2 - 4 , Toluca
Sun 5 Oct , Tigres , 1 - 1 , Cruz Azul
Sun 5 Oct , CF America , 3 - 0 , Santos Laguna
Mon 6 Oct , Pumas UNAM , 1 - 2 , Guadalajara
Mon 6 Oct , Tijuana , 2 - 2 , Monterrey
Sat 18 Oct , Puebla , 4 - 3 , Tijuana
Sat 18 Oct , A. San Luis , 2 - 0 , Atlas
Sat 18 Oct , Tigres , 5 - 3 , Necaxa
Sat 18 Oct , Juarez , 2 - 2 , Pachuca
Sat 18 Oct , Santos Laguna , 2 - 0 , Club Leon
