Sat 11 Jan , Queretaro , 0 - 1 , CF America
Sat 11 Jan , Mazatlan , 1 - 1 , Juarez
Sat 11 Jan , Tijuana , 2 - 4 , Toluca
Sat 11 Jan , A. San Luis , 1 - 3 , Tigres
Sun 12 Jan , Guadalajara , 1 - 0 , Santos Laguna
Sun 12 Jan , Cruz Azul , 1 - 1 , Atlas
Sun 12 Jan , Pumas UNAM , 2 - 1 , Necaxa
Mon 13 Jan , Monterrey , 1 - 1 , Puebla
Fri 17 Jan , CF America , 1 - 1 , Tijuana
Sat 18 Jan , Puebla , 1 - 2 , A. San Luis
Sat 18 Jan , Tigres , 2 - 1 , Mazatlan
Sat 18 Jan , Necaxa , 3 - 2 , Guadalajara
Sat 18 Jan , Juarez , 1 - 0 , Cruz Azul
Sun 19 Jan , Toluca , 1 - 1 , Monterrey
Sun 19 Jan , Atlas , 1 - 2 , Club Leon
Sun 19 Jan , Queretaro , 3 - 2 , Pumas UNAM
Tue 21 Jan , Pachuca , 2 - 1 , Santos Laguna
Sat 25 Jan , A. San Luis , 0 - 3 , Necaxa
Sat 25 Jan , Mazatlan , 2 - 1 , Toluca
Sat 25 Jan , Tijuana , 2 - 1 , Queretaro
Sat 25 Jan , Club Leon , 1 - 0 , Juarez
Sat 25 Jan , Cruz Azul , 1 - 1 , Puebla
Sun 26 Jan , Guadalajara , 1 - 1 , Tigres
Sun 26 Jan , Santos Laguna , 1 - 4 , CF America
Sun 26 Jan , Monterrey , 2 - 3 , Pachuca
Sun 26 Jan , Pumas UNAM , 0 - 0 , Atlas
Wed 29 Jan , CF America , 3 - 0 , A. San Luis
Wed 29 Jan , Puebla , 0 - 1 , Mazatlan
Wed 29 Jan , Club Leon , 2 - 1 , Guadalajara
Wed 29 Jan , Tigres , 4 - 0 , Tijuana
Wed 29 Jan , Necaxa , 1 - 3 , Cruz Azul
Thu 30 Jan , Atlas , 3 - 3 , Monterrey
Thu 30 Jan , Queretaro , 0 - 1 , Pachuca
Thu 30 Jan , Juarez , 1 - 0 , Santos Laguna
Thu 30 Jan , Pumas UNAM , 1 - 1 , Toluca
Sat 1 Feb , Mazatlan , 1 - 2 , Club Leon
Sat 1 Feb , Tijuana , 2 - 3 , Cruz Azul
Sat 1 Feb , CF America , 4 - 0 , Juarez
Sat 1 Feb , Guadalajara , 1 - 1 , Queretaro
Sun 2 Feb , Pachuca , 0 - 0 , Atlas
Sun 2 Feb , Monterrey , 1 - 0 , Necaxa
Sun 2 Feb , Toluca , 1 - 0 , Tigres
Sun 2 Feb , Santos Laguna , 0 - 2 , Puebla
Mon 3 Feb , A. San Luis , 2 - 3 , Pumas UNAM
Thu 6 Feb , Pachuca , 1 - 2 , Club Leon
Sat 8 Feb , Necaxa , 3 - 2 , Santos Laguna
Sat 8 Feb , Queretaro , 1 - 0 , A. San Luis
Sat 8 Feb , Puebla , 1 - 2 , CF America
Sun 9 Feb , Club Leon , 3 - 3 , Toluca
Sun 9 Feb , Tigres , 2 - 1 , Atlas
Sun 9 Feb , Juarez , 2 - 1 , Monterrey
Sun 9 Feb , Cruz Azul , 2 - 1 , Pachuca
