Mon 31 Mar , Aalesund , 2 - 2 , Lillestrom
Mon 31 Mar , Egersund , 3 - 2 , Mjondalen
Mon 31 Mar , Kongsvinger , 1 - 1 , Asane
Mon 31 Mar , Odd , 2 - 1 , Skeid
Mon 31 Mar , Ranheim , 0 - 3 , Lyn
Mon 31 Mar , Stabaek , 1 - 1 , Hodd
Mon 31 Mar , Start , 2 - 1 , Sogndal
Tue 1 Apr , Raufoss , 3 - 2 , Moss
Sat 5 Apr , Asane , 0 - 2 , Egersund
Sat 5 Apr , Hodd , 0 - 2 , Kongsvinger
Sat 5 Apr , Lillestrom , 1 - 0 , Odd
Sat 5 Apr , Mjondalen , 1 - 1 , Raufoss
Sat 5 Apr , Moss , 2 - 0 , Ranheim
Sat 5 Apr , Skeid , 1 - 3 , Start
Sat 5 Apr , Sogndal , 3 - 4 , Aalesund
Sun 6 Apr , Lyn , 0 - 1 , Stabaek
Mon 21 Apr , Aalesund , 0 - 0 , Mjondalen
Mon 21 Apr , Egersund , 4 - 3 , Skeid
Mon 21 Apr , Kongsvinger , 6 - 0 , Moss
Mon 21 Apr , Odd , 2 - 1 , Lyn
Mon 21 Apr , Ranheim , 1 - 2 , Sogndal
Mon 21 Apr , Raufoss , 3 - 2 , Asane
Mon 21 Apr , Stabaek , 0 - 3 , Lillestrom
Mon 21 Apr , Start , 1 - 2 , Hodd
Sun 27 Apr , Lyn , 0 - 1 , Lillestrom
Sun 27 Apr , Moss , 4 - 2 , Stabaek
Mon 28 Apr , Asane , 0 - 0 , Aalesund
Mon 28 Apr , Mjondalen , 2 - 3 , Start
Mon 28 Apr , Raufoss , 0 - 1 , Egersund
Mon 28 Apr , Skeid , 1 - 4 , Kongsvinger
Mon 28 Apr , Sogndal , 3 - 2 , Odd
Tue 29 Apr , Hodd , 0 - 1 , Ranheim
Sat 3 May , Aalesund , 3 - 1 , Raufoss
Sat 3 May , Lillestrom , 3 - 0 , Moss
Sat 3 May , Odd , 1 - 1 , Egersund
Sat 3 May , Ranheim , 2 - 1 , Kongsvinger
Sat 3 May , Sogndal , 1 - 0 , Mjondalen
Sat 3 May , Start , 2 - 3 , Asane
Sun 4 May , Stabaek , 1 - 0 , Skeid
Sun 4 May , Lyn , 0 - 1 , Hodd
Sun 11 May , Hodd , 2 - 1 , Sogndal
Sun 11 May , Mjondalen , 1 - 4 , Ranheim
Sun 11 May , Moss , 2 - 0 , Lyn
Sun 11 May , Raufoss , 0 - 0 , Start
Mon 12 May , Asane , 1 - 1 , Stabaek
Mon 12 May , Kongsvinger , 1 - 3 , Odd
Mon 12 May , Skeid , 1 - 1 , Lillestrom
Thu 15 May , Ranheim , 1 - 1 , Raufoss
Fri 16 May , Aalesund , 2 - 0 , Hodd
Fri 16 May , Lillestrom , 2 - 0 , Kongsvinger
Fri 16 May , Lyn , 1 - 1 , Skeid
Fri 16 May , Odd , 2 - 0 , Moss
Fri 16 May , Sogndal , 2 - 0 , Asane
Fri 16 May , Stabaek , 4 - 0 , Mjondalen
Fri 16 May , Start , 2 - 1 , Egersund
Sat 24 May , Aalesund , 1 - 1 , Start
Sat 24 May , Kongsvinger , 2 - 1 , Lyn
Sat 24 May , Mjondalen , 0 - 6 , Lillestrom
Sat 24 May , Moss , 2 - 1 , Skeid
Sat 24 May , Raufoss , 1 - 0 , Stabaek
Sun 25 May , Asane , 2 - 1 , Ranheim
Sun 25 May , Egersund , 0 - 2 , Sogndal
Sun 25 May , Hodd , 3 - 1 , Odd
