Fri 18 Jul , Jagiellonia , 0 - 4 , Termalica
Fri 18 Jul , Lech Poznan , 1 - 4 , Cracovia Krakow
Sat 19 Jul , Widzew Lodz , 1 - 0 , Zaglebie Lubin
Sat 19 Jul , Wisla Plock , 2 - 0 , Korona Kielce
Sat 19 Jul , Katowice , 0 - 1 , Rakow C.
Sun 20 Jul , Gornik Zabrze , 2 - 1 , Lechia Gdansk
Sun 20 Jul , Motor Lublin , 1 - 0 , Arka Gdynia
Sun 20 Jul , Radomiak Radom , 5 - 1 , Pogon Szczecin
Fri 25 Jul , Cracovia Krakow , 2 - 0 , Termalica
Sat 26 Jul , Piast Gliwice , 0 - 1 , Zaglebie LubinFri 25 JulArka Gdynia 1 1 Radomiak Radom
Sat 26 Jul , Pogon Szczecin , 4 - 1 , Gornik Zabrze
Sat 26 Jul , Lechia Gdansk , 3 - 4 , Motor Lublin
Sun 27 Jul , Rakow C. , 1 - 2 , Lech Poznan
Sun 27 Jul , Jagiellonia , 3 - 2 , Wisla Plock
Sun 27 Jul , Korona Kielce , 0 - 2 , Widzew Lodz
Mon 28 Jul , Katowice , 2 - 2 , Legia Warsaw
Fri 1 Aug , Zaglebie Lubin , 1 - 1 , Zaglebie Lubin
Fri 1 Aug , Wisla Plock , 2 - 0 , Korona Kielce
Sat 2 Aug , Termalica , 1 - 1 , Piast Gliwice
Sat 2 Aug , Widzew Lodz , 3 - 0 , Pogon Szczecin
Sat 2 Aug , Lech Poznan , 2 - 1 , Katowice
Sun 3 Aug , Cracovia Krakow , 2 - 2 , Gornik Zabrze
Sun 3 Aug , Radomiak Radom , 3 - 1 , Lechia Gdansk
Sun 3 Aug , Legia Warsaw , 0 - 0 , Rakow C.
Fri 8 Aug , Korona Kielce , 3 - 0 , Arka Gdynia
Fri 8 Aug , Gornik Zabrze , 0 - 1 , Radomiak Radom
Sat 9 Aug , Arka Gdynia , 2 - 1 , Termalica
Sun 10 Aug , Jagiellonia , 5 - 2 , Pogon Szczecin
Sun 10 Aug , Legia Warsaw , 3 - 1 , Lech PoznanSat 9 AugWidzew Lodz 1 1 Wisla Plock
Mon 11 Aug , Lechia Gdansk , 3 - 3 , Cracovia Krakow
Fri 15 Aug , Zaglebie Lubin , 6 - 2 , Katowice
Fri 15 Aug , Cracovia Krakow , 1 - 0 , Motor Lublin
