Sat 9 Aug , Pacos Ferreira , 1 - 2 , Vizela
Sat 9 Aug , Torreense , 0 - 1 , Sporting CP B
Sat 9 Aug , Portimonense , 2 - 1 , Penafiel
Sun 10 Aug , Chaves , 1 - 1 , Benfica B
Sun 10 Aug , Maritimo , 0 - 1 , Lusitania FC
Sun 10 Aug , Leixoes , 3 - 0 , Felgueiras
Sun 10 Aug , FC Porto B , 0 - 0 , Feirense
Sun 10 Aug , Uniao de Leiria , 3 - 2 , Academico Viseu
Mon 11 Aug , Oliveirense , 1 - 1 , Farense
Fri 15 Aug , Feirense , 4 - 1 , Portimonense
Sat 16 Aug , Felgueiras , 0 - 1 , Maritimo
Sat 16 Aug , Vizela , 4 - 0 , FC Porto B
Sat 16 Aug , Academico Viseu , 0 - 0 , Pacos Ferreira
Sat 16 Aug , Lusitania FC , 2 - 2 , Chaves
Sun 17 Aug , Farense , 0 - 3 , Torreense
Sun 17 Aug , Sporting CP B , 1 - 0 , Uniao de Leiria
Sun 17 Aug , Penafiel , 0 - 0 , Oliveirense
Sun 17 Aug , Benfica B , 1 - 1 , Leixoes
Fri 22 Aug , Chaves , 1 - 1 , Felgueiras
Sat 23 Aug , Portimonense , 1 - 1 , Vizela
Sat 23 Aug , Pacos Ferreira , 0 - 0 , Uniao de Leiria
Sat 23 Aug , Torreense , 2 - 1 , Academico Viseu
Sun 24 Aug , FC Porto B , 0 - 2 , Farense
Sun 24 Aug , Oliveirense , 1 - 0 , Sporting CP B
Sun 24 Aug , Leixoes , 3 - 2 , Penafiel
Sun 24 Aug , Maritimo , 1 - 0 , Feirense
Mon 25 Aug , Lusitania FC , 1 - 1 , Benfica B
Fri 29 Aug , Uniao de Leiria , 1 - 0 , Torreense
Sat 30 Aug , Penafiel , 0 - 2 , Chaves
Sat 30 Aug , Felgueiras , 3 - 1 , Lusitania FC
Sat 30 Aug , Feirense , 2 - 0 , Leixoes
Sat 30 Aug , Benfica B , 1 - 2 , Portimonense
Sun 31 Aug , Farense , 0 - 2 , Maritimo
Sun 31 Aug , Sporting CP B , 3 - 0 , Pacos Ferreira
Sun 31 Aug , Academico Viseu , 2 - 0 , FC Porto B
Sun 31 Aug , Vizela , 1 - 0 , Oliveirense
Sat 13 Sep , Felgueiras , 2 - 1 , Benfica B
Sat 13 Sep , Lusitania FC , 0 - 0 , Penafiel
Sat 13 Sep , Leixoes , 0 - 2 , Farense
Sun 14 Sep , Portimonense , 1 - 2 , Sporting CP B
Sun 14 Sep , Maritimo , 1 - 1 , Vizela
Sun 14 Sep , Torreense , 0 - 0 , Pacos Ferreira
Sun 14 Sep , FC Porto B , 1 - 2 , Uniao de Leiria
Sun 14 Sep , Chaves , 1 - 1 , Feirense
Mon 15 Sep , Oliveirense , 2 - 2 , Academico Viseu
Fri 26 Sep , Vizela , 2 - 0 , Leixoes
Sat 27 Sep , Benfica B , 3 - 3 , Torreense
Sat 27 Sep , Penafiel , 2 - 0 , Felgueiras
