Sat 5 Apr , Ilves , 3 - 2 , HJK Helsinki
Sat 5 Apr , Inter Turku , 1 - 1 , KuPS
Sat 5 Apr , KTP , 0 - 1 , SJK
Sat 5 Apr , Mariehamn , 0 - 2 , Jaro
Sat 5 Apr , VPS , 4 - 3 , Oulu
Sat 5 Apr , Haka , 3 - 2 , Gnistan
Fri 11 Apr , KTP , 2 - 2 , VPS
Fri 11 Apr , SJK , 1 - 0 , HJK Helsinki
Sat 12 Apr , Ilves , 2 - 1 , Jaro
Sat 12 Apr , Haka , 0 - 1 , Mariehamn
Sat 12 Apr , Inter Turku , 3 - 0 , Gnistan
Sat 12 Apr , KuPS , 1 - 0 , Oulu
Sat 19 Apr , VPS , 0 - 2 , Inter Turku
Sat 19 Apr , Haka , 2 - 1 , Oulu
Sat 19 Apr , KTP , 0 - 5 , Ilves
Sat 19 Apr , Mariehamn , 1 - 2 , SJK
Sat 19 Apr , KuPS , 1 - 0 , Jaro
Tue 22 Apr , HJK Helsinki , 0 - 1 , Gnistan
Wed 23 Apr , KuPS , 4 - 1 , Mariehamn
Wed 23 Apr , SJK , 3 - 1 , Oulu
Sat 26 Apr , Oulu , 1 - 4 , Inter Turku
Sat 26 Apr , Jaro , 2 - 3 , KTP
Sat 26 Apr , HJK Helsinki , 3 - 1 , VPS
Sun 27 Apr , Gnistan , 1 - 2 , KuPS
Sun 27 Apr , Mariehamn , 3 - 2 , Ilves
Mon 28 Apr , SJK , 2 - 2 , Haka
Fri 2 May , Haka , 0 - 1 , Jaro
Fri 2 May , KTP , 1 - 3 , Oulu
Fri 2 May , VPS , 1 - 0 , Ilves
Fri 2 May , KuPS , 1 - 0 , SJK
Sat 3 May , Gnistan , 2 - 0 , Mariehamn
Sat 3 May , Inter Turku , 1 - 1 , HJK Helsinki
Fri 9 May , Ilves , 3 - 2 , Haka
Sat 10 May , KuPS , 3 - 0 , KTP
Sat 10 May , Mariehamn , 2 - 2 , Inter Turku
Sat 10 May , Oulu , 2 - 3 , Gnistan
Sun 11 May , Jaro , 0 - 3 , HJK Helsinki
Mon 12 May , SJK , 2 - 3 , VPS
Fri 16 May , Gnistan , 2 - 2 , SJK
Fri 16 May , Haka , 1 - 3 , KuPS
Sat 17 May , HJK Helsinki , 4 - 1 , KTP
Sat 17 May , Inter Turku , 3 - 1 , Ilves
Sat 17 May , Oulu , 0 - 1 , Mariehamn
Sat 17 May , VPS , 0 - 0 , Jaro
Tue 20 May , HJK Helsinki , 4 - 2 , SJK
Wed 21 May , Ilves , 3 - 0 , KuPS
Fri 23 May , KTP , 0 - 0 , Haka
Sat 24 May , Jaro , 1 - 1 , Gnistan
Sat 24 May , Ilves , 0 - 0 , Oulu
Sat 24 May , Mariehamn , 0 - 4 , HJK Helsinki
Sun 25 May , KuPS , 0 - 2 , VPS
Sun 25 May , SJK , 0 - 1 , Inter Turku
Sat 31 May , KTP , 2 - 2 , Mariehamn
Sat 31 May , Haka , 2 - 1 , VPS
Sat 31 May , Oulu , 2 - 2 , SJK
Sat 31 May , HJK Helsinki , 0 - 0 , KuPS
Sun 1 Jun , Gnistan , 0 - 2 , Ilves
Sun 1 Jun , Jaro , 0 - 1 , Inter Turku
Sat 14 Jun , Inter Turku , 1 - 1 , Haka
Sat 14 Jun , Oulu , 0 - 4 , HJK Helsinki
Sat 14 Jun , Gnistan , 2 - 1 , KTP
Sat 14 Jun , KuPS , 0 - 3 , Ilves
Sat 14 Jun , Mariehamn , 1 - 5 , VPS
Sat 14 Jun , SJK , 3 - 1 , Jaro
Wed 18 Jun , Ilves , 2 - 3 , SJK
