Sun 9 Mar , Lexington , 2 - 0 , Hartford A.
Sun 9 Mar , Miami FC , 0 - 2 , Detroit City
Sun 9 Mar , North Carolina , 1 - 1 , Pittsburgh
Sun 9 Mar , Charleston , 1 - 2 , Louisville City
Sun 9 Mar , Birmingham L. , 1 - 3 , Loudoun Utd
Sun 9 Mar , San Antonio , 1 - 0 , Monterey Bay
Sun 9 Mar , El Paso , 2 - 2 , Colorado S.
Sun 9 Mar , Phoenix Rising , 0 - 1 , FC Tulsa
Sun 9 Mar , Orange County , 4 - 2 , Oakland Roots
Sun 9 Mar , Sacramento R. , 2 - 1 , New Mexico
Sun 9 Mar , Las Vegas L. , 1 - 0 , Tampa Bay
Sat 15 Mar , Colorado S. , 1 - 2 , Detroit City
Sat 15 Mar , Miami FC , 1 - 3 , Indy Eleven
Sat 15 Mar , North Carolina , 1 - 2 , Loudoun Utd
Sat 15 Mar , Charleston , 2 - 0 , Rhode Island
Sun 16 Mar , FC Tulsa , 1 - 0 , Tampa Bay
Sun 16 Mar , San Antonio , 2 - 0 , Pittsburgh
Sun 16 Mar , El Paso , 4 - 4 , Phoenix Rising
Sun 16 Mar , Monterey Bay , 3 - 2 , Oakland Roots
Sun 16 Mar , Las Vegas L. , 2 - 3 , New Mexico
Sun 16 Mar , Orange County , 2 - 2 , Lexington
Sun 16 Mar , Birmingham L. , 1 - 1 , Louisville City
Sat 22 Mar , Detroit City , 2 - 2 , Birmingham L.
Sat 22 Mar , Louisville City , 2 - 0 , Loudoun Utd
Sat 22 Mar , New Mexico , 1 - 0 , El Paso
Sat 22 Mar , Lexington , 1 - 1 , Indy Eleven
Sat 22 Mar , Miami FC , 1 - 2 , Tampa Bay
Sat 22 Mar , Pittsburgh , 1 - 0 , Hartford A.
Sun 23 Mar , FC Tulsa , 0 - 1 , North Carolina
Sun 23 Mar , Oakland Roots , 1 - 2 , San Antonio
Sun 23 Mar , Orange County , 0 - 3 , Monterey Bay
Sun 23 Mar , Phoenix Rising , 2 - 2 , Rhode Island
Sun 23 Mar , Sacramento R. , 2 - 2 , Colorado S.
Sat 29 Mar , FC Tulsa , 1 - 0 , Sacramento R.
Sat 29 Mar , Hartford A. , 1 - 2 , El Paso
Sat 29 Mar , Loudoun Utd , 2 - 0 , Rhode Island
Sat 29 Mar , Louisville City , 2 - 0 , Detroit City
Sat 29 Mar , Indy Eleven , 2 - 3 , Colorado S.
Sat 29 Mar , Lexington , 2 - 3 , San Antonio
Sat 29 Mar , Miami FC , 0 - 1 , New Mexico
Sat 29 Mar , North Carolina , 2 - 1 , Charleston
Sat 29 Mar , Pittsburgh , 2 - 0 , Birmingham L.
Sun 30 Mar , Monterey Bay , 3 - 1 , Phoenix Rising
Sun 30 Mar , Oakland Roots , 0 - 0 , Las Vegas L.
Sat 5 Apr , Detroit City , 0 - 0 , Monterey Bay
Sat 5 Apr , Oakland Roots , 0 - 3 , Rhode Island
Sat 5 Apr , Loudoun Utd , 2 - 0 , Hartford A.
Sat 5 Apr , Charleston , 2 - 1 , Tampa Bay
Sat 5 Apr , Indy Eleven , 2 - 2 , North Carolina
Sun 6 Apr , El Paso , 2 - 1 , Lexington
Sun 6 Apr , Sacramento R. , 1 - 1 , Louisville City
Sun 6 Apr , Las Vegas L. , 1 - 0 , Orange County
Sun 6 Apr , San Antonio , 1 - 2 , Phoenix Rising
Sat 12 Apr , Lexington , 0 - 0 , Las Vegas L.
Sat 12 Apr , Charleston , 2 - 1 , Pittsburgh
Sat 12 Apr , Tampa Bay , 1 - 2 , Loudoun Utd
Sun 13 Apr , FC Tulsa , 1 - 2 , Oakland Roots
Sun 13 Apr , San Antonio , 1 - 2 , Miami FC
Sun 13 Apr , New Mexico , 1 - 0 , North Carolina
Sun 13 Apr , Monterey Bay , 2 - 1 , Colorado S.
Sun 13 Apr , Orange County , 2 - 1 , Sacramento R.
Sun 13 Apr , Phoenix Rising , 2 - 3 , Detroit City
Sun 13 Apr , Birmingham L. , 3 - 1 , El Paso
Sat 19 Apr , Detroit City , 2 - 0 , Rhode Island
Sat 19 Apr , Hartford A. , 1 - 0 , Birmingham L.
Sat 19 Apr , Oakland Roots , 2 - 0 , Orange County
Sat 19 Apr , Phoenix Rising , 2 - 2 , Sacramento R.
Sat 19 Apr , Loudoun Utd , 2 - 1 , Pittsburgh
Sat 19 Apr , Indy Eleven , 1 - 3 , Charleston
Sat 19 Apr , Lexington , 0 - 0 , Monterey Bay
Sat 19 Apr , Miami FC , 2 - 1 , North Carolina
Sat 19 Apr , Tampa Bay , 1 - 2 , Louisville City
Sun 20 Apr , Colorado S. , 1 - 1 , El Paso
Sun 20 Apr , Las Vegas L. , 1 - 4 , FC Tulsa
Thu 24 Apr , San Antonio , 3 - 2 , Colorado S.
Thu 24 Apr , New Mexico , 1 - 0 , Monterey Bay
Fri 2 May , Louisville City , 2 - 0 , Lexington
Sat 3 May , Rhode Island , 0 - 0 , San Antonio
Sat 3 May , Charleston , 4 - 2 , Hartford A.
Sat 3 May , Indy Eleven , 2 - 2 , Detroit City
