Fri 15 Aug , Girona , 1 - 3 , Rayo Vallecano
Fri 15 Aug , Villarreal , 2 - 0 , Real Oviedo
Sat 16 Aug , Mallorca , 0 - 3 , FC Barcelona
Sat 16 Aug , Alaves , 2 - 1 , Levante
Sat 16 Aug , Valencia , 1 - 1 , Real Sociedad
Sun 17 Aug , Celta Vigo , 0 - 2 , Getafe
Sun 17 Aug , Athletic Bilbao , 3 - 2 , Sevilla FC
Sun 17 Aug , Espanyol , 2 - 1 , Atletico Madrid
Mon 18 Aug , Elche , 1 - 1 , Real Betis
Tue 19 Aug , Real Madrid , 1 - 0 , Osasuna
Fri 22 Aug , Real Betis , 1 - 0 , Alaves
Sat 23 Aug , Mallorca , 1 - 1 , Celta Vigo
Sat 23 Aug , Atletico Madrid , 1 - 1 , Elche
Sat 23 Aug , Levante , 2 - 3 , FC Barcelona
Sun 24 Aug , Osasuna , 1 - 0 , Valencia
Sun 24 Aug , Real Sociedad , 2 - 2 , Espanyol
Sun 24 Aug , Villarreal , 5 - 0 , Girona
Sun 24 Aug , Real Oviedo , 0 - 3 , Real Madrid
Mon 25 Aug , Athletic Bilbao , 1 - 0 , Rayo Vallecano
Mon 25 Aug , Sevilla FC , 1 - 2 , Getafe
Wed 27 Aug , Celta Vigo , 1 - 1 , Real Betis
Fri 29 Aug , Elche , 2 - 0 , Levante
Fri 29 Aug , Valencia , 3 - 0 , Getafe
Sat 30 Aug , Alaves , 1 - 1 , Atletico Madrid
Sat 30 Aug , Real Oviedo , 1 - 0 , Real Sociedad
Sat 30 Aug , Girona , 0 - 2 , Sevilla FC
Sat 30 Aug , Real Madrid , 2 - 1 , Mallorca
Sun 31 Aug , Celta Vigo , 1 - 1 , Villarreal
Sun 31 Aug , Real Betis , 1 - 2 , Athletic Bilbao
Sun 31 Aug , Espanyol , 1 - 0 , Osasuna
Sun 31 Aug , Rayo Vallecano , 1 - 1 , FC Barcelona
Fri 12 Sep , Sevilla FC , 2 - 2 , Elche
Sat 13 Sep , Getafe , 2 - 0 , Real Oviedo
Sat 13 Sep , Real Sociedad , 1 - 2 , Real Madrid
Sat 13 Sep , Athletic Bilbao , 0 - 1 , Alaves
Sat 13 Sep , Atletico Madrid , 2 - 0 , Villarreal
Sun 14 Sep , Celta Vigo , 1 - 1 , Girona
Sun 14 Sep , Levante , 2 - 2 , Real Betis
Sun 14 Sep , Osasuna , 2 - 0 , Rayo Vallecano
Sun 14 Sep , FC Barcelona , 6 - 0 , Valencia
Mon 15 Sep , Espanyol , 3 - 2 , Mallorca
Fri 19 Sep , Real Betis , 3 - 1 , Real Sociedad
Sat 20 Sep , Girona , 0 - 4 , Levante
Sat 20 Sep , Real Madrid , 2 - 0 , Espanyol
Sat 20 Sep , Alaves , 1 - 2 , Sevilla FC
Sat 20 Sep , Villarreal , 2 - 1 , Osasuna
Sat 20 Sep , Valencia , 2 - 0 , Athletic Bilbao
Sun 21 Sep , Rayo Vallecano , 1 - 1 , Celta Vigo
Sun 21 Sep , Mallorca , 1 - 1 , Atletico Madrid
Sun 21 Sep , Elche , 1 - 0 , Real Oviedo
Sun 21 Sep , FC Barcelona , 3 - 0 , Getafe
Tue 23 Sep , Athletic Bilbao , 1 - 1 , Girona
Tue 23 Sep , Espanyol , 2 - 2 , Valencia
Tue 23 Sep , Levante , 1 - 4 , Real Madrid
Tue 23 Sep , Sevilla FC , 1 - 2 , Villarreal
Wed 24 Sep , Getafe , 1 - 1 , Alaves
Wed 24 Sep , Atletico Madrid , 3 - 2 , Rayo Vallecano
Wed 24 Sep , Real Sociedad , 1 - 0 , Mallorca
Thu 25 Sep , Osasuna , 1 - 1 , Elche
Thu 25 Sep , Real Oviedo , 1 - 3 , FC Barcelona
Fri 26 Sep , Girona , 0 - 0 , Espanyol
Sat 27 Sep , Getafe , 1 - 1 , Levante
Sat 27 Sep , Atletico Madrid , 5 - 2 , Real Madrid
Sat 27 Sep , Mallorca , 1 - 0 , Alaves
Sat 27 Sep , Villarreal , 1 - 0 , Athletic Bilbao
Sun 28 Sep , Rayo Vallecano , 0 - 1 , Sevilla FC
Sun 28 Sep , Elche , 2 - 1 , Celta Vigo
Sun 28 Sep , FC Barcelona , 2 - 1 , Real Sociedad
Sun 28 Sep , Real Betis , 2 - 0 , Osasuna
Tue 30 Sep , Valencia , 1 - 2 , Real Oviedo
Fri 3 Oct , Osasuna , 2 - 1 , Getafe
Sat 4 Oct , Real Oviedo , 0 - 2 , Levante
Sat 4 Oct , Girona , 2 - 1 , Valencia
Sat 4 Oct , Athletic Bilbao , 2 - 1 , Mallorca
Sat 4 Oct , Real Madrid , 3 - 1 , Villarreal
Sun 5 Oct , Alaves , 3 - 1 , Elche
Sun 5 Oct , Sevilla FC , 4 - 1 , FC Barcelona
Sun 5 Oct , Espanyol , 1 - 2 , Real Betis
Sun 5 Oct , Real Sociedad , 0 - 1 , Rayo Vallecano
Sun 5 Oct , Celta Vigo , 1 - 1 , Atletico Madrid
Fri 17 Oct , Real Oviedo , 0 - 2 , Espanyol
Sat 18 Oct , Sevilla FC , 1 - 3 , Mallorca
Sat 18 Oct , FC Barcelona , 2 - 1 , Girona
Sat 18 Oct , Villarreal , 2 - 2 , Real Betis
Sat 18 Oct , Atletico Madrid , 1 - 0 , Osasuna
Sun 19 Oct , Elche , 0 - 0 , Athletic Bilbao
Sun 19 Oct , Celta Vigo , 1 - 1 , Real Sociedad
Sun 19 Oct , Levante , 0 - 3 , Rayo Vallecano
Sun 19 Oct , Getafe , 0 - 1 , Real Madrid
Mon 20 Oct , Alaves , 0 - 0 , Valencia
Fri 24 Oct , Real Sociedad , 2 - 1 , Sevilla FC
Sat 25 Oct , Girona , 3 - 3 , Real Oviedo
Sat 25 Oct , Espanyol , 1 - 0 , Elche
Sat 25 Oct , Athletic Bilbao , 0 - 1 , Getafe
Sat 25 Oct , Valencia , 0 - 2 , Villarreal
Sun 26 Oct , Mallorca , 1 - 1 , Levante
Sun 26 Oct , Real Madrid , 2 - 1 , FC Barcelona
Sun 26 Oct , Osasuna , 2 - 3 , Celta Vigo
Sun 26 Oct , Rayo Vallecano , 1 - 0 , Alaves
Mon 27 Oct , Real Betis , 0 - 2 , Atletico Madrid
Fri 31 Oct , Getafe , 2 - 1 , Girona
Sat 1 Nov , Villarreal , 4 - 0 , Rayo Vallecano
Sat 1 Nov , Atletico Madrid , 3 - 0 , Sevilla FC
Sat 1 Nov , Real Sociedad , 3 - 2 , Athletic Bilbao
Sat 1 Nov , Real Madrid , 4 - 0 , Valencia
Sun 2 Nov , Levante , 1 - 2 , Celta Vigo
Sun 2 Nov , Alaves , 2 - 1 , Espanyol
Sun 2 Nov , FC Barcelona , 3 - 1 , Elche
Sun 2 Nov , Real Betis , 3 - 0 , Mallorca
Mon 3 Nov , Real Oviedo , 0 - 0 , Osasuna
Fri 7 Nov , Elche , 1 - 1 , Real Sociedad
Sat 8 Nov , Girona , 1 - 0 , Alaves
Sat 8 Nov , Sevilla FC , 1 - 0 , Osasuna
Sat 8 Nov , Atletico Madrid , 3 - 1 , Levante
Sat 8 Nov , Espanyol , 0 - 2 , Villarreal
Sun 9 Nov , Athletic Bilbao , 1 - 0 , Real Oviedo
Sun 9 Nov , Rayo Vallecano , 0 - 0 , Real Madrid
Sun 9 Nov , Mallorca , 1 - 0 , Getafe
Sun 9 Nov , Valencia , 1 - 1 , Real Betis
Sun 9 Nov , Celta Vigo , 2 - 4 , FC Barcelona
