Fri 15 Aug , Burgos , 5 - 1 , Leonesa
Fri 15 Aug , Valladolid , 3 - 0 , Ceuta
Sat 16 Aug , Racing , 3 - 1 , Castellon
Sat 16 Aug , Malaga , 1 - 1 , Eibar
Sat 16 Aug , Granada , 1 - 3 , Deportivo
Sun 17 Aug , Real Sociedad B , 1 - 0 , Real Zaragoza
Sun 17 Aug , Cadiz , 1 - 0 , Mirandes
Sun 17 Aug , Huesca , 1 - 1 , Leganes
Sun 17 Aug , Las Palmas , 1 - 1 , FC Andorra
Mon 18 Aug , Sporting Gijon , 2 - 1 , Cordoba
Mon 18 Aug , Almeria , 4 - 4 , Albacete
Fri 22 Aug , Eibar , 3 - 0 , Granada
Fri 22 Aug , Castellon , 0 - 1 , Valladolid
Fri 22 Aug , Leganes , 1 - 1 , Cadiz
Sat 23 Aug , Mirandes , 0 - 1 , Huesca
Sat 23 Aug , Ceuta , 0 - 1 , Sporting Gijon
Sat 23 Aug , Real Zaragoza , 1 - 3 , FC Andorra
Sun 24 Aug , Deportivo , 0 - 0 , Burgos
Sun 24 Aug , Leonesa , 0 - 1 , Almeria
Sun 24 Aug , Malaga , 1 - 0 , Real Sociedad B
Mon 25 Aug , Albacete , 2 - 3 , Racing
Mon 25 Aug , Cordoba , 1 - 3 , Las Palmas
Fri 29 Aug , Real Sociedad B , 2 - 2 , Almeria
Fri 29 Aug , Sporting Gijon , 1 - 0 , Leonesa
Sat 30 Aug , Racing , 4 - 1 , Ceuta
Sat 30 Aug , Valladolid , 0 - 0 , Cordoba
Sat 30 Aug , Castellon , 1 - 1 , Real Zaragoza
Sun 31 Aug , Cadiz , 2 - 1 , Albacete
Sun 31 Aug , FC Andorra , 2 - 1 , Burgos
Sun 31 Aug , Las Palmas , 0 - 1 , Malaga
Sun 31 Aug , Granada , 1 - 2 , Mirandes
Mon 1 Sep , Huesca , 2 - 1 , Eibar
Mon 1 Sep , Leganes , 2 - 2 , Deportivo
Fri 5 Sep , Albacete , 1 - 4 , Mirandes
Fri 5 Sep , Cordoba , 2 - 1 , Castellon
Sat 6 Sep , Deportivo , 1 - 0 , Sporting Gijon
Sat 6 Sep , Real Zaragoza , 1 - 1 , Valladolid
Sat 6 Sep , Malaga , 2 - 2 , Granada
Sun 7 Sep , Ceuta , 2 - 1 , Huesca
Sun 7 Sep , Burgos , 0 - 0 , Las Palmas
Sun 7 Sep , Real Sociedad B , 3 - 3 , Cadiz
Sun 7 Sep , Almeria , 2 - 3 , Racing
Sun 7 Sep , Leonesa , 0 - 0 , Leganes
Mon 8 Sep , Eibar , 2 - 0 , FC Andorra
